Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Is it that we simply and irrationally love strong cornices , stoops , columns , heavy lintels , strongly marked sills , the occasional decoration that graced even the workers ' housing of the early twentieth century ?","Is/be/VBZ it/it/PRP that/that/IN we/we/PRP simply/simply/RB and/and/CC irrationally/irrationally/RB love/love/VBP strong/strong/JJ cornices/cornice/NNS ,/,/, stoops/stoop/NNS ,/,/, columns/column/NNS ,/,/, heavy/heavy/JJ lintels/lintel/NNS ,/,/, strongly/strongly/RB marked/marked/JJ sills/sill/NNS ,/,/, the/the/DT occasional/occasional/JJ decoration/decoration/NN that/that/WDT graced/grace/VBD even/even/RB the/the/DT workers/worker/NNS '/'/POS housing/housing/NN of/of/IN the/the/DT early/early/JJ twentieth/twentieth/JJ century/century/NN ?/?/. ","ROOT (ROOT-0, decoration-25) cop (decoration-25, Is-1) nsubj (decoration-25, it-2) mark (love-8, that-3) nsubj (love-8, we-4) advmod (and-6, simply-5) advmod (love-8, and-6) advmod (and-6, irrationally-7) dep (decoration-25, love-8) amod (cornices-10, strong-9) dobj (love-8, cornices-10) punct (cornices-10, ,-11) appos (cornices-10, stoops-12) punct (cornices-10, ,-13) appos (cornices-10, columns-14) punct (cornices-10, ,-15) amod (lintels-17, heavy-16) appos (cornices-10, lintels-17) punct (cornices-10, ,-18) advmod (marked-20, strongly-19) amod (sills-21, marked-20) appos (cornices-10, sills-21) punct (decoration-25, ,-22) det (decoration-25, the-23) amod (decoration-25, occasional-24) nsubj (graced-27, decoration-25) ref (decoration-25, that-26) acl:relcl (decoration-25, graced-27) advmod (housing-32, even-28) det (workers-30, the-29) nmod:poss (housing-32, workers-30) case (workers-30, '-31) dobj (graced-27, housing-32) case (century-37, of-33) det (century-37, the-34) amod (century-37, early-35) amod (century-37, twentieth-36) nmod:of (decoration-25, century-37) punct (decoration-25, ?-38) ",decoration,25,"ROOT (ROOT-0, decoration-25) cop (decoration-25, Is-1) nsubj (decoration-25, it-2) dep (decoration-25, love-8) punct (decoration-25, ,-22) det (decoration-25, the-23) amod (decoration-25, occasional-24) nsubj (graced-27, decoration-25) ref (decoration-25, that-26) acl:relcl (decoration-25, graced-27) nmod:of (decoration-25, century-37) punct (decoration-25, ?-38) ","marked sills , the occasional decoration that graced even the workers",NN,[],decoration-25,,NN,CopObject,[],[],[],VBZ,"[('of', 'century', 37)]",['of'],['century'],[],['the'],['definite article'],[],[],[],[],[],['occasional'],[0.06249999999999999],[0.105],[0.28],[0.08916666666666666],[0.07083333333333335],[0.023333333333333334],[0.04833333333333333],[0.0675],[0.0475],[0.0675],[0.05833333333333333],[0.055],[0.025],[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Visuals as Decoration  Readymade  We are all familiar with the practice of displaying tourist posters , publicity materials .","Visuals/visual/NNS as/as/IN Decoration/Decoration/NNP Readymade/Readymade/NNP We/we/PRP are/be/VBP all/all/DT familiar/familiar/JJ with/with/IN the/the/DT practice/practice/NN of/of/IN displaying/display/VBG tourist/tourist/NN posters/poster/NNS ,/,/, publicity/publicity/NN materials/material/NNS ././. ","ROOT (ROOT-0, familiar-8) nsubj (familiar-8, Visuals-1) case (Readymade-4, as-2) compound (Readymade-4, Decoration-3) nmod:as (Visuals-1, Readymade-4) dep (Readymade-4, We-5) cop (familiar-8, are-6) det (familiar-8, all-7) case (practice-11, with-9) det (practice-11, the-10) nmod:with (familiar-8, practice-11) mark (displaying-13, of-12) advcl:of (familiar-8, displaying-13) compound (materials-18, tourist-14) compound (materials-18, posters-15) punct (materials-18, ,-16) dep (materials-18, publicity-17) dobj (displaying-13, materials-18) punct (familiar-8, .-19) ",Decoration,3,"compound (Readymade-4, Decoration-3) ",Visuals as Decoration Readymade We are all familiar,NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Readymade'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
Student-made  Any student drawings which are produced by an activity should be displayed both for decoration and for motivation .,Student-made/student-made/JJ Any/any/DT student/student/NN drawings/drawing/NNS which/which/WDT are/be/VBP produced/produce/VBN by/by/IN an/a/DT activity/activity/NN should/should/MD be/be/VB displayed/display/VBN both/both/DT for/for/IN decoration/decoration/NN and/and/CC for/for/IN motivation/motivation/NN ././. ,"ROOT (ROOT-0, displayed-13) amod (drawings-4, Student-made-1) det (student-3, Any-2) dep (Student-made-1, student-3) nsubjpass (produced-7, drawings-4) nsubjpass (displayed-13, drawings-4) nsubjpass (displayed-13, drawings-4) ref (drawings-4, which-5) auxpass (produced-7, are-6) acl:relcl (drawings-4, produced-7) case (activity-10, by-8) det (activity-10, an-9) nmod:agent (produced-7, activity-10) aux (displayed-13, should-11) auxpass (displayed-13, be-12) conj:and (displayed-13, displayed-13) cc:preconj (decoration-16, both-14) case (decoration-16, for-15) nmod:for (displayed-13, decoration-16) cc (displayed-13, and-17) case (motivation-19, for-18) nmod:for (displayed-13, motivation-19) punct (displayed-13, .-20) ",decoration,16,"cc:preconj (decoration-16, both-14) case (decoration-16, for-15) nmod:for (displayed-13, decoration-16) ",should be displayed both for decoration and for motivation .,NN,[],,,,,[],[],[],,"[('for', 'displayed', 13)]",['for'],[],['displayed'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['for'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
Two points need to be made about student made visuals as decoration .,Two/two/CD points/point/NNS need/need/VBP to/to/TO be/be/VB made/make/VBN about/about/IN student/student/NN made/make/VBD visuals/visual/NNS as/as/IN decoration/decoration/NN ././. ,"ROOT (ROOT-0, made-9) nummod (points-2, Two-1) nsubj (made-9, points-2) acl:relcl (points-2, need-3) mark (made-6, to-4) auxpass (made-6, be-5) xcomp (need-3, made-6) case (student-8, about-7) nmod:about (made-6, student-8) dobj (made-9, visuals-10) case (decoration-12, as-11) nmod:as (made-9, decoration-12) punct (made-9, .-13) ",decoration,12,"case (decoration-12, as-11) nmod:as (made-9, decoration-12) ",about student made visuals as decoration .,NN,[],,,,,[],[],[],,"[('as', 'made', 9)]",['as'],[],['made'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['as'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"Women fashioned clothing , blankets , shoes , and a variety of personal ornaments and decoration from tanned deerskins and other hides and furs .","Women/woman/NNS fashioned/fashion/VBD clothing/clothing/NN ,/,/, blankets/blanket/NNS ,/,/, shoes/shoe/NNS ,/,/, and/and/CC a/a/DT variety/variety/NN of/of/IN personal/personal/JJ ornaments/ornament/NNS and/and/CC decoration/decoration/NN from/from/IN tanned/tan/VBN deerskins/deerskin/NNS and/and/CC other/other/JJ hides/hide/NNS and/and/CC furs/fur/NNS ././. ","ROOT (ROOT-0, fashioned-2) nsubj (fashioned-2, Women-1) dobj (fashioned-2, clothing-3) punct (clothing-3, ,-4) dobj (fashioned-2, blankets-5) conj:and (clothing-3, blankets-5) punct (clothing-3, ,-6) dobj (fashioned-2, shoes-7) conj:and (clothing-3, shoes-7) punct (clothing-3, ,-8) cc (clothing-3, and-9) det:qmod (ornaments-14, a-10) mwe (a-10, variety-11) mwe (a-10, of-12) amod (ornaments-14, personal-13) dobj (fashioned-2, ornaments-14) conj:and (clothing-3, ornaments-14) cc (ornaments-14, and-15) conj:and (clothing-3, decoration-16) conj:and (ornaments-14, decoration-16) case (deerskins-19, from-17) amod (deerskins-19, tanned-18) nmod:from (fashioned-2, deerskins-19) cc (deerskins-19, and-20) amod (hides-22, other-21) nmod:from (fashioned-2, hides-22) conj:and (deerskins-19, hides-22) cc (hides-22, and-23) conj:and (deerskins-19, furs-24) conj:and (hides-22, furs-24) punct (fashioned-2, .-25) ",decoration,16,"conj:and (clothing-3, decoration-16) conj:and (ornaments-14, decoration-16) ",variety of personal ornaments and decoration from tanned deerskins and other,NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'clothing', 3), ('and', 'ornaments', 14)]","['and', 'and']","[clothing-3, ornaments-14]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"Public aspects , especially in local communities and towns , remain important , but almost all of their elements -- the emphasis on charity and brotherhood and public decorations -- were present in the late medieval Christmas .","Public/Public/NNP aspects/aspect/NNS ,/,/, especially/especially/RB in/in/IN local/local/JJ communities/community/NNS and/and/CC towns/town/NNS ,/,/, remain/remain/VBP important/important/JJ ,/,/, but/but/CC almost/almost/RB all/all/DT of/of/IN their/they/PRP$ elements/element/NNS --/--/: the/the/DT emphasis/emphasis/NN on/on/IN charity/charity/NN and/and/CC brotherhood/brotherhood/NN and/and/CC public/public/JJ decorations/decoration/NNS --/--/: were/be/VBD present/present/JJ in/in/IN the/the/DT late/late/JJ medieval/medieval/JJ Christmas/Christmas/NNP ././. ","ROOT (ROOT-0, remain-11) compound (aspects-2, Public-1) nsubj (remain-11, aspects-2) punct (remain-11, ,-3) advmod (communities-7, especially-4) case (communities-7, in-5) amod (communities-7, local-6) nmod:in (remain-11, communities-7) cc (communities-7, and-8) conj:and (communities-7, towns-9) nmod:in (remain-11, towns-9) punct (remain-11, ,-10) xcomp (remain-11, important-12) punct (remain-11, ,-13) cc (remain-11, but-14) advmod (all-16, almost-15) nsubj (present-32, all-16) case (elements-19, of-17) nmod:poss (elements-19, their-18) nmod:of (all-16, elements-19) punct (emphasis-22, ---20) det (emphasis-22, the-21) dep (all-16, emphasis-22) case (charity-24, on-23) nmod:on (emphasis-22, charity-24) cc (charity-24, and-25) nmod:on (emphasis-22, brotherhood-26) conj:and (charity-24, brotherhood-26) cc (charity-24, and-27) amod (decorations-29, public-28) nmod:on (emphasis-22, decorations-29) conj:and (charity-24, decorations-29) punct (emphasis-22, ---30) cop (present-32, were-31) conj:but (remain-11, present-32) case (Christmas-37, in-33) det (Christmas-37, the-34) amod (Christmas-37, late-35) amod (Christmas-37, medieval-36) nmod:in (present-32, Christmas-37) punct (remain-11, .-38) ",decoration,29,"amod (decorations-29, public-28) nmod:on (emphasis-22, decorations-29) conj:and (charity-24, decorations-29) ",charity and brotherhood and public decorations -- were present in the,NNS,[],,,,,[],[],[],,"[('on', 'emphasis', 22)]",['on'],[],['emphasis'],[],[],"[('and', 'charity', 24)]",['and'],[charity-24],[],[],['public'],[0.010041666666666666],[0.016297619047619047],[0.013125],[0.0025],[0.046130952380952384],[0.0125],[0.007958333333333335],[0.02],[0.76],[0.028071428571428574],[0.025910714285714283],[0.057464285714285704],[0.0],[],[],[],[],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"The transformation of the home at Christmas , with lights , evergreens , and other decorations , proclaims it an ideal place .","The/the/DT transformation/transformation/NN of/of/IN the/the/DT home/home/NN at/at/IN Christmas/Christmas/NNP ,/,/, with/with/IN lights/light/NNS ,/,/, evergreens/evergreen/NNS ,/,/, and/and/CC other/other/JJ decorations/decoration/NNS ,/,/, proclaims/proclaim/VBZ it/it/PRP an/a/DT ideal/ideal/JJ place/place/NN ././. ","ROOT (ROOT-0, proclaims-18) det (transformation-2, The-1) nsubj (proclaims-18, transformation-2) case (home-5, of-3) det (home-5, the-4) nmod:of (transformation-2, home-5) case (Christmas-7, at-6) nmod:at (home-5, Christmas-7) punct (transformation-2, ,-8) case (lights-10, with-9) nmod:with (transformation-2, lights-10) punct (lights-10, ,-11) nmod:with (transformation-2, evergreens-12) conj:and (lights-10, evergreens-12) punct (lights-10, ,-13) cc (lights-10, and-14) amod (decorations-16, other-15) nmod:with (transformation-2, decorations-16) conj:and (lights-10, decorations-16) punct (transformation-2, ,-17) nsubj (place-22, it-19) det (place-22, an-20) amod (place-22, ideal-21) xcomp (proclaims-18, place-22) punct (proclaims-18, .-23) ",decoration,16,"amod (decorations-16, other-15) nmod:with (transformation-2, decorations-16) conj:and (lights-10, decorations-16) ",", evergreens , and other decorations , proclaims it an ideal",NNS,[],,,,,[],[],[],,"[('with', 'transformation', 2)]",['with'],[],['transformation'],[],[],"[('and', 'lights', 10)]",['and'],[lights-10],[],[],['other'],[0.015],[0.0025],[0.01],[0.0075],[0.6579166666666667],[0.02],[0.01875],[0.12458333333333332],[0.05],[0.0225],[0.03375],[0.0375],[0.0],[],[],[],[],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Women have just as '' good '' abilities of men , but these talents lie all in the direction of sympathy , tenderness , nursing , child care , decoration , and the like .","Women/woman/NNS have/have/VBP just/just/RB as/as/RB ''/''/'' good/good/JJ ''/''/'' abilities/ability/NNS of/of/IN men/man/NNS ,/,/, but/but/CC these/these/DT talents/talent/NNS lie/lie/VBP all/all/DT in/in/IN the/the/DT direction/direction/NN of/of/IN sympathy/sympathy/NN ,/,/, tenderness/tenderness/NN ,/,/, nursing/nursing/NN ,/,/, child/child/NN care/care/NN ,/,/, decoration/decoration/NN ,/,/, and/and/CC the/the/DT like/like/JJ ././. ","ROOT (ROOT-0, have-2) nsubj (have-2, Women-1) advmod (as-4, just-3) dobj (have-2, as-4) punct (as-4, ''-5) amod (abilities-8, good-6) punct (abilities-8, ''-7) nsubj (lie-15, abilities-8) case (men-10, of-9) nmod:of (abilities-8, men-10) punct (men-10, ,-11) cc (men-10, but-12) det (talents-14, these-13) nmod:of (abilities-8, talents-14) conj:but (men-10, talents-14) acl:relcl (as-4, lie-15) dobj (lie-15, all-16) case (direction-19, in-17) det (direction-19, the-18) nmod:in (all-16, direction-19) case (sympathy-21, of-20) nmod:of (direction-19, sympathy-21) punct (sympathy-21, ,-22) nmod:of (direction-19, tenderness-23) conj:and (sympathy-21, tenderness-23) punct (sympathy-21, ,-24) nmod:of (direction-19, nursing-25) conj:and (sympathy-21, nursing-25) punct (sympathy-21, ,-26) compound (care-28, child-27) nmod:of (direction-19, care-28) conj:and (sympathy-21, care-28) punct (sympathy-21, ,-29) nmod:of (direction-19, decoration-30) conj:and (sympathy-21, decoration-30) punct (sympathy-21, ,-31) cc (sympathy-21, and-32) det (like-34, the-33) nmod:of (direction-19, like-34) conj:and (sympathy-21, like-34) punct (have-2, .-35) ",decoration,30,"nmod:of (direction-19, decoration-30) conj:and (sympathy-21, decoration-30) ","nursing , child care , decoration , and the like .",NN,[],,,,,[],[],[],,"[('of', 'direction', 19)]",['of'],[],['direction'],[],[],"[('and', 'sympathy', 21)]",['and'],[sympathy-21],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Acceptance of the validity of the variability hypothesis led to implications that educational programs should stress domestic skills , including talents such as child care and decoration .","Acceptance/Acceptance/NNP of/of/IN the/the/DT validity/validity/NN of/of/IN the/the/DT variability/variability/NN hypothesis/hypothesis/NN led/lead/VBD to/to/TO implications/implication/NNS that/that/WDT educational/educational/JJ programs/program/NNS should/should/MD stress/stress/VB domestic/domestic/JJ skills/skill/NNS ,/,/, including/include/VBG talents/talent/NNS such/such/JJ as/as/IN child/child/NN care/care/NN and/and/CC decoration/decoration/NN ././. ","ROOT (ROOT-0, led-9) nsubj (led-9, Acceptance-1) case (validity-4, of-2) det (validity-4, the-3) nmod:of (Acceptance-1, validity-4) case (hypothesis-8, of-5) det (hypothesis-8, the-6) compound (hypothesis-8, variability-7) nmod:of (validity-4, hypothesis-8) case (implications-11, to-10) nmod:to (led-9, implications-11) dobj (stress-16, implications-11) ref (implications-11, that-12) amod (programs-14, educational-13) nsubj (stress-16, programs-14) aux (stress-16, should-15) acl:relcl (implications-11, stress-16) amod (skills-18, domestic-17) dobj (stress-16, skills-18) punct (led-9, ,-19) case (talents-21, including-20) nmod:including (led-9, talents-21) case (care-25, such-22) mwe (such-22, as-23) compound (care-25, child-24) nmod:such_as (talents-21, care-25) cc (care-25, and-26) nmod:such_as (talents-21, decoration-27) conj:and (care-25, decoration-27) punct (led-9, .-28) ",decoration,27,"nmod:such_as (talents-21, decoration-27) conj:and (care-25, decoration-27) ",such as child care and decoration .,NN,[],,,,,[],[],[],,"[('such_as', 'talents', 21)]",['such_as'],[],['talents'],[],[],"[('and', 'care', 25)]",['and'],[care-25],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"The crenellations along its bottom are called grecas , a native decoration associated with the Atacano Indians .","The/the/DT crenellations/crenellation/NNS along/along/IN its/its/PRP$ bottom/bottom/NN are/be/VBP called/call/VBN grecas/greca/NNS ,/,/, a/a/DT native/native/JJ decoration/decoration/NN associated/associate/VBN with/with/IN the/the/DT Atacano/Atacano/NNP Indians/Indians/NNPS ././. ","ROOT (ROOT-0, called-7) det (crenellations-2, The-1) nsubjpass (called-7, crenellations-2) case (bottom-5, along-3) nmod:poss (bottom-5, its-4) nmod:along (crenellations-2, bottom-5) auxpass (called-7, are-6) dobj (called-7, grecas-8) punct (grecas-8, ,-9) det (decoration-12, a-10) amod (decoration-12, native-11) appos (grecas-8, decoration-12) acl (decoration-12, associated-13) case (Indians-17, with-14) det (Indians-17, the-15) compound (Indians-17, Atacano-16) nmod:with (associated-13, Indians-17) punct (called-7, .-18) ",decoration,12,"det (decoration-12, a-10) amod (decoration-12, native-11) appos (grecas-8, decoration-12) acl (decoration-12, associated-13) ","called grecas , a native decoration associated with the Atacano Indians",NN,[],,,,,[],[],[],,[],[],[],[],['a'],['indefinite article'],[],[],[],[],[],['native'],[0.0075],[0.02125],[0.0125],[0.0075],[0.0375],[0.04],[0.011041666666666665],[0.0375],[0.02],[0.71875],[0.04395833333333333],[0.035],[0.0075],[],[],[],[],[],"['modifier', 'grecas']",['grecas'],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,1,0,0,0,countable,a,unit,a/an,small
