Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
My hand knows what to push aside to feel the satin lining of my mother 's lingerie holders .,My/my/PRP$ hand/hand/NN knows/know/VBZ what/what/WP to/to/TO push/push/VB aside/aside/RB to/to/TO feel/feel/VB the/the/DT satin/satin/JJ lining/lining/NN of/of/IN my/my/PRP$ mother/mother/NN 's/'s/POS lingerie/lingerie/NN holders/holder/NNS ././. ,"ROOT (ROOT-0, knows-3) nmod:poss (hand-2, My-1) nsubj (knows-3, hand-2) nsubj (push-6, what-4) nsubj:xsubj (feel-9, what-4) mark (push-6, to-5) ccomp (knows-3, push-6) advmod (push-6, aside-7) mark (feel-9, to-8) xcomp (push-6, feel-9) det (lining-12, the-10) amod (lining-12, satin-11) dobj (feel-9, lining-12) case (holders-18, of-13) nmod:poss (mother-15, my-14) nmod:poss (holders-18, mother-15) case (mother-15, 's-16) compound (holders-18, lingerie-17) nmod:of (lining-12, holders-18) punct (knows-3, .-19) ",lingerie,17,"compound (holders-18, lingerie-17) ",lining of my mother 's lingerie holders .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['holders'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
For most of my portraits I use a piece of very fine '' black lingerie '' over the lens .,For/for/IN most/most/JJS of/of/IN my/my/PRP$ portraits/portrait/NNS I/I/PRP use/use/VBP a/a/DT piece/piece/NN of/of/IN very/very/RB fine/fine/JJ ''/''/'' black/black/JJ lingerie/lingerie/NN ''/''/'' over/over/IN the/the/DT lens/lens/NN ././. ,"ROOT (ROOT-0, use-7) case (most-2, For-1) nmod:for (use-7, most-2) case (portraits-5, of-3) nmod:poss (portraits-5, my-4) nmod:of (most-2, portraits-5) nsubj (use-7, I-6) det (piece-9, a-8) dobj (use-7, piece-9) case (lingerie-15, of-10) advmod (black-14, very-11) amod (black-14, fine-12) punct (black-14, ''-13) amod (lingerie-15, black-14) nmod:of (piece-9, lingerie-15) punct (piece-9, ''-16) case (lens-19, over-17) det (lens-19, the-18) nmod:over (piece-9, lens-19) punct (use-7, .-20) ",lingerie,15,"case (lingerie-15, of-10) amod (lingerie-15, black-14) nmod:of (piece-9, lingerie-15) ",of very fine '' black lingerie '' over the lens .,NN,[],,,,,[],[],[],,"[('of', 'piece', 9)]",['of'],[],['piece'],[],[],[],[],[],[],[],['black'],[0.005],[0.021875],[0.0],[0.0],[0.014375],[0.0175],[0.7216666666666666],[0.0275],[0.02916666666666667],[0.0725],[0.06229166666666667],[0.020625],[0.0075],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"From surgery to lingerie to Ponce de Leon geriatrics , solutions are proffered to postpone death , yet as we stretch our life spans , we still do n't know what to believe about the scaffolding of integrity and family and the rat-tat of success .","From/from/IN surgery/surgery/NN to/to/TO lingerie/lingerie/NN to/to/TO Ponce/Ponce/NNP de/de/IN Leon/Leon/NNP geriatrics/geriatrics/NNS ,/,/, solutions/solution/NNS are/be/VBP proffered/proffer/VBN to/to/TO postpone/postpone/VB death/death/NN ,/,/, yet/yet/RB as/as/IN we/we/PRP stretch/stretch/VBP our/we/PRP$ life/life/NN spans/span/NNS ,/,/, we/we/PRP still/still/RB do/do/VBP n't/not/RB know/know/VB what/what/WP to/to/TO believe/believe/VB about/about/IN the/the/DT scaffolding/scaffolding/NN of/of/IN integrity/integrity/NN and/and/CC family/family/NN and/and/CC the/the/DT rat-tat/rat-tat/NN of/of/IN success/success/NN ././. ","ROOT (ROOT-0, know-30) case (surgery-2, From-1) nmod:from (know-30, surgery-2) case (lingerie-4, to-3) nmod:to (surgery-2, lingerie-4) case (Leon-8, to-5) compound (Leon-8, Ponce-6) amod (Leon-8, de-7) nmod:to (lingerie-4, Leon-8) dep (Leon-8, geriatrics-9) punct (proffered-13, ,-10) nsubjpass (proffered-13, solutions-11) nsubj:xsubj (postpone-15, solutions-11) auxpass (proffered-13, are-12) parataxis (know-30, proffered-13) mark (postpone-15, to-14) xcomp (proffered-13, postpone-15) dobj (postpone-15, death-16) punct (proffered-13, ,-17) advmod (stretch-21, yet-18) mark (stretch-21, as-19) nsubj (stretch-21, we-20) advcl:as (proffered-13, stretch-21) nmod:poss (spans-24, our-22) compound (spans-24, life-23) dobj (stretch-21, spans-24) punct (proffered-13, ,-25) nsubj (know-30, we-26) advmod (know-30, still-27) aux (know-30, do-28) neg (know-30, n't-29) nsubj (believe-33, what-31) mark (believe-33, to-32) ccomp (know-30, believe-33) case (scaffolding-36, about-34) det (scaffolding-36, the-35) nmod:about (believe-33, scaffolding-36) case (integrity-38, of-37) nmod:of (scaffolding-36, integrity-38) cc (integrity-38, and-39) nmod:of (scaffolding-36, family-40) conj:and (integrity-38, family-40) cc (scaffolding-36, and-41) det (rat-tat-43, the-42) nmod:about (believe-33, rat-tat-43) conj:and (scaffolding-36, rat-tat-43) case (success-45, of-44) nmod:of (rat-tat-43, success-45) punct (know-30, .-46) ",lingerie,4,"case (lingerie-4, to-3) nmod:to (surgery-2, lingerie-4) nmod:to (lingerie-4, Leon-8) ",From surgery to lingerie to Ponce de Leon geriatrics,NN,[],,,,,[],[],[],,"[('to', 'surgery', 2), ('to', 'Leon', 8)]","['to', 'to']",['Leon'],['surgery'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2012.txt_2.csv,0,0,0,0,unknown,,,,
Abu-Lughod tells us that young Bedouin women challenge the mores and codes of conduct through which elders control their sexuality through the purchase of Western-style goods such as lingerie and satin wedding dresses .,Abu-Lughod/Abu-Lughod/NNP tells/tell/VBZ us/we/PRP that/that/IN young/young/JJ Bedouin/bedouin/JJ women/woman/NNS challenge/challenge/VBP the/the/DT mores/mores/NNS and/and/CC codes/code/NNS of/of/IN conduct/conduct/NN through/through/IN which/which/WDT elders/elder/NNS control/control/VBP their/they/PRP$ sexuality/sexuality/NN through/through/IN the/the/DT purchase/purchase/NN of/of/IN Western-style/western-style/JJ goods/goods/NNS such/such/JJ as/as/IN lingerie/lingerie/NN and/and/CC satin/satin/JJ wedding/wedding/NN dresses/dress/NNS ././. ,"ROOT (ROOT-0, tells-2) nsubj (tells-2, Abu-Lughod-1) dobj (tells-2, us-3) mark (challenge-8, that-4) amod (women-7, young-5) amod (women-7, Bedouin-6) nsubj (challenge-8, women-7) ccomp (tells-2, challenge-8) det (mores-10, the-9) dobj (challenge-8, mores-10) nmod:through (control-18, mores-10) cc (mores-10, and-11) dobj (challenge-8, codes-12) conj:and (mores-10, codes-12) nmod:through (control-18, codes-12) case (conduct-14, of-13) nmod:of (mores-10, conduct-14) case (which-16, through-15) ref (mores-10, which-16) nsubj (control-18, elders-17) acl:relcl (mores-10, control-18) nmod:poss (sexuality-20, their-19) dobj (control-18, sexuality-20) case (purchase-23, through-21) det (purchase-23, the-22) nmod:through (control-18, purchase-23) case (goods-26, of-24) amod (goods-26, Western-style-25) nmod:of (purchase-23, goods-26) case (dresses-33, such-27) mwe (such-27, as-28) compound (dresses-33, lingerie-29) cc (lingerie-29, and-30) conj:and (lingerie-29, satin-31) compound (dresses-33, satin-31) compound (dresses-33, wedding-32) nmod:such_as (goods-26, dresses-33) punct (tells-2, .-34) ",lingerie,29,"compound (dresses-33, lingerie-29) cc (lingerie-29, and-30) conj:and (lingerie-29, satin-31) ",of Western-style goods such as lingerie and satin wedding dresses .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'satin', 31)]",['and'],[satin-31],['dresses'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2000.txt_1.csv,0,0,0,0,unknown,,,,
"When that did n't work , she wore slinky lingerie beneath her office attire .","When/when/WRB that/that/DT did/do/VBD n't/not/RB work/work/VB ,/,/, she/she/PRP wore/wear/VBD slinky/slinky/JJ lingerie/lingerie/NN beneath/beneath/IN her/she/PRP$ office/office/NN attire/attire/NN ././. ","ROOT (ROOT-0, wore-8) advmod (work-5, When-1) nsubj (work-5, that-2) aux (work-5, did-3) neg (work-5, n't-4) advcl (wore-8, work-5) punct (wore-8, ,-6) nsubj (wore-8, she-7) amod (lingerie-10, slinky-9) dobj (wore-8, lingerie-10) case (attire-14, beneath-11) nmod:poss (attire-14, her-12) compound (attire-14, office-13) nmod:beneath (wore-8, attire-14) punct (wore-8, .-15) ",lingerie,10,"amod (lingerie-10, slinky-9) dobj (wore-8, lingerie-10) ","work , she wore slinky lingerie beneath her office attire .",NN,[],wore-8,wear,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['slinky'],[0.071875],[0.09125],[0.050625],[0.02625],[0.02375],[0.04479166666666666],[0.14125],[0.0475],[0.06],[0.07375],[0.240625],[0.10583333333333332],[0.0225],[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2001.txt_1.csv,0,0,0,0,unknown,,,,
"At one point , New Orleans ' airport had a Lulu White 's Lingerie Shop .","At/at/IN one/one/CD point/point/NN ,/,/, New/New/NNP Orleans/Orleans/NNP '/'/POS airport/airport/NN had/have/VBD a/a/DT Lulu/Lulu/NNP White/White/NNP 's/'s/POS Lingerie/Lingerie/NNP Shop/Shop/NNP ././. ","ROOT (ROOT-0, had-9) case (point-3, At-1) nummod (point-3, one-2) nmod:at (had-9, point-3) punct (had-9, ,-4) compound (Orleans-6, New-5) nmod:poss (airport-8, Orleans-6) case (Orleans-6, '-7) nsubj (had-9, airport-8) det (Shop-15, a-10) compound (White-12, Lulu-11) nmod:poss (Shop-15, White-12) case (White-12, 's-13) compound (Shop-15, Lingerie-14) dobj (had-9, Shop-15) punct (had-9, .-16) ",Lingerie,14,"compound (Shop-15, Lingerie-14) ",had a Lulu White 's Lingerie Shop .,NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Shop'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2002.txt_3.csv,0,0,0,0,unknown,,,,
"The wildly popular Brazilian telenovela El Clon , for example , offered a '' profusion of Orientalist imagery , '' as did the coupling of a burka-like veil and lingerie in a photo-shoot of rapper Li'l Kim.","The/the/DT wildly/wildly/RB popular/popular/JJ Brazilian/brazilian/JJ telenovela/telenovela/NN El/El/NNP Clon/Clon/NNP ,/,/, for/for/IN example/example/NN ,/,/, offered/offer/VBD a/a/DT ''/''/'' profusion/profusion/NN of/of/IN Orientalist/orientalist/JJ imagery/imagery/NN ,/,/, ''/''/'' as/as/IN did/do/VBD the/the/DT coupling/coupling/NN of/of/IN a/a/DT burka-like/burka-like/JJ veil/veil/NN and/and/CC lingerie/lingerie/NN in/in/IN a/a/DT photo-shoot/photo-shoot/NN of/of/IN rapper/rapper/NN Li'l/Li'l/NNP Kim/Kim/NNP ././. ","ROOT (ROOT-0, offered-12) det (telenovela-5, The-1) advmod (popular-3, wildly-2) amod (telenovela-5, popular-3) amod (telenovela-5, Brazilian-4) nsubj (offered-12, telenovela-5) compound (Clon-7, El-6) dep (telenovela-5, Clon-7) punct (telenovela-5, ,-8) case (example-10, for-9) nmod:for (telenovela-5, example-10) punct (telenovela-5, ,-11) dobj (offered-12, a-13) punct (a-13, ''-14) dobj (offered-12, profusion-15) conj:and (a-13, profusion-15) case (imagery-18, of-16) amod (imagery-18, Orientalist-17) nmod:of (profusion-15, imagery-18) punct (imagery-18, ,-19) punct (imagery-18, ''-20) mark (did-22, as-21) dep (imagery-18, did-22) det (coupling-24, the-23) dobj (did-22, coupling-24) case (veil-28, of-25) det (veil-28, a-26) amod (veil-28, burka-like-27) nmod:of (coupling-24, veil-28) cc (a-13, and-29) dobj (offered-12, lingerie-30) conj:and (a-13, lingerie-30) case (photo-shoot-33, in-31) det (photo-shoot-33, a-32) nmod:in (offered-12, photo-shoot-33) case (Kim-37, of-34) compound (Kim-37, rapper-35) compound (Kim-37, Li'l-36) nmod:of (photo-shoot-33, Kim-37) punct (offered-12, .-38) ",lingerie,30,"dobj (offered-12, lingerie-30) conj:and (a-13, lingerie-30) ",of a burka-like veil and lingerie in a photo-shoot of rapper,NN,[],offered-12,offer,VBD,object,[],[],[],,[],[],[],[],[],[],"[('and', 'a', 13)]",['and'],[a-13],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2004.txt_1.csv,0,0,0,0,unknown,,,,
"Or they might witness women spending money : Carmen admonished a sex worker , for example , with whom she had worked and lived at a bar , who was '' in debt to vendors who go to the bars selling women 's clothes , lingerie , jewelry and hair clips . ''","Or/or/CC they/they/PRP might/might/MD witness/witness/NN women/woman/NNS spending/spend/VBG money/money/NN :/:/: Carmen/Carmen/NNP admonished/admonish/VBD a/a/DT sex/sex/NN worker/worker/NN ,/,/, for/for/IN example/example/NN ,/,/, with/with/IN whom/whom/WP she/she/PRP had/have/VBD worked/work/VBN and/and/CC lived/live/VBN at/at/IN a/a/DT bar/bar/NN ,/,/, who/who/WP was/be/VBD ''/''/'' in/in/IN debt/debt/NN to/to/TO vendors/vendor/NNS who/who/WP go/go/VBP to/to/TO the/the/DT bars/bar/NNS selling/sell/VBG women/woman/NNS 's/'s/POS clothes/clothes/NNS ,/,/, lingerie/lingerie/NN ,/,/, jewelry/jewelry/NN and/and/CC hair/hair/NN clips/clip/NNS ././. ''/''/'' ","ROOT (ROOT-0, might-3) cc (might-3, Or-1) nsubj (might-3, they-2) compound (women-5, witness-4) dobj (might-3, women-5) xcomp (might-3, spending-6) dobj (spending-6, money-7) punct (might-3, :-8) nsubj (admonished-10, Carmen-9) parataxis (might-3, admonished-10) det (worker-13, a-11) compound (worker-13, sex-12) dobj (admonished-10, worker-13) punct (admonished-10, ,-14) case (example-16, for-15) nmod:for (admonished-10, example-16) punct (admonished-10, ,-17) mark (worked-22, with-18) dobj (worked-22, whom-19) nsubj (worked-22, she-20) nsubj (lived-24, she-20) aux (worked-22, had-21) advcl:with (admonished-10, worked-22) cc (worked-22, and-23) advcl:with (admonished-10, lived-24) conj:and (worked-22, lived-24) case (bar-27, at-25) det (bar-27, a-26) nmod:at (worked-22, bar-27) nsubj (debt-33, bar-27) punct (bar-27, ,-28) ref (bar-27, who-29) cop (debt-33, was-30) punct (debt-33, ''-31) case (debt-33, in-32) acl:relcl (bar-27, debt-33) case (vendors-35, to-34) nmod:to (debt-33, vendors-35) nsubj (go-37, vendors-35) ref (vendors-35, who-36) acl:relcl (vendors-35, go-37) case (bars-40, to-38) det (bars-40, the-39) nmod:to (go-37, bars-40) acl (bars-40, selling-41) nmod:poss (clothes-44, women-42) case (women-42, 's-43) dobj (selling-41, clothes-44) punct (clothes-44, ,-45) compound (clips-51, lingerie-46) punct (lingerie-46, ,-47) conj:and (lingerie-46, jewelry-48) compound (clips-51, jewelry-48) cc (lingerie-46, and-49) conj:and (lingerie-46, hair-50) compound (clips-51, hair-50) appos (clothes-44, clips-51) punct (might-3, .-52) punct (might-3, ''-53) ",lingerie,46,"compound (clips-51, lingerie-46) punct (lingerie-46, ,-47) conj:and (lingerie-46, jewelry-48) cc (lingerie-46, and-49) conj:and (lingerie-46, hair-50) ","selling women 's clothes , lingerie , jewelry and hair clips",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'jewelry', 48), ('and', 'hair', 50)]","['and', 'and']","[jewelry-48, hair-50]",['clips'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2004.txt_1.csv,0,0,0,0,unknown,,,,
"The only other residents of the boarding house were Louise Parker , a school teacher , and Charles Foster , a lingerie salesman .","The/the/DT only/only/JJ other/other/JJ residents/resident/NNS of/of/IN the/the/DT boarding/board/VBG house/house/NN were/be/VBD Louise/Louise/NNP Parker/Parker/NNP ,/,/, a/a/DT school/school/NN teacher/teacher/NN ,/,/, and/and/CC Charles/Charles/NNP Foster/Foster/NNP ,/,/, a/a/DT lingerie/lingerie/NN salesman/salesman/NN ././. ","ROOT (ROOT-0, Parker-11) det (residents-4, The-1) amod (residents-4, only-2) amod (residents-4, other-3) nsubj (Parker-11, residents-4) case (house-8, of-5) det (house-8, the-6) amod (house-8, boarding-7) nmod:of (residents-4, house-8) cop (Parker-11, were-9) compound (Parker-11, Louise-10) punct (Parker-11, ,-12) det (teacher-15, a-13) compound (teacher-15, school-14) conj:and (Parker-11, teacher-15) punct (Parker-11, ,-16) cc (Parker-11, and-17) compound (Foster-19, Charles-18) conj:and (Parker-11, Foster-19) punct (Foster-19, ,-20) det (salesman-23, a-21) compound (salesman-23, lingerie-22) appos (Foster-19, salesman-23) punct (Parker-11, .-24) ",lingerie,22,"compound (salesman-23, lingerie-22) ","and Charles Foster , a lingerie salesman .",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['salesman'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_1.csv,0,0,0,0,unknown,,,,
"Margaret followed mutely into the various departments : lingerie , stockings , shoes .","Margaret/Margaret/NNP followed/follow/VBD mutely/mutely/RB into/into/IN the/the/DT various/various/JJ departments/department/NNS :/:/: lingerie/lingerie/NN ,/,/, stockings/stocking/NNS ,/,/, shoes/shoe/NNS ././. ","ROOT (ROOT-0, followed-2) nsubj (followed-2, Margaret-1) advmod (followed-2, mutely-3) case (departments-7, into-4) det (departments-7, the-5) amod (departments-7, various-6) nmod:into (followed-2, departments-7) punct (departments-7, :-8) dep (departments-7, lingerie-9) punct (lingerie-9, ,-10) appos (lingerie-9, stockings-11) punct (lingerie-9, ,-12) appos (lingerie-9, shoes-13) punct (followed-2, .-14) ",lingerie,9,"dep (departments-7, lingerie-9) punct (lingerie-9, ,-10) appos (lingerie-9, stockings-11) punct (lingerie-9, ,-12) appos (lingerie-9, shoes-13) ","into the various departments : lingerie , stockings , shoes .",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modified', 'stockings', 'modified', 'shoes']",[],"['stockings', 'shoes']",[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_1.csv,0,0,0,0,unknown,,,,
