Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
Bedding consisted of cedar wood shavings .,Bedding/bedding/NN consisted/consist/VBD of/of/IN cedar/cedar/NN wood/wood/NN shavings/shaving/NNS ././. ,"ROOT (ROOT-0, consisted-2) nsubj (consisted-2, Bedding-1) case (shavings-6, of-3) compound (shavings-6, cedar-4) compound (shavings-6, wood-5) nmod:of (consisted-2, shavings-6) punct (consisted-2, .-7) ",bedding,1,"nsubj (consisted-2, Bedding-1) ",Bedding consisted of cedar wood shavings,NN,[],consisted-2,consist,VBD,subject,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"The pups were carefully transferred to the box of the foster mother , rolled in the bedding of the box for about 30 seconds , and placed in the nest that the foster mother had made for her own pups .","The/the/DT pups/pup/NNS were/be/VBD carefully/carefully/RB transferred/transfer/VBN to/to/TO the/the/DT box/box/NN of/of/IN the/the/DT foster/foster/JJ mother/mother/NN ,/,/, rolled/roll/VBD in/in/IN the/the/DT bedding/bedding/NN of/of/IN the/the/DT box/box/NN for/for/IN about/about/IN 30/30/CD seconds/seconds/NNS ,/,/, and/and/CC placed/place/VBN in/in/IN the/the/DT nest/nest/NN that/that/IN the/the/DT foster/foster/JJ mother/mother/NN had/have/VBD made/make/VBN for/for/IN her/she/PRP$ own/own/JJ pups/pup/NNS ././. ","ROOT (ROOT-0, transferred-5) det (pups-2, The-1) nsubjpass (transferred-5, pups-2) nsubjpass (placed-27, pups-2) auxpass (transferred-5, were-3) advmod (transferred-5, carefully-4) case (box-8, to-6) det (box-8, the-7) nmod:to (transferred-5, box-8) case (mother-12, of-9) det (mother-12, the-10) amod (mother-12, foster-11) nmod:of (box-8, mother-12) punct (box-8, ,-13) acl (box-8, rolled-14) case (bedding-17, in-15) det (bedding-17, the-16) nmod:in (rolled-14, bedding-17) case (box-20, of-18) det (box-20, the-19) nmod:of (bedding-17, box-20) case (seconds-24, for-21) case (seconds-24, about-22) nummod (seconds-24, 30-23) nmod:about (rolled-14, seconds-24) punct (box-8, ,-25) cc (transferred-5, and-26) conj:and (transferred-5, placed-27) case (nest-30, in-28) det (nest-30, the-29) nmod:in (placed-27, nest-30) mark (made-36, that-31) det (mother-34, the-32) amod (mother-34, foster-33) nsubj (made-36, mother-34) aux (made-36, had-35) ccomp (placed-27, made-36) case (pups-40, for-37) nmod:poss (pups-40, her-38) amod (pups-40, own-39) nmod:for (made-36, pups-40) punct (transferred-5, .-41) ",bedding,17,"case (bedding-17, in-15) det (bedding-17, the-16) nmod:in (rolled-14, bedding-17) nmod:of (bedding-17, box-20) ","mother , rolled in the bedding of the box for about",NN,[],,,,,[],[],[],,"[('in', 'rolled', 14), ('of', 'box', 20)]","['in', 'of']",['box'],['rolled'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['in'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
Avodiance behavior referred to ignoring the pups and/or covering them up with bedding .,Avodiance/avodiance/NN behavior/behavior/NN referred/refer/VBD to/to/TO ignoring/ignore/VBG the/the/DT pups/pup/NNS and/or/and/or/CC covering/cover/VBG them/they/PRP up/up/RP with/with/IN bedding/bedding/NN ././. ,"ROOT (ROOT-0, referred-3) compound (behavior-2, Avodiance-1) nsubj (referred-3, behavior-2) mark (ignoring-5, to-4) advcl:to (referred-3, ignoring-5) det (pups-7, the-6) dobj (ignoring-5, pups-7) cc (ignoring-5, and/or-8) advcl:to (referred-3, covering-9) conj:and/or (ignoring-5, covering-9) dobj (covering-9, them-10) compound:prt (covering-9, up-11) case (bedding-13, with-12) nmod:with (referred-3, bedding-13) punct (referred-3, .-14) ",bedding,13,"case (bedding-13, with-12) nmod:with (referred-3, bedding-13) ",and/or covering them up with bedding .,NN,[],,,,,[],[],[],,"[('with', 'referred', 3)]",['with'],[],['referred'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
( Sides could be composed of bedding. ),-LRB-/-lrb-/-LRB- Sides/side/NNS could/could/MD be/be/VB composed/compose/VBN of/of/IN bedding/bedding/NN ././. -RRB-/-rrb-/-RRB- ,"ROOT (ROOT-0, composed-5) punct (composed-5, (-1) nsubjpass (composed-5, Sides-2) aux (composed-5, could-3) auxpass (composed-5, be-4) case (bedding-7, of-6) nmod:of (composed-5, bedding-7) punct (composed-5, .-8) punct (composed-5, )-9) ",bedding,7,"case (bedding-7, of-6) nmod:of (composed-5, bedding-7) ",Sides could be composed of bedding. ),NN,[],,,,,[],[],[],,"[('of', 'composed', 5)]",['of'],[],['composed'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"One additional litter was found in which all of the pups were alive , but the mother ignored the pups ( at least during the observation periods ) and the pups were found lying in dirty bedding the next day .","One/one/CD additional/additional/JJ litter/litter/NN was/be/VBD found/find/VBN in/in/IN which/which/WDT all/all/DT of/of/IN the/the/DT pups/pup/NNS were/be/VBD alive/alive/JJ ,/,/, but/but/CC the/the/DT mother/mother/NN ignored/ignore/VBD the/the/DT pups/pup/NNS -LRB-/-lrb-/-LRB- at/at/IN least/least/JJS during/during/IN the/the/DT observation/observation/NN periods/period/NNS -RRB-/-rrb-/-RRB- and/and/CC the/the/DT pups/pup/NNS were/be/VBD found/find/VBN lying/lie/VBG in/in/IN dirty/dirty/JJ bedding/bedding/NN the/the/DT next/next/JJ day/day/NN ././. ","ROOT (ROOT-0, found-5) nummod (litter-3, One-1) amod (litter-3, additional-2) nsubjpass (found-5, litter-3) auxpass (found-5, was-4) mark (alive-13, in-6) dobj (alive-13, which-7) det:qmod (pups-11, all-8) mwe (all-8, of-9) det (pups-11, the-10) nsubj (alive-13, pups-11) cop (alive-13, were-12) advcl:in (found-5, alive-13) punct (found-5, ,-14) cc (found-5, but-15) det (mother-17, the-16) nsubj (ignored-18, mother-17) conj:but (found-5, ignored-18) det (pups-20, the-19) dobj (ignored-18, pups-20) punct (periods-27, (-21) advmod (periods-27, at-22) mwe (at-22, least-23) case (periods-27, during-24) det (periods-27, the-25) compound (periods-27, observation-26) dep (ignored-18, periods-27) punct (periods-27, )-28) cc (ignored-18, and-29) det (pups-31, the-30) nsubjpass (found-33, pups-31) auxpass (found-33, were-32) conj:but (found-5, found-33) conj:and (ignored-18, found-33) xcomp (found-33, lying-34) case (bedding-37, in-35) amod (bedding-37, dirty-36) nmod:in (lying-34, bedding-37) det (day-40, the-38) amod (day-40, next-39) nmod:tmod (lying-34, day-40) punct (found-5, .-41) ",bedding,37,"case (bedding-37, in-35) amod (bedding-37, dirty-36) nmod:in (lying-34, bedding-37) ",were found lying in dirty bedding the next day .,NN,[],,,,,[],[],[],,"[('in', 'lying', 34)]",['in'],[],['lying'],[],[],[],[],[],[],[],['dirty'],[0.025],[0.695],[0.0175],[0.0225],[0.0225],[0.0175],[0.015416666666666665],[0.04],[0.0325],[0.045],[0.024583333333333332],[0.04],[0.0025],[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"It provides the student with food , bedding and knowledge , while the gym provides him with a healthy bodyn17 . ''","It/it/PRP provides/provide/VBZ the/the/DT student/student/NN with/with/IN food/food/NN ,/,/, bedding/bedding/NN and/and/CC knowledge/knowledge/NN ,/,/, while/while/IN the/the/DT gym/gym/NN provides/provide/VBZ him/he/PRP with/with/IN a/a/DT healthy/healthy/JJ bodyn17/bodyn17/NN ././. ''/''/'' ","ROOT (ROOT-0, provides-2) nsubj (provides-2, It-1) det (student-4, the-3) dobj (provides-2, student-4) case (food-6, with-5) nmod:with (student-4, food-6) punct (food-6, ,-7) nmod:with (student-4, bedding-8) conj:and (food-6, bedding-8) cc (food-6, and-9) nmod:with (student-4, knowledge-10) conj:and (food-6, knowledge-10) punct (provides-2, ,-11) mark (provides-15, while-12) det (gym-14, the-13) nsubj (provides-15, gym-14) advcl:while (provides-2, provides-15) dobj (provides-15, him-16) case (bodyn17-20, with-17) det (bodyn17-20, a-18) amod (bodyn17-20, healthy-19) nmod:with (provides-15, bodyn17-20) punct (provides-2, .-21) punct (provides-2, ''-22) ",bedding,8,"nmod:with (student-4, bedding-8) conj:and (food-6, bedding-8) ","the student with food , bedding and knowledge , while the",NN,[],,,,,[],[],[],,"[('with', 'student', 4)]",['with'],[],['student'],[],[],"[('and', 'food', 6)]",['and'],[food-6],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"The forests of the Himalaya provide humans with fuel , building materials , livestock feed and bedding , food , and medicines .","The/the/DT forests/forest/NNS of/of/IN the/the/DT Himalaya/Himalaya/NNP provide/provide/VBP humans/human/NNS with/with/IN fuel/fuel/NN ,/,/, building/build/VBG materials/material/NNS ,/,/, livestock/livestock/NN feed/feed/NN and/and/CC bedding/bedding/NN ,/,/, food/food/NN ,/,/, and/and/CC medicines/medicine/NNS ././. ","ROOT (ROOT-0, provide-6) det (forests-2, The-1) nsubj (provide-6, forests-2) case (Himalaya-5, of-3) det (Himalaya-5, the-4) nmod:of (forests-2, Himalaya-5) dobj (provide-6, humans-7) case (fuel-9, with-8) nmod:with (provide-6, fuel-9) punct (provide-6, ,-10) advcl (provide-6, building-11) dobj (building-11, materials-12) punct (materials-12, ,-13) compound (feed-15, livestock-14) dobj (building-11, feed-15) conj:and (materials-12, feed-15) cc (feed-15, and-16) conj:and (materials-12, bedding-17) conj:and (feed-15, bedding-17) punct (materials-12, ,-18) dobj (building-11, food-19) conj:and (materials-12, food-19) punct (materials-12, ,-20) cc (materials-12, and-21) dobj (building-11, medicines-22) conj:and (materials-12, medicines-22) punct (provide-6, .-23) ",bedding,17,"conj:and (materials-12, bedding-17) conj:and (feed-15, bedding-17) ","materials , livestock feed and bedding , food , and medicines",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'materials', 12), ('and', 'feed', 15)]","['and', 'and']","[materials-12, feed-15]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Forest-floor litter , used as bedding for stall-fed livestock , probably constitutes the largest of these in the volume of biomass collected .","Forest-floor/forest-floor/JJ litter/litter/NN ,/,/, used/use/VBN as/as/IN bedding/bedding/NN for/for/IN stall-fed/stall-fed/JJ livestock/livestock/NN ,/,/, probably/probably/RB constitutes/constitute/VBZ the/the/DT largest/largest/JJS of/of/IN these/these/DT in/in/IN the/the/DT volume/volume/NN of/of/IN biomass/biomass/NN collected/collect/VBN ././. ","ROOT (ROOT-0, constitutes-12) amod (litter-2, Forest-floor-1) nsubj (constitutes-12, litter-2) punct (litter-2, ,-3) acl (litter-2, used-4) case (bedding-6, as-5) nmod:as (used-4, bedding-6) case (livestock-9, for-7) amod (livestock-9, stall-fed-8) nmod:for (bedding-6, livestock-9) punct (litter-2, ,-10) advmod (constitutes-12, probably-11) det (largest-14, the-13) dobj (constitutes-12, largest-14) case (these-16, of-15) nmod:of (largest-14, these-16) case (volume-19, in-17) det (volume-19, the-18) nmod:in (these-16, volume-19) case (biomass-21, of-20) nmod:of (volume-19, biomass-21) acl (biomass-21, collected-22) punct (constitutes-12, .-23) ",bedding,6,"case (bedding-6, as-5) nmod:as (used-4, bedding-6) nmod:for (bedding-6, livestock-9) ","Forest-floor litter , used as bedding for stall-fed livestock , probably",NN,[],,,,,[],[],[],,"[('as', 'used', 4), ('for', 'livestock', 9)]","['as', 'for']",['livestock'],['used'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['as'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"However , systematic measurements of the amounts of litter used for bedding are rare .","However/however/RB ,/,/, systematic/systematic/JJ measurements/measurement/NNS of/of/IN the/the/DT amounts/amount/NNS of/of/IN litter/litter/NN used/use/VBN for/for/IN bedding/bedding/NN are/be/VBP rare/rare/JJ ././. ","ROOT (ROOT-0, rare-14) advmod (rare-14, However-1) punct (rare-14, ,-2) amod (measurements-4, systematic-3) nsubj (rare-14, measurements-4) case (amounts-7, of-5) det (amounts-7, the-6) nmod:of (measurements-4, amounts-7) case (litter-9, of-8) nmod:of (amounts-7, litter-9) acl (litter-9, used-10) case (bedding-12, for-11) nmod:for (used-10, bedding-12) cop (rare-14, are-13) punct (rare-14, .-15) ",bedding,12,"case (bedding-12, for-11) nmod:for (used-10, bedding-12) ",amounts of litter used for bedding are rare .,NN,[],,,,,[],[],[],,"[('for', 'used', 10)]",['for'],[],['used'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['for'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Obtaining better data on use of forest-floor litter as livestock bedding is one of the central tasks facing future researchers , as forest-floor litter plays a key role in promoting rainfall infiltration and , thus , in limiting surface erosion and flash flooding .","Obtaining/obtain/VBG better/better/JJR data/datum/NNS on/on/IN use/use/NN of/of/IN forest-floor/forest-floor/JJ litter/litter/NN as/as/IN livestock/livestock/NN bedding/bedding/NN is/be/VBZ one/one/CD of/of/IN the/the/DT central/central/JJ tasks/task/NNS facing/face/VBG future/future/JJ researchers/researcher/NNS ,/,/, as/as/IN forest-floor/forest-floor/JJ litter/litter/NN plays/play/VBZ a/a/DT key/key/JJ role/role/NN in/in/IN promoting/promote/VBG rainfall/rainfall/NNS infiltration/infiltration/NN and/and/CC ,/,/, thus/thus/RB ,/,/, in/in/IN limiting/limit/VBG surface/surface/NN erosion/erosion/NN and/and/CC flash/flash/NN flooding/flooding/NN ././. ","ROOT (ROOT-0, tasks-17) csubj (one-13, Obtaining-1) amod (data-3, better-2) dobj (Obtaining-1, data-3) case (use-5, on-4) nmod:on (Obtaining-1, use-5) case (litter-8, of-6) amod (litter-8, forest-floor-7) nmod:of (use-5, litter-8) case (bedding-11, as-9) compound (bedding-11, livestock-10) nmod:as (Obtaining-1, bedding-11) cop (one-13, is-12) det:qmod (tasks-17, one-13) mwe (one-13, of-14) det (tasks-17, the-15) amod (tasks-17, central-16) acl (tasks-17, facing-18) amod (researchers-20, future-19) dobj (facing-18, researchers-20) punct (researchers-20, ,-21) mark (plays-25, as-22) amod (litter-24, forest-floor-23) nsubj (plays-25, litter-24) dep (researchers-20, plays-25) det (role-28, a-26) amod (role-28, key-27) dobj (plays-25, role-28) mark (promoting-30, in-29) advcl:in (plays-25, promoting-30) compound (infiltration-32, rainfall-31) dobj (promoting-30, infiltration-32) cc (plays-25, and-33) punct (plays-25, ,-34) advmod (plays-25, thus-35) punct (plays-25, ,-36) mark (limiting-38, in-37) dep (plays-25, limiting-38) compound (erosion-40, surface-39) dobj (limiting-38, erosion-40) cc (erosion-40, and-41) compound (flooding-43, flash-42) dobj (limiting-38, flooding-43) conj:and (erosion-40, flooding-43) punct (one-13, .-44) ",bedding,11,"case (bedding-11, as-9) compound (bedding-11, livestock-10) nmod:as (Obtaining-1, bedding-11) ",of forest-floor litter as livestock bedding is one of the central,NN,[],,,,,[],[],[],,"[('as', 'Obtaining', 1)]",['as'],[],['Obtaining'],[],[],[],[],[],[],['livestock'],[],,,,,,,,,,,,,,[],[],[],['as'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
