Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Tuned-in architects and artists have to embrace CinemaScope , glossy magazines , push-button controls , chromed kitchen appliances , and spotted beachwear , but be ready to throw them away at a moment 's notice in favor of whatever comes next .","Tuned-in/tuned-in/JJ architects/architect/NNS and/and/CC artists/artist/NNS have/have/VBP to/to/TO embrace/embrace/VB CinemaScope/CinemaScope/NNP ,/,/, glossy/glossy/JJ magazines/magazine/NNS ,/,/, push-button/push-button/JJ controls/control/NNS ,/,/, chromed/chromed/JJ kitchen/kitchen/NN appliances/appliance/NNS ,/,/, and/and/CC spotted/spot/VBD beachwear/beachwear/NN ,/,/, but/but/CC be/be/VB ready/ready/JJ to/to/TO throw/throw/VB them/they/PRP away/away/RB at/at/IN a/a/DT moment/moment/NN 's/'s/POS notice/notice/NN in/in/IN favor/favor/NN of/of/IN whatever/whatever/WDT comes/come/VBZ next/next/RB ././. ","ROOT (ROOT-0, have-5) amod (architects-2, Tuned-in-1) nsubj (have-5, architects-2) nsubj:xsubj (embrace-7, architects-2) nsubj (spotted-21, architects-2) nsubj (ready-26, architects-2) nsubj:xsubj (throw-28, architects-2) cc (architects-2, and-3) conj:and (architects-2, artists-4) nsubj (have-5, artists-4) nsubj:xsubj (embrace-7, artists-4) mark (embrace-7, to-6) xcomp (have-5, embrace-7) dobj (embrace-7, CinemaScope-8) punct (CinemaScope-8, ,-9) amod (magazines-11, glossy-10) appos (CinemaScope-8, magazines-11) punct (CinemaScope-8, ,-12) amod (controls-14, push-button-13) appos (CinemaScope-8, controls-14) punct (CinemaScope-8, ,-15) amod (appliances-18, chromed-16) compound (appliances-18, kitchen-17) appos (CinemaScope-8, appliances-18) punct (CinemaScope-8, ,-19) cc (have-5, and-20) conj:and (have-5, spotted-21) dobj (spotted-21, beachwear-22) punct (have-5, ,-23) cc (have-5, but-24) cop (ready-26, be-25) conj:but (have-5, ready-26) mark (throw-28, to-27) xcomp (ready-26, throw-28) dobj (throw-28, them-29) advmod (throw-28, away-30) case (notice-35, at-31) det (moment-33, a-32) nmod:poss (notice-35, moment-33) case (moment-33, 's-34) nmod:at (away-30, notice-35) case (favor-37, in-36) nmod:in (throw-28, favor-37) mark (comes-40, of-38) nsubj (comes-40, whatever-39) acl:of (favor-37, comes-40) advmod (comes-40, next-41) punct (have-5, .-42) ",beachwear,22,"dobj (spotted-21, beachwear-22) ","kitchen appliances , and spotted beachwear , but be ready to",NN,[],spotted-21,spot,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2000.txt_2.csv,0,0,0,0,unknown,,,,
"The Chinese restaurant I lead him to used to be a pizza parlor ; it 's just down the street , past a couple of tchotchke shops and a store for women 's beachwear .","The/the/DT Chinese/chinese/JJ restaurant/restaurant/NN I/I/PRP lead/lead/VBP him/he/PRP to/to/TO used/use/VBN to/to/TO be/be/VB a/a/DT pizza/pizza/NN parlor/parlor/NN ;/;/: it/it/PRP 's/be/VBZ just/just/RB down/down/IN the/the/DT street/street/NN ,/,/, past/past/IN a/a/DT couple/couple/NN of/of/IN tchotchke/tchotchke/NN shops/shop/NNS and/and/CC a/a/DT store/store/NN for/for/IN women/woman/NNS 's/'s/POS beachwear/beachwear/NN ././. ","ROOT (ROOT-0, restaurant-3) det (restaurant-3, The-1) amod (restaurant-3, Chinese-2) nsubj (lead-5, I-4) acl:relcl (restaurant-3, lead-5) dobj (lead-5, him-6) nsubj:xsubj (used-8, him-6) mark (used-8, to-7) xcomp (lead-5, used-8) mark (parlor-13, to-9) cop (parlor-13, be-10) det (parlor-13, a-11) compound (parlor-13, pizza-12) xcomp (used-8, parlor-13) punct (restaurant-3, ;-14) nsubj (couple-24, it-15) cop (couple-24, 's-16) advmod (couple-24, just-17) case (street-20, down-18) det (street-20, the-19) advmod (couple-24, street-20) punct (couple-24, ,-21) case (couple-24, past-22) det:qmod (shops-27, a-23) mwe (a-23, couple-24) mwe (a-23, of-25) compound (shops-27, tchotchke-26) dep (restaurant-3, shops-27) cc (couple-24, and-28) det (store-30, a-29) mwe (a-23, store-30) conj:and (couple-24, store-30) case (beachwear-34, for-31) nmod:poss (beachwear-34, women-32) case (women-32, 's-33) nmod:for (store-30, beachwear-34) punct (restaurant-3, .-35) ",beachwear,34,"case (beachwear-34, for-31) nmod:poss (beachwear-34, women-32) nmod:for (store-30, beachwear-34) ",a store for women 's beachwear .,NN,[],,,,,[],[],[],,"[('for', 'store', 30)]",['for'],[],['store'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['women'],[],[],['for'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2003.txt_2.csv,0,0,0,0,unknown,,,,
They are standing outside the beachwear shop .,They/they/PRP are/be/VBP standing/stand/VBG outside/outside/IN the/the/DT beachwear/beachwear/NN shop/shop/NN ././. ,"ROOT (ROOT-0, standing-3) nsubj (standing-3, They-1) aux (standing-3, are-2) case (shop-7, outside-4) det (shop-7, the-5) compound (shop-7, beachwear-6) nmod:outside (standing-3, shop-7) punct (standing-3, .-8) ",beachwear,6,"compound (shop-7, beachwear-6) ",They are standing outside the beachwear shop .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['shop'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2003.txt_2.csv,0,0,0,0,unknown,,,,
October in Maryland shows no mercy to beachwear .  '',October/October/NNP in/in/IN Maryland/Maryland/NNP shows/show/VBZ no/no/DT mercy/mercy/NN to/to/TO beachwear/beachwear/NN ././. ''/''/'' ,"ROOT (ROOT-0, shows-4) nsubj (shows-4, October-1) case (Maryland-3, in-2) nmod:in (October-1, Maryland-3) neg (mercy-6, no-5) dobj (shows-4, mercy-6) case (beachwear-8, to-7) nmod:to (shows-4, beachwear-8) punct (shows-4, .-9) punct (shows-4, ''-10) ",beachwear,8,"case (beachwear-8, to-7) nmod:to (shows-4, beachwear-8) ",Maryland shows no mercy to beachwear . '',NN,[],,,,,[],[],[],,"[('to', 'shows', 4)]",['to'],[],['shows'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2009.txt_1.csv,0,0,0,0,unknown,,,,
"Unfortunately , real women were n't lovin ' his brazen beachwear .","Unfortunately/unfortunately/RB ,/,/, real/real/JJ women/woman/NNS were/be/VBD n't/not/RB lovin/lovin/NN '/'/'' his/he/PRP$ brazen/brazen/VB beachwear/beachwear/NN ././. ","ROOT (ROOT-0, lovin-7) advmod (lovin-7, Unfortunately-1) punct (lovin-7, ,-2) amod (women-4, real-3) nsubj (lovin-7, women-4) cop (lovin-7, were-5) neg (lovin-7, n't-6) punct (lovin-7, '-8) nsubj (brazen-10, his-9) acl:relcl (lovin-7, brazen-10) dobj (brazen-10, beachwear-11) punct (lovin-7, .-12) ",beachwear,11,"dobj (brazen-10, beachwear-11) ",n't lovin ' his brazen beachwear .,NN,[],brazen-10,brazen,VB,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2004.txt_1.csv,0,0,0,0,unknown,,,,
ATTIRE Pack beachwear that is comfortable yet stylish enough for a seaside celebration .,ATTIRE/attire/NN Pack/pack/VB beachwear/beachwear/NN that/that/WDT is/be/VBZ comfortable/comfortable/JJ yet/yet/RB stylish/stylish/JJ enough/enough/RB for/for/IN a/a/DT seaside/seaside/JJ celebration/celebration/NN ././. ,"ROOT (ROOT-0, Pack-2) nsubj (Pack-2, ATTIRE-1) dobj (Pack-2, beachwear-3) nsubj (comfortable-6, beachwear-3) ref (beachwear-3, that-4) cop (comfortable-6, is-5) acl:relcl (beachwear-3, comfortable-6) advmod (stylish-8, yet-7) dep (celebration-13, stylish-8) advmod (stylish-8, enough-9) case (celebration-13, for-10) det (celebration-13, a-11) amod (celebration-13, seaside-12) nmod:for (comfortable-6, celebration-13) punct (Pack-2, .-14) ",beachwear,3,"dobj (Pack-2, beachwear-3) nsubj (comfortable-6, beachwear-3) ref (beachwear-3, that-4) acl:relcl (beachwear-3, comfortable-6) ",ATTIRE Pack beachwear that is comfortable yet stylish,NN,[],Pack-2,pack,VB,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2006.txt_1.csv,0,0,0,0,unknown,,,,
"Beachwear counts for a third of my suitcase , '' says Vivre founder Eva Jeanbart-Lorenzotti , who carefully lines each layer of clothing in her red T. Anthony luggage with acid-free tissue paper from Gracious Home ( my grandmother would be proud ) and carries a chip of Savon de Marseille to wash out light stains ( a drop of mild shampoo will also do the trick ) .","Beachwear/Beachwear/NNP counts/count/VBZ for/for/IN a/a/DT third/third/JJ of/of/IN my/my/PRP$ suitcase/suitcase/NN ,/,/, ''/''/'' says/say/VBZ Vivre/Vivre/NNP founder/founder/NN Eva/Eva/NNP Jeanbart-Lorenzotti/Jeanbart-Lorenzotti/NNP ,/,/, who/who/WP carefully/carefully/RB lines/line/NNS each/each/DT layer/layer/NN of/of/IN clothing/clothing/NN in/in/IN her/she/PRP$ red/red/JJ T./T./NNP Anthony/Anthony/NNP luggage/luggage/NN with/with/IN acid-free/acid-free/JJ tissue/tissue/NN paper/paper/NN from/from/IN Gracious/Gracious/NNP Home/Home/NNP -LRB-/-lrb-/-LRB- my/my/PRP$ grandmother/grandmother/NN would/would/MD be/be/VB proud/proud/JJ -RRB-/-rrb-/-RRB- and/and/CC carries/carry/VBZ a/a/DT chip/chip/NN of/of/IN Savon/Savon/NNP de/de/IN Marseille/Marseille/NNP to/to/TO wash/wash/VB out/out/RP light/light/JJ stains/stain/NNS -LRB-/-lrb-/-LRB- a/a/DT drop/drop/NN of/of/IN mild/mild/JJ shampoo/shampoo/NN will/will/MD also/also/RB do/do/VB the/the/DT trick/trick/NN -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, says-11) nsubj (counts-2, Beachwear-1) ccomp (says-11, counts-2) case (third-5, for-3) det (third-5, a-4) nmod:for (counts-2, third-5) case (suitcase-8, of-6) nmod:poss (suitcase-8, my-7) nmod:of (third-5, suitcase-8) punct (says-11, ,-9) punct (says-11, ''-10) compound (Jeanbart-Lorenzotti-15, Vivre-12) compound (Jeanbart-Lorenzotti-15, founder-13) compound (Jeanbart-Lorenzotti-15, Eva-14) nsubj (says-11, Jeanbart-Lorenzotti-15) dep (layer-21, Jeanbart-Lorenzotti-15) punct (Jeanbart-Lorenzotti-15, ,-16) ref (Jeanbart-Lorenzotti-15, who-17) advmod (layer-21, carefully-18) nmod:npmod (carefully-18, lines-19) det (layer-21, each-20) acl:relcl (Jeanbart-Lorenzotti-15, layer-21) case (clothing-23, of-22) nmod:of (layer-21, clothing-23) case (luggage-29, in-24) nmod:poss (luggage-29, her-25) amod (luggage-29, red-26) compound (luggage-29, T.-27) compound (luggage-29, Anthony-28) nmod:in (clothing-23, luggage-29) case (paper-33, with-30) amod (paper-33, acid-free-31) compound (paper-33, tissue-32) nmod:with (luggage-29, paper-33) case (Home-36, from-34) compound (Home-36, Gracious-35) nmod:from (paper-33, Home-36) punct (proud-42, (-37) nmod:poss (grandmother-39, my-38) nsubj (proud-42, grandmother-39) aux (proud-42, would-40) cop (proud-42, be-41) dep (clothing-23, proud-42) punct (proud-42, )-43) cc (layer-21, and-44) acl:relcl (Jeanbart-Lorenzotti-15, carries-45) conj:and (layer-21, carries-45) det (chip-47, a-46) dobj (carries-45, chip-47) case (Marseille-51, of-48) compound (Marseille-51, Savon-49) amod (Marseille-51, de-50) nmod:of (chip-47, Marseille-51) mark (wash-53, to-52) acl:to (Marseille-51, wash-53) compound:prt (wash-53, out-54) amod (stains-56, light-55) dobj (wash-53, stains-56) punct (do-65, (-57) det (drop-59, a-58) nsubj (do-65, drop-59) case (shampoo-62, of-60) amod (shampoo-62, mild-61) nmod:of (drop-59, shampoo-62) aux (do-65, will-63) advmod (do-65, also-64) parataxis (wash-53, do-65) det (trick-67, the-66) dobj (do-65, trick-67) punct (do-65, )-68) punct (says-11, .-69) ",Beachwear,1,"nsubj (counts-2, Beachwear-1) ",Beachwear counts for a third of,NNP,[],counts-2,count,VBZ,subject,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,singular,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2006.txt_1.csv,0,0,0,0,unknown,,,,
"Moms in stylish beachwear take their well-behaved children to lunch at Mosaic , the 300-seat , three-meal-a-day restaurant that offers easily the best buffet I 've ever had : roast leg of lamb , coconut tapioca pudding and all .","Moms/mom/NNS in/in/IN stylish/stylish/JJ beachwear/beachwear/NN take/take/VB their/they/PRP$ well-behaved/well-behaved/JJ children/child/NNS to/to/TO lunch/lunch/NN at/at/IN Mosaic/Mosaic/NNP ,/,/, the/the/DT 300-seat/300-seat/JJ ,/,/, three-meal-a-day/three-meal-a-day/JJ restaurant/restaurant/NN that/that/WDT offers/offer/VBZ easily/easily/RB the/the/DT best/best/JJS buffet/buffet/NN I/I/PRP 've/have/VBP ever/ever/RB had/have/VBN :/:/: roast/roast/NN leg/leg/NN of/of/IN lamb/lamb/NN ,/,/, coconut/coconut/NN tapioca/tapioca/NN pudding/pudding/NN and/and/CC all/all/DT ././. ","ROOT (ROOT-0, take-5) nsubj (take-5, Moms-1) case (beachwear-4, in-2) amod (beachwear-4, stylish-3) nmod:in (Moms-1, beachwear-4) nmod:poss (children-8, their-6) amod (children-8, well-behaved-7) dobj (take-5, children-8) case (lunch-10, to-9) nmod:to (take-5, lunch-10) case (Mosaic-12, at-11) nmod:at (lunch-10, Mosaic-12) punct (take-5, ,-13) det (restaurant-18, the-14) amod (restaurant-18, 300-seat-15) punct (restaurant-18, ,-16) amod (restaurant-18, three-meal-a-day-17) dobj (take-5, restaurant-18) nsubj (offers-20, restaurant-18) ref (restaurant-18, that-19) acl:relcl (restaurant-18, offers-20) advmod (offers-20, easily-21) det (buffet-24, the-22) amod (buffet-24, best-23) dobj (offers-20, buffet-24) nsubj (had-28, I-25) aux (had-28, 've-26) advmod (had-28, ever-27) acl:relcl (buffet-24, had-28) punct (restaurant-18, :-29) compound (leg-31, roast-30) dep (restaurant-18, leg-31) case (lamb-33, of-32) nmod:of (leg-31, lamb-33) punct (lamb-33, ,-34) compound (pudding-37, coconut-35) compound (pudding-37, tapioca-36) nmod:of (leg-31, pudding-37) conj:and (lamb-33, pudding-37) cc (lamb-33, and-38) nmod:of (leg-31, all-39) conj:and (lamb-33, all-39) punct (take-5, .-40) ",beachwear,4,"case (beachwear-4, in-2) amod (beachwear-4, stylish-3) nmod:in (Moms-1, beachwear-4) ",Moms in stylish beachwear take their well-behaved children to,NN,[],,,,,[],[],[],,"[('in', 'Moms', 1)]",['in'],[],['Moms'],[],[],[],[],[],[],[],['stylish'],[0.095],[0.081],[0.15354166666666666],[0.06916666666666665],[0.09333333333333334],[0.0225],[0.09854166666666667],[0.055],[0.03],[0.059000000000000004],[0.07041666666666667],[0.1475],[0.025],[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2007.txt_2.csv,0,0,0,0,unknown,,,,
A handy guide to beachwear page 22 .,A/a/DT handy/handy/JJ guide/guide/NN to/to/TO beachwear/beachwear/NN page/page/NN 22/22/CD ././. ,"ROOT (ROOT-0, guide-3) det (guide-3, A-1) amod (guide-3, handy-2) case (page-6, to-4) compound (page-6, beachwear-5) nmod:to (guide-3, page-6) nummod (page-6, 22-7) punct (guide-3, .-8) ",beachwear,5,"compound (page-6, beachwear-5) ",A handy guide to beachwear page 22 .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['page'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2010.txt_1.csv,0,0,0,0,unknown,,,,
"The latter site is for the Change line of lingerie , beachwear and other corsetry .","The/the/DT latter/latter/JJ site/site/NN is/be/VBZ for/for/IN the/the/DT Change/Change/NNP line/line/NN of/of/IN lingerie/lingerie/NN ,/,/, beachwear/beachwear/NN and/and/CC other/other/JJ corsetry/corsetry/NN ././. ","ROOT (ROOT-0, line-8) det (site-3, The-1) amod (site-3, latter-2) nsubj (line-8, site-3) cop (line-8, is-4) case (line-8, for-5) det (line-8, the-6) compound (line-8, Change-7) case (lingerie-10, of-9) nmod:of (line-8, lingerie-10) punct (lingerie-10, ,-11) nmod:of (line-8, beachwear-12) conj:and (lingerie-10, beachwear-12) cc (lingerie-10, and-13) amod (corsetry-15, other-14) nmod:of (line-8, corsetry-15) conj:and (lingerie-10, corsetry-15) punct (line-8, .-16) ",beachwear,12,"nmod:of (line-8, beachwear-12) conj:and (lingerie-10, beachwear-12) ","Change line of lingerie , beachwear and other corsetry .",NN,[],,,,,[],[],[],,"[('of', 'line', 8)]",['of'],[],['line'],[],[],"[('and', 'lingerie', 10)]",['and'],[lingerie-10],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/news/COCA_News_results/w_news_2008.txt_4.csv,0,0,0,0,unknown,,,,
