Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
Value judgment '' is a term loaded with theological and philosophical freight .,Value/Value/NNP judgment/judgment/NN ''/''/'' is/be/VBZ a/a/DT term/term/NN loaded/load/VBN with/with/IN theological/theological/JJ and/and/CC philosophical/philosophical/JJ freight/freight/NN ././. ,"ROOT (ROOT-0, term-6) nsubj (term-6, Value-1) dep (Value-1, judgment-2) punct (judgment-2, ''-3) cop (term-6, is-4) det (term-6, a-5) acl (term-6, loaded-7) case (freight-12, with-8) amod (freight-12, theological-9) cc (theological-9, and-10) conj:and (theological-9, philosophical-11) amod (freight-12, philosophical-11) nmod:with (loaded-7, freight-12) punct (term-6, .-13) ",freight,12,"case (freight-12, with-8) amod (freight-12, theological-9) amod (freight-12, philosophical-11) nmod:with (loaded-7, freight-12) ",loaded with theological and philosophical freight .,NN,[],,,,,[],[],[],,"[('with', 'loaded', 7)]",['with'],[],['loaded'],[],[],[],[],[],[],[],"['theological', 'philosophical']","[0.071875, 0.10208333333333335]","[0.0475, 0.05666666666666667]","[0.055625, 0.17041666666666663]","[0.04854166666666667, 0.056666666666666664]","[0.07291666666666666, 0.04833333333333333]","[0.0275, 0.019166666666666665]","[0.008333333333333333, 0.04645833333333334]","[0.1, 0.0975]","[0.345, 0.1475]","[0.04020833333333334, 0.05833333333333333]","[0.055625, 0.050166666666666665]","[0.114375, 0.12087500000000001]","[0.0125, 0.025833333333333333]",[],[],[],['with'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"I first went to Antigua believing that market-based , interpersonal bonds between urban and rural dwellers would carry cultural freight ( attitudes , beliefs , norms , political opinions ) between city and countryside .","I/I/PRP first/first/RB went/go/VBD to/to/TO Antigua/Antigua/NNP believing/believe/VBG that/that/IN market-based/market-based/JJ ,/,/, interpersonal/interpersonal/JJ bonds/bond/NNS between/between/IN urban/urban/JJ and/and/CC rural/rural/JJ dwellers/dweller/NNS would/would/MD carry/carry/VB cultural/cultural/JJ freight/freight/NN -LRB-/-lrb-/-LRB- attitudes/attitude/NNS ,/,/, beliefs/belief/NNS ,/,/, norms/norm/NNS ,/,/, political/political/JJ opinions/opinion/NNS -RRB-/-rrb-/-RRB- between/between/IN city/city/NN and/and/CC countryside/countryside/NN ././. ","ROOT (ROOT-0, went-3) nsubj (went-3, I-1) advmod (went-3, first-2) case (Antigua-5, to-4) nmod:to (went-3, Antigua-5) xcomp (went-3, believing-6) mark (carry-18, that-7) amod (bonds-11, market-based-8) punct (bonds-11, ,-9) amod (bonds-11, interpersonal-10) nsubj (carry-18, bonds-11) case (dwellers-16, between-12) amod (dwellers-16, urban-13) cc (urban-13, and-14) conj:and (urban-13, rural-15) amod (dwellers-16, rural-15) nmod:between (bonds-11, dwellers-16) aux (carry-18, would-17) ccomp (believing-6, carry-18) amod (freight-20, cultural-19) dobj (carry-18, freight-20) punct (attitudes-22, (-21) dep (freight-20, attitudes-22) punct (attitudes-22, ,-23) appos (attitudes-22, beliefs-24) punct (attitudes-22, ,-25) appos (attitudes-22, norms-26) punct (attitudes-22, ,-27) amod (opinions-29, political-28) appos (attitudes-22, opinions-29) punct (attitudes-22, )-30) case (city-32, between-31) nmod:between (freight-20, city-32) cc (city-32, and-33) nmod:between (freight-20, countryside-34) conj:and (city-32, countryside-34) punct (went-3, .-35) ",freight,20,"amod (freight-20, cultural-19) dobj (carry-18, freight-20) dep (freight-20, attitudes-22) nmod:between (freight-20, city-32) nmod:between (freight-20, countryside-34) ","rural dwellers would carry cultural freight ( attitudes , beliefs ,",NN,[],carry-18,carry,VB,object,[],[],['would'],,"[('between', 'city', 32), ('between', 'countryside', 34)]","['between', 'between']","['city', 'countryside']",[],[],[],[],[],[],[],[],['cultural'],[0.06583333333333334],[0.07458333333333333],[0.0375],[0.0625],[0.1175],[0.0425],[0.023333333333333334],[0.07],[0.2225],[0.10666666666666666],[0.10041666666666668],[0.06166666666666666],[0.015],[],[],[],[],[],[],[],[],would,that,singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"SUMMARY  In analyzing US highway travel and fuel use , it is important to distinguish between large trucks ' freight transport and passenger travel in cars and light trucks .","SUMMARY/summary/NN In/in/IN analyzing/analyze/VBG US/US/NNP highway/highway/NN travel/travel/NN and/and/CC fuel/fuel/NN use/use/NN ,/,/, it/it/PRP is/be/VBZ important/important/JJ to/to/TO distinguish/distinguish/VB between/between/IN large/large/JJ trucks/truck/NNS '/'/POS freight/freight/NN transport/transport/NN and/and/CC passenger/passenger/NN travel/travel/NN in/in/IN cars/car/NNS and/and/CC light/light/JJ trucks/truck/NNS ././. ","ROOT (ROOT-0, important-13) dep (important-13, SUMMARY-1) mark (SUMMARY-1, In-2) dep (SUMMARY-1, analyzing-3) compound (travel-6, US-4) compound (travel-6, highway-5) dobj (analyzing-3, travel-6) cc (travel-6, and-7) compound (use-9, fuel-8) dobj (analyzing-3, use-9) conj:and (travel-6, use-9) punct (important-13, ,-10) nsubj (important-13, it-11) nsubj:xsubj (distinguish-15, it-11) cop (important-13, is-12) mark (distinguish-15, to-14) xcomp (important-13, distinguish-15) case (transport-21, between-16) amod (trucks-18, large-17) nmod:poss (transport-21, trucks-18) case (trucks-18, '-19) compound (transport-21, freight-20) nmod:between (distinguish-15, transport-21) cc (transport-21, and-22) compound (travel-24, passenger-23) nmod:between (distinguish-15, travel-24) conj:and (transport-21, travel-24) case (cars-26, in-25) nmod:in (distinguish-15, cars-26) cc (cars-26, and-27) amod (trucks-29, light-28) nmod:in (distinguish-15, trucks-29) conj:and (cars-26, trucks-29) punct (important-13, .-30) ",freight,20,"compound (transport-21, freight-20) ",distinguish between large trucks ' freight transport and passenger travel in,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['transport'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
In the last two decades trucks ' share of intercity freight movement has increased from 22% to 25% of total ton-miles .,In/in/IN the/the/DT last/last/JJ two/two/CD decades/decade/NNS trucks/truck/NNS '/'/POS share/share/NN of/of/IN intercity/intercity/NN freight/freight/NN movement/movement/NN has/have/VBZ increased/increase/VBN from/from/IN 22/22/CD %/%/NN to/to/TO 25/25/CD %/%/NN of/of/IN total/total/JJ ton-miles/ton-mile/NNS ././. ,"ROOT (ROOT-0, increased-14) case (decades-5, In-1) det (decades-5, the-2) amod (decades-5, last-3) nummod (decades-5, two-4) nmod:in (increased-14, decades-5) nmod:poss (share-8, trucks-6) case (trucks-6, '-7) nsubj (increased-14, share-8) case (movement-12, of-9) compound (movement-12, intercity-10) compound (movement-12, freight-11) nmod:of (share-8, movement-12) aux (increased-14, has-13) case (%-20, from-15) compound (%-20, 22-16) dep (%-20, %-17) dep (%-20, to-18) compound (%-20, 25-19) nmod:from (increased-14, %-20) case (ton-miles-23, of-21) amod (ton-miles-23, total-22) nmod:of (%-20, ton-miles-23) punct (increased-14, .-24) ",freight,11,"compound (movement-12, freight-11) ",trucks ' share of intercity freight movement has increased from 22%,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['movement'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"The average annual growth rates in ton-miles have been 2.8% for trucks and 2.25% for total freight movement , versus 2.8% for GNP .","The/the/DT average/average/JJ annual/annual/JJ growth/growth/NN rates/rate/NNS in/in/IN ton-miles/ton-mile/NNS have/have/VBP been/be/VBN 2.8/2.8/CD %/%/NN for/for/IN trucks/truck/NNS and/and/CC 2.25/2.25/CD %/%/NN for/for/IN total/total/JJ freight/freight/NN movement/movement/NN ,/,/, versus/versus/CC 2.8/2.8/CD %/%/NN for/for/IN GNP/GNP/NNP ././. ","ROOT (ROOT-0, %-11) det (rates-5, The-1) amod (rates-5, average-2) amod (rates-5, annual-3) compound (rates-5, growth-4) nsubj (%-11, rates-5) case (ton-miles-7, in-6) nmod:in (rates-5, ton-miles-7) aux (%-11, have-8) cop (%-11, been-9) nummod (%-11, 2.8-10) case (trucks-13, for-12) nmod:for (%-11, trucks-13) cc (%-11, and-14) nummod (%-16, 2.25-15) conj:and (%-11, %-16) case (movement-20, for-17) amod (movement-20, total-18) compound (movement-20, freight-19) nmod:for (%-16, movement-20) punct (%-11, ,-21) cc (%-11, versus-22) nummod (%-24, 2.8-23) conj:versus (%-11, %-24) case (GNP-26, for-25) nmod:for (%-24, GNP-26) punct (%-11, .-27) ",freight,19,"compound (movement-20, freight-19) ","2.25% for total freight movement , versus 2.8% for GNP .",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['movement'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"123 In People Express , the plaintiff airline was forced to evacuate its business premises when the defendant 's negligence caused a chemical leak and a fire in a nearby freight yard.","123/123/CD In/in/IN People/People/NNP Express/Express/NNP ,/,/, the/the/DT plaintiff/plaintiff/NN airline/airline/NN was/be/VBD forced/force/VBN to/to/TO evacuate/evacuate/VB its/its/PRP$ business/business/NN premises/premise/NNS when/when/WRB the/the/DT defendant/defendant/NN 's/'s/POS negligence/negligence/NN caused/cause/VBD a/a/DT chemical/chemical/NN leak/leak/NN and/and/CC a/a/DT fire/fire/NN in/in/IN a/a/DT nearby/nearby/JJ freight/freight/NN yard/yard/NN ././. ","ROOT (ROOT-0, forced-10) nmod:in (forced-10, 123-1) case (123-1, In-2) compound (Express-4, People-3) dep (123-1, Express-4) punct (forced-10, ,-5) det (airline-8, the-6) compound (airline-8, plaintiff-7) nsubjpass (forced-10, airline-8) nsubj:xsubj (evacuate-12, airline-8) auxpass (forced-10, was-9) mark (evacuate-12, to-11) xcomp (forced-10, evacuate-12) nmod:poss (premises-15, its-13) compound (premises-15, business-14) dobj (evacuate-12, premises-15) advmod (caused-21, when-16) det (defendant-18, the-17) nmod:poss (negligence-20, defendant-18) case (defendant-18, 's-19) nsubj (caused-21, negligence-20) advcl (evacuate-12, caused-21) det (leak-24, a-22) compound (leak-24, chemical-23) dobj (caused-21, leak-24) cc (leak-24, and-25) det (fire-27, a-26) dobj (caused-21, fire-27) conj:and (leak-24, fire-27) case (yard-32, in-28) det (yard-32, a-29) amod (yard-32, nearby-30) compound (yard-32, freight-31) nmod:in (caused-21, yard-32) punct (forced-10, .-33) ",freight,31,"compound (yard-32, freight-31) ",a fire in a nearby freight yard.,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['yard'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"126 Bibb v. Navajo Freight Lines , 359 U.S. 520 , 529 ( 1958 ) ( state exercises of police power presumed valid when challenged under the due process clause of the fourteenth amendment ) .","126/126/CD Bibb/Bibb/NNP v./v./CC Navajo/Navajo/NNP Freight/Freight/NNP Lines/Lines/NNP ,/,/, 359/359/CD U.S./U.S./NNP 520/520/CD ,/,/, 529/529/CD -LRB-/-lrb-/-LRB- 1958/1958/CD -RRB-/-rrb-/-RRB- -LRB-/-lrb-/-LRB- state/state/NN exercises/exercise/NNS of/of/IN police/police/NN power/power/NN presumed/presume/VBN valid/valid/JJ when/when/WRB challenged/challenge/VBN under/under/IN the/the/DT due/due/JJ process/process/NN clause/clause/NN of/of/IN the/the/DT fourteenth/fourteenth/JJ amendment/amendment/NN -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, 126-1) compound (Lines-6, Bibb-2) cc (Bibb-2, v.-3) conj:v. (Bibb-2, Navajo-4) compound (Lines-6, Navajo-4) compound (Lines-6, Freight-5) dep (126-1, Lines-6) punct (126-1, ,-7) appos (126-1, 359-8) dep (359-8, U.S.-9) nummod (U.S.-9, 520-10) punct (U.S.-9, ,-11) nummod (U.S.-9, 529-12) punct (1958-14, (-13) appos (U.S.-9, 1958-14) punct (1958-14, )-15) punct (exercises-18, (-16) compound (exercises-18, state-17) dep (359-8, exercises-18) case (power-21, of-19) compound (power-21, police-20) nmod:of (exercises-18, power-21) acl (exercises-18, presumed-22) xcomp (presumed-22, valid-23) advmod (challenged-25, when-24) advcl (presumed-22, challenged-25) case (clause-30, under-26) det (clause-30, the-27) amod (clause-30, due-28) compound (clause-30, process-29) nmod:under (challenged-25, clause-30) case (amendment-34, of-31) det (amendment-34, the-32) amod (amendment-34, fourteenth-33) nmod:of (clause-30, amendment-34) punct (exercises-18, )-35) punct (126-1, .-36) ",Freight,5,"compound (Lines-6, Freight-5) ","126 Bibb v. Navajo Freight Lines , 359 U.S. 520",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Lines'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"These cargo vessels carried twelve passengers as well as freight , and frequently they went on to several southern Haitian ports to pick up bananas , pineapples , coffee , and other such things , though usually this happened on the return trip from Panama to avoid spoilage .","These/these/DT cargo/cargo/NN vessels/vessel/NNS carried/carry/VBD twelve/twelve/CD passengers/passenger/NNS as/as/RB well/well/RB as/as/IN freight/freight/NN ,/,/, and/and/CC frequently/frequently/RB they/they/PRP went/go/VBD on/on/IN to/to/TO several/several/JJ southern/southern/JJ Haitian/haitian/JJ ports/port/NNS to/to/TO pick/pick/VB up/up/RP bananas/banana/NNS ,/,/, pineapples/pineapple/NNS ,/,/, coffee/coffee/NN ,/,/, and/and/CC other/other/JJ such/such/JJ things/thing/NNS ,/,/, though/though/IN usually/usually/RB this/this/DT happened/happen/VBN on/on/IN the/the/DT return/return/NN trip/trip/NN from/from/IN Panama/Panama/NNP to/to/TO avoid/avoid/VB spoilage/spoilage/NN ././. ","ROOT (ROOT-0, carried-4) det (vessels-3, These-1) compound (vessels-3, cargo-2) nsubj (carried-4, vessels-3) nummod (passengers-6, twelve-5) dobj (carried-4, passengers-6) cc (passengers-6, as-7) mwe (as-7, well-8) mwe (as-7, as-9) dobj (carried-4, freight-10) conj:and (passengers-6, freight-10) punct (carried-4, ,-11) cc (carried-4, and-12) advmod (went-15, frequently-13) nsubj (went-15, they-14) nsubj:xsubj (pick-23, they-14) conj:and (carried-4, went-15) case (ports-21, on-16) case (ports-21, to-17) amod (ports-21, several-18) amod (ports-21, southern-19) amod (ports-21, Haitian-20) nmod:to (went-15, ports-21) mark (pick-23, to-22) xcomp (went-15, pick-23) compound:prt (pick-23, up-24) dobj (pick-23, bananas-25) punct (bananas-25, ,-26) dobj (pick-23, pineapples-27) conj:and (bananas-25, pineapples-27) punct (bananas-25, ,-28) dobj (pick-23, coffee-29) conj:and (bananas-25, coffee-29) punct (bananas-25, ,-30) cc (bananas-25, and-31) amod (things-34, other-32) amod (things-34, such-33) dobj (pick-23, things-34) conj:and (bananas-25, things-34) punct (went-15, ,-35) mark (avoid-47, though-36) advmod (this-38, usually-37) nsubj (avoid-47, this-38) acl (this-38, happened-39) case (trip-43, on-40) det (trip-43, the-41) compound (trip-43, return-42) nmod:on (happened-39, trip-43) case (Panama-45, from-44) nmod:from (happened-39, Panama-45) mark (avoid-47, to-46) advcl:though (went-15, avoid-47) dobj (avoid-47, spoilage-48) punct (carried-4, .-49) ",freight,10,"dobj (carried-4, freight-10) conj:and (passengers-6, freight-10) ","twelve passengers as well as freight , and frequently they went",NN,[],carried-4,carry,VBD,object,[],[],[],,[],[],[],[],[],[],"[('and', 'passengers', 6)]",['and'],[passengers-6],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Our big boxes , which had come by ocean freight , had to be opened up , and the smaller boxes that were figured at fifty pounds weight taken out .","Our/we/PRP$ big/big/JJ boxes/box/NNS ,/,/, which/which/WDT had/have/VBD come/come/VBN by/by/IN ocean/ocean/NN freight/freight/NN ,/,/, had/have/VBD to/to/TO be/be/VB opened/open/VBN up/up/RP ,/,/, and/and/CC the/the/DT smaller/smaller/JJR boxes/box/NNS that/that/WDT were/be/VBD figured/figure/VBN at/at/IN fifty/fifty/CD pounds/pound/NNS weight/weight/NN taken/take/VBN out/out/RP ././. ","ROOT (ROOT-0, had-12) nmod:poss (boxes-3, Our-1) amod (boxes-3, big-2) nsubj (come-7, boxes-3) nsubj (had-12, boxes-3) nsubjpass:xsubj (opened-15, boxes-3) punct (boxes-3, ,-4) ref (boxes-3, which-5) aux (come-7, had-6) acl:relcl (boxes-3, come-7) case (freight-10, by-8) compound (freight-10, ocean-9) nmod:by (come-7, freight-10) punct (boxes-3, ,-11) mark (opened-15, to-13) auxpass (opened-15, be-14) xcomp (had-12, opened-15) compound:prt (opened-15, up-16) punct (had-12, ,-17) cc (had-12, and-18) det (boxes-21, the-19) amod (boxes-21, smaller-20) nsubjpass (figured-24, boxes-21) nsubj (taken-29, boxes-21) ref (boxes-21, that-22) auxpass (figured-24, were-23) acl:relcl (boxes-21, figured-24) case (weight-28, at-25) nummod (weight-28, fifty-26) compound (weight-28, pounds-27) nmod:at (figured-24, weight-28) conj:and (had-12, taken-29) compound:prt (taken-29, out-30) punct (had-12, .-31) ",freight,10,"case (freight-10, by-8) compound (freight-10, ocean-9) nmod:by (come-7, freight-10) ","which had come by ocean freight , had to be opened",NN,[],,,,,[],[],[],,"[('by', 'come', 7)]",['by'],[],['come'],[],[],[],[],[],[],['ocean'],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
Using electronic methods -- such as bar coding of freight cars and shipment containers -- rail carriers can capture location information and route it over communication lines to the buyer .,Using/use/VBG electronic/electronic/JJ methods/method/NNS --/--/: such/such/JJ as/as/IN bar/bar/NN coding/coding/NN of/of/IN freight/freight/NN cars/car/NNS and/and/CC shipment/shipment/NN containers/container/NNS --/--/: rail/rail/NN carriers/carrier/NNS can/can/MD capture/capture/VB location/location/NN information/information/NN and/and/CC route/route/NN it/it/PRP over/over/IN communication/communication/NN lines/line/NNS to/to/TO the/the/DT buyer/buyer/NN ././. ,"ROOT (ROOT-0, capture-19) dep (capture-19, Using-1) amod (methods-3, electronic-2) dobj (Using-1, methods-3) punct (coding-8, ---4) case (coding-8, such-5) mwe (such-5, as-6) compound (coding-8, bar-7) nmod:such_as (methods-3, coding-8) case (cars-11, of-9) compound (cars-11, freight-10) nmod:of (coding-8, cars-11) cc (cars-11, and-12) compound (containers-14, shipment-13) nmod:of (coding-8, containers-14) conj:and (cars-11, containers-14) punct (coding-8, ---15) compound (carriers-17, rail-16) nsubj (capture-19, carriers-17) aux (capture-19, can-18) compound (information-21, location-20) dobj (capture-19, information-21) cc (information-21, and-22) advmod (information-21, route-23) dobj (capture-19, it-24) conj:and (information-21, it-24) case (lines-27, over-25) compound (lines-27, communication-26) nmod:over (it-24, lines-27) case (buyer-30, to-28) det (buyer-30, the-29) nmod:to (capture-19, buyer-30) punct (capture-19, .-31) ",freight,10,"compound (cars-11, freight-10) ",such as bar coding of freight cars and shipment containers --,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['cars'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
