Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
Their audience began to yawn and play with the silverware . '',Their/they/PRP$ audience/audience/NN began/begin/VBD to/to/TO yawn/yawn/VB and/and/CC play/play/VB with/with/IN the/the/DT silverware/silverware/NN ././. ''/''/'' ,"ROOT (ROOT-0, began-3) nmod:poss (audience-2, Their-1) nsubj (began-3, audience-2) nsubj:xsubj (yawn-5, audience-2) nsubj:xsubj (play-7, audience-2) mark (yawn-5, to-4) xcomp (began-3, yawn-5) cc (yawn-5, and-6) xcomp (began-3, play-7) conj:and (yawn-5, play-7) case (silverware-10, with-8) det (silverware-10, the-9) nmod:with (yawn-5, silverware-10) punct (began-3, .-11) punct (began-3, ''-12) ",silverware,10,"case (silverware-10, with-8) det (silverware-10, the-9) nmod:with (yawn-5, silverware-10) ",yawn and play with the silverware . '',NN,[],,,,,[],[],[],,"[('with', 'yawn', 5)]",['with'],[],['yawn'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Dozens of philosophy of science citations , like the family 's holiday-only special silverware and china , are taken out for this august occasion .","Dozens/dozen/NNS of/of/IN philosophy/philosophy/NN of/of/IN science/science/NN citations/citation/NNS ,/,/, like/like/IN the/the/DT family/family/NN 's/'s/POS holiday-only/holiday-only/JJ special/special/JJ silverware/silverware/NN and/and/CC china/china/NN ,/,/, are/be/VBP taken/take/VBN out/out/RP for/for/IN this/this/DT august/august/NNP occasion/occasion/NN ././. ","ROOT (ROOT-0, taken-19) det:qmod (philosophy-3, Dozens-1) mwe (Dozens-1, of-2) nsubjpass (taken-19, philosophy-3) case (citations-6, of-4) compound (citations-6, science-5) nmod:of (philosophy-3, citations-6) punct (taken-19, ,-7) case (silverware-14, like-8) det (family-10, the-9) nmod:poss (silverware-14, family-10) case (family-10, 's-11) amod (silverware-14, holiday-only-12) amod (silverware-14, special-13) nmod:like (taken-19, silverware-14) cc (silverware-14, and-15) conj:and (silverware-14, china-16) nmod:like (taken-19, china-16) punct (taken-19, ,-17) auxpass (taken-19, are-18) compound:prt (taken-19, out-20) case (occasion-24, for-21) det (occasion-24, this-22) compound (occasion-24, august-23) nmod:for (taken-19, occasion-24) punct (taken-19, .-25) ",silverware,14,"case (silverware-14, like-8) nmod:poss (silverware-14, family-10) amod (silverware-14, holiday-only-12) amod (silverware-14, special-13) nmod:like (taken-19, silverware-14) cc (silverware-14, and-15) conj:and (silverware-14, china-16) ","the family 's holiday-only special silverware and china , are taken",NN,[],,,,,[],[],[],,"[('like', 'taken', 19)]",['like'],[],['taken'],[],[],"[('and', 'china', 16)]",['and'],[china-16],[],[],"['holiday-only', 'special']",[0.03291666666666667],[0.07908333333333334],[0.03125],[0.02],[0.090625],[0.0225],[0.044895833333333336],[0.178125],[0.12291666666666666],[0.12241666666666666],[0.08875],[0.15516666666666667],[0.011354166666666665],['family'],[],[],['like'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1995.txt_2.csv,0,0,0,0,unknown,,,,
"The Secretariat of Economy issued its first ordinance in 1982 banning the import of eighty-two categories of goods , including cars for sale , ceramic goods , and silverware .","The/the/DT Secretariat/Secretariat/NNP of/of/IN Economy/Economy/NNP issued/issue/VBD its/its/PRP$ first/first/JJ ordinance/ordinance/NN in/in/IN 1982/1982/CD banning/ban/VBG the/the/DT import/import/NN of/of/IN eighty-two/eighty-two/CD categories/category/NNS of/of/IN goods/goods/NNS ,/,/, including/include/VBG cars/car/NNS for/for/IN sale/sale/NN ,/,/, ceramic/ceramic/JJ goods/goods/NNS ,/,/, and/and/CC silverware/silverware/NN ././. ","ROOT (ROOT-0, issued-5) det (Secretariat-2, The-1) nsubj (issued-5, Secretariat-2) case (Economy-4, of-3) nmod:of (Secretariat-2, Economy-4) nmod:poss (ordinance-8, its-6) amod (ordinance-8, first-7) dobj (issued-5, ordinance-8) case (1982-10, in-9) nmod:in (issued-5, 1982-10) xcomp (issued-5, banning-11) det (import-13, the-12) dobj (banning-11, import-13) case (categories-16, of-14) nummod (categories-16, eighty-two-15) nmod:of (import-13, categories-16) case (goods-18, of-17) nmod:of (categories-16, goods-18) punct (issued-5, ,-19) case (cars-21, including-20) nmod:including (issued-5, cars-21) case (sale-23, for-22) nmod:for (cars-21, sale-23) punct (sale-23, ,-24) amod (goods-26, ceramic-25) nmod:for (cars-21, goods-26) conj:and (sale-23, goods-26) punct (sale-23, ,-27) cc (sale-23, and-28) nmod:for (cars-21, silverware-29) conj:and (sale-23, silverware-29) punct (issued-5, .-30) ",silverware,29,"nmod:for (cars-21, silverware-29) conj:and (sale-23, silverware-29) ",", ceramic goods , and silverware .",NN,[],,,,,[],[],[],,"[('for', 'cars', 21)]",['for'],[],['cars'],[],[],"[('and', 'sale', 23)]",['and'],[sale-23],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_1.csv,0,0,0,0,unknown,,,,
"With the assistance of his friend Emil Busse , he made up a package , filled it with some heavy material , and turned it in at the post office , declaring it to be my mother 's jewels and our silverware .","With/with/IN the/the/DT assistance/assistance/NN of/of/IN his/he/PRP$ friend/friend/NN Emil/Emil/NNP Busse/Busse/NNP ,/,/, he/he/PRP made/make/VBD up/up/RP a/a/DT package/package/NN ,/,/, filled/fill/VBD it/it/PRP with/with/IN some/some/DT heavy/heavy/JJ material/material/NN ,/,/, and/and/CC turned/turn/VBD it/it/PRP in/in/IN at/at/IN the/the/DT post/post/NN office/office/NN ,/,/, declaring/declare/VBG it/it/PRP to/to/TO be/be/VB my/my/PRP$ mother/mother/NN 's/'s/POS jewels/jewel/NNS and/and/CC our/we/PRP$ silverware/silverware/NN ././. ","ROOT (ROOT-0, made-11) case (assistance-3, With-1) det (assistance-3, the-2) nmod:with (made-11, assistance-3) case (friend-6, of-4) nmod:poss (friend-6, his-5) nmod:of (assistance-3, friend-6) compound (Busse-8, Emil-7) dep (friend-6, Busse-8) punct (made-11, ,-9) nsubj (made-11, he-10) nsubj (filled-16, he-10) nsubj (turned-24, he-10) compound:prt (made-11, up-12) det (package-14, a-13) dobj (made-11, package-14) punct (made-11, ,-15) conj:and (made-11, filled-16) dobj (filled-16, it-17) case (material-21, with-18) det (material-21, some-19) amod (material-21, heavy-20) nmod:with (filled-16, material-21) punct (made-11, ,-22) cc (made-11, and-23) conj:and (made-11, turned-24) dobj (turned-24, it-25) case (office-30, in-26) case (office-30, at-27) det (office-30, the-28) compound (office-30, post-29) nmod:in (turned-24, office-30) punct (made-11, ,-31) advcl (made-11, declaring-32) dobj (declaring-32, it-33) nsubj:xsubj (jewels-39, it-33) mark (jewels-39, to-34) cop (jewels-39, be-35) nmod:poss (mother-37, my-36) nmod:poss (jewels-39, mother-37) case (mother-37, 's-38) xcomp (declaring-32, jewels-39) cc (jewels-39, and-40) nmod:poss (silverware-42, our-41) xcomp (declaring-32, silverware-42) conj:and (jewels-39, silverware-42) punct (made-11, .-43) ",silverware,42,"nmod:poss (silverware-42, our-41) xcomp (declaring-32, silverware-42) conj:and (jewels-39, silverware-42) ",mother 's jewels and our silverware .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'jewels', 39)]",['and'],[jewels-39],[],[],[],,,,,,,,,,,,,,['our'],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_1.csv,0,0,0,0,unknown,,,,
"Simultaneously , those initial trials proved that the Unisyn processing system would have to beef up its front end handling of the materials because of the presence of incidental plastics , silverware , cardboard containers and cloth , in addition to bone , seafood shells , and fish carcasses .","Simultaneously/simultaneously/RB ,/,/, those/those/DT initial/initial/JJ trials/trial/NNS proved/prove/VBD that/that/IN the/the/DT Unisyn/Unisyn/NNP processing/processing/NN system/system/NN would/would/MD have/have/VB to/to/TO beef/beef/VB up/up/RP its/its/PRP$ front/front/JJ end/end/NN handling/handling/NN of/of/IN the/the/DT materials/material/NNS because/because/IN of/of/IN the/the/DT presence/presence/NN of/of/IN incidental/incidental/JJ plastics/plastic/NNS ,/,/, silverware/silverware/NN ,/,/, cardboard/cardboard/NN containers/container/NNS and/and/CC cloth/cloth/NN ,/,/, in/in/IN addition/addition/NN to/to/TO bone/bone/NN ,/,/, seafood/seafood/NN shells/shell/NNS ,/,/, and/and/CC fish/fish/NN carcasses/carcass/NNS ././. ","ROOT (ROOT-0, proved-6) advmod (proved-6, Simultaneously-1) punct (proved-6, ,-2) det (trials-5, those-3) amod (trials-5, initial-4) nsubj (proved-6, trials-5) mark (have-13, that-7) det (system-11, the-8) compound (system-11, Unisyn-9) compound (system-11, processing-10) nsubj (have-13, system-11) nsubj:xsubj (beef-15, system-11) aux (have-13, would-12) ccomp (proved-6, have-13) mark (beef-15, to-14) xcomp (have-13, beef-15) compound:prt (beef-15, up-16) nmod:poss (handling-20, its-17) amod (handling-20, front-18) compound (handling-20, end-19) dobj (beef-15, handling-20) case (materials-23, of-21) det (materials-23, the-22) nmod:of (handling-20, materials-23) case (presence-27, because-24) mwe (because-24, of-25) det (presence-27, the-26) nmod:because_of (beef-15, presence-27) case (plastics-30, of-28) amod (plastics-30, incidental-29) nmod:of (presence-27, plastics-30) punct (plastics-30, ,-31) nmod:of (presence-27, silverware-32) conj:and (plastics-30, silverware-32) punct (plastics-30, ,-33) compound (containers-35, cardboard-34) nmod:of (presence-27, containers-35) conj:and (plastics-30, containers-35) cc (plastics-30, and-36) nmod:of (presence-27, cloth-37) conj:and (plastics-30, cloth-37) punct (presence-27, ,-38) cc (presence-27, in-39) dep (in-39, addition-40) dep (in-39, to-41) nmod:because_of (beef-15, bone-42) conj:in (presence-27, bone-42) punct (bone-42, ,-43) compound (shells-45, seafood-44) conj:in (presence-27, shells-45) conj:and (bone-42, shells-45) punct (bone-42, ,-46) cc (bone-42, and-47) compound (carcasses-49, fish-48) conj:in (presence-27, carcasses-49) conj:and (bone-42, carcasses-49) punct (proved-6, .-50) ",silverware,32,"nmod:of (presence-27, silverware-32) conj:and (plastics-30, silverware-32) ","presence of incidental plastics , silverware , cardboard containers and cloth",NN,[],,,,,[],[],[],,"[('of', 'presence', 27)]",['of'],[],['presence'],[],[],"[('and', 'plastics', 30)]",['and'],[plastics-30],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1999.txt_3.csv,0,0,0,0,unknown,,,,
The dishwasher grabs the box with his hands and places it on the table and goes back to sorting the silverware .,The/the/DT dishwasher/dishwasher/NN grabs/grab/VBZ the/the/DT box/box/NN with/with/IN his/he/PRP$ hands/hand/NNS and/and/CC places/place/VBZ it/it/PRP on/on/IN the/the/DT table/table/NN and/and/CC goes/go/VBZ back/back/RB to/to/TO sorting/sort/VBG the/the/DT silverware/silverware/NN ././. ,"ROOT (ROOT-0, grabs-3) det (dishwasher-2, The-1) nsubj (grabs-3, dishwasher-2) nsubj (places-10, dishwasher-2) det (box-5, the-4) dobj (grabs-3, box-5) case (hands-8, with-6) nmod:poss (hands-8, his-7) nmod:with (grabs-3, hands-8) cc (grabs-3, and-9) conj:and (grabs-3, places-10) dobj (places-10, it-11) case (table-14, on-12) det (table-14, the-13) nmod:on (places-10, table-14) cc (places-10, and-15) conj:and (grabs-3, goes-16) conj:and (places-10, goes-16) advmod (goes-16, back-17) mark (sorting-19, to-18) advcl:to (back-17, sorting-19) det (silverware-21, the-20) dobj (sorting-19, silverware-21) punct (grabs-3, .-22) ",silverware,21,"det (silverware-21, the-20) dobj (sorting-19, silverware-21) ",goes back to sorting the silverware .,NN,[],sorting-19,sort,VBG,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2004.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"I pick up a stack of dirty plates and silverware and head into the dishroom , where I unload them and then hold up three fingers for only Pablo , who is polishing Bordeaux glasses , to see .","I/I/PRP pick/pick/VBP up/up/RP a/a/DT stack/stack/VB of/of/IN dirty/dirty/JJ plates/plate/NNS and/and/CC silverware/silverware/NN and/and/CC head/head/NN into/into/IN the/the/DT dishroom/dishroom/NN ,/,/, where/where/WRB I/I/PRP unload/unload/VBP them/they/PRP and/and/CC then/then/RB hold/hold/VB up/up/RP three/three/CD fingers/finger/NNS for/for/IN only/only/RB Pablo/Pablo/NNP ,/,/, who/who/WP is/be/VBZ polishing/polish/VBG Bordeaux/Bordeaux/NNP glasses/glass/NNS ,/,/, to/to/TO see/see/VB ././. ","ROOT (ROOT-0, pick-2) nsubj (pick-2, I-1) compound:prt (pick-2, up-3) dobj (pick-2, a-4) dep (a-4, stack-5) case (plates-8, of-6) amod (plates-8, dirty-7) nmod:of (stack-5, plates-8) cc (plates-8, and-9) nmod:of (stack-5, silverware-10) conj:and (plates-8, silverware-10) cc (silverware-10, and-11) conj:and (plates-8, head-12) conj:and (silverware-10, head-12) case (dishroom-15, into-13) det (dishroom-15, the-14) nmod:into (stack-5, dishroom-15) punct (dishroom-15, ,-16) advmod (unload-19, where-17) nsubj (unload-19, I-18) acl:relcl (dishroom-15, unload-19) dobj (unload-19, them-20) cc (stack-5, and-21) advmod (hold-23, then-22) dep (a-4, hold-23) conj:and (stack-5, hold-23) compound:prt (hold-23, up-24) nummod (fingers-26, three-25) dobj (hold-23, fingers-26) case (Pablo-29, for-27) advmod (Pablo-29, only-28) nmod:for (fingers-26, Pablo-29) nsubj (polishing-33, Pablo-29) punct (Pablo-29, ,-30) ref (Pablo-29, who-31) aux (polishing-33, is-32) acl:relcl (Pablo-29, polishing-33) compound (glasses-35, Bordeaux-34) dobj (polishing-33, glasses-35) punct (polishing-33, ,-36) mark (see-38, to-37) advcl:to (polishing-33, see-38) punct (pick-2, .-39) ",silverware,10,"nmod:of (stack-5, silverware-10) conj:and (plates-8, silverware-10) cc (silverware-10, and-11) conj:and (silverware-10, head-12) ",stack of dirty plates and silverware and head into the dishroom,NN,[],,,,,[],[],[],,"[('of', 'stack', 5)]",['of'],[],['stack'],[],[],"[('and', 'plates', 8), ('and', 'head', 12)]","['and', 'and']","[plates-8, head-12]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2007.txt_2.csv,0,0,0,0,unknown,,,,
"In the days afterward I heard this story repeated while people were folding napkins or polishing silverware , and it became a totemic tale about me that people distributed to new servers .","In/in/IN the/the/DT days/day/NNS afterward/afterward/RB I/I/PRP heard/hear/VBD this/this/DT story/story/NN repeated/repeat/VBN while/while/IN people/people/NNS were/be/VBD folding/folding/JJ napkins/napkin/NNS or/or/CC polishing/polish/VBG silverware/silverware/NN ,/,/, and/and/CC it/it/PRP became/become/VBD a/a/DT totemic/totemic/JJ tale/tale/NN about/about/IN me/I/PRP that/that/IN people/people/NNS distributed/distribute/VBN to/to/TO new/new/JJ servers/server/NNS ././. ","ROOT (ROOT-0, heard-6) case (days-3, In-1) det (days-3, the-2) nmod:in (heard-6, days-3) advmod (heard-6, afterward-4) nsubj (heard-6, I-5) det (story-8, this-7) dobj (heard-6, story-8) acl (story-8, repeated-9) mark (napkins-14, while-10) nsubj (napkins-14, people-11) cop (napkins-14, were-12) amod (napkins-14, folding-13) advcl:while (repeated-9, napkins-14) cc (napkins-14, or-15) amod (silverware-17, polishing-16) advcl:while (repeated-9, silverware-17) conj:or (napkins-14, silverware-17) punct (heard-6, ,-18) cc (heard-6, and-19) nsubj (became-21, it-20) conj:and (heard-6, became-21) det (tale-24, a-22) amod (tale-24, totemic-23) xcomp (became-21, tale-24) case (me-26, about-25) nmod:about (became-21, me-26) mark (distributed-29, that-27) nsubj (distributed-29, people-28) ccomp (became-21, distributed-29) case (servers-32, to-30) amod (servers-32, new-31) nmod:to (distributed-29, servers-32) punct (heard-6, .-33) ",silverware,17,"amod (silverware-17, polishing-16) advcl:while (repeated-9, silverware-17) conj:or (napkins-14, silverware-17) ","were folding napkins or polishing silverware , and it became a",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('or', 'napkins', 14)]",['or'],[napkins-14],[],[],['polishing'],[0.08625],[0.1075],[0.1575],[0.04375],[0.04],[0.025],[0.035],[0.215],[0.1075],[0.07],[0.06625],[0.04125],[0.005],[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2007.txt_2.csv,0,0,0,0,unknown,,,,
They do n't want you to use the silverware ; they do n't want you to use nothing .,They/they/PRP do/do/VBP n't/not/RB want/want/VB you/you/PRP to/to/TO use/use/VB the/the/DT silverware/silverware/NN ;/;/: they/they/PRP do/do/VBP n't/not/RB want/want/VB you/you/PRP to/to/TO use/use/VB nothing/nothing/NN ././. ,"ROOT (ROOT-0, want-4) nsubj (want-4, They-1) aux (want-4, do-2) neg (want-4, n't-3) dobj (want-4, you-5) nsubj:xsubj (use-7, you-5) mark (use-7, to-6) xcomp (want-4, use-7) det (silverware-9, the-8) dobj (use-7, silverware-9) punct (want-4, ;-10) nsubj (want-14, they-11) aux (want-14, do-12) neg (want-14, n't-13) parataxis (want-4, want-14) dobj (want-14, you-15) nsubj:xsubj (use-17, you-15) mark (use-17, to-16) xcomp (want-14, use-17) dobj (use-17, nothing-18) punct (want-4, .-19) ",silverware,9,"det (silverware-9, the-8) dobj (use-7, silverware-9) ",want you to use the silverware ; they do n't want,NN,[],use-7,use,VB,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2008.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"I could help lay out the silverware , carry in the food , clear the table , wash the dishes .","I/I/PRP could/could/MD help/help/VB lay/lay/VB out/out/RP the/the/DT silverware/silverware/NN ,/,/, carry/carry/VBP in/in/IN the/the/DT food/food/NN ,/,/, clear/clear/JJ the/the/DT table/table/NN ,/,/, wash/wash/VB the/the/DT dishes/dish/NNS ././. ","ROOT (ROOT-0, carry-9) nsubj (help-3, I-1) aux (help-3, could-2) ccomp (carry-9, help-3) xcomp (help-3, lay-4) compound:prt (lay-4, out-5) det (silverware-7, the-6) dobj (lay-4, silverware-7) punct (carry-9, ,-8) case (food-12, in-10) det (food-12, the-11) nmod:in (carry-9, food-12) punct (food-12, ,-13) amod (food-12, clear-14) det (table-16, the-15) nsubj (carry-9, table-16) punct (carry-9, ,-17) dep (carry-9, wash-18) det (dishes-20, the-19) dobj (wash-18, dishes-20) punct (carry-9, .-21) ",silverware,7,"det (silverware-7, the-6) dobj (lay-4, silverware-7) ","could help lay out the silverware , carry in the food",NN,[],lay-4,lay,VB,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2010.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
