Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"One is by constantly hinting at and appropriating the nature that comes from outside -- decorating food with seasonal reminders , such as a maple leaf in the fall or a flower in the spring , serving in-season fruits and vegetables , and using season-coordinated dishes such as glassware in the summer and heavy pottery in the winter .","One/one/CD is/be/VBZ by/by/IN constantly/constantly/RB hinting/hint/VBG at/at/IN and/and/CC appropriating/appropriate/VBG the/the/DT nature/nature/NN that/that/WDT comes/come/VBZ from/from/IN outside/outside/JJ --/--/: decorating/decorate/VBG food/food/NN with/with/IN seasonal/seasonal/JJ reminders/reminder/NNS ,/,/, such/such/JJ as/as/IN a/a/DT maple/maple/NN leaf/leaf/NN in/in/IN the/the/DT fall/fall/NN or/or/CC a/a/DT flower/flower/NN in/in/IN the/the/DT spring/spring/NN ,/,/, serving/serve/VBG in-season/in-season/JJ fruits/fruit/NNS and/and/CC vegetables/vegetable/NNS ,/,/, and/and/CC using/use/VBG season-coordinated/season-coordinated/JJ dishes/dish/NNS such/such/JJ as/as/IN glassware/glassware/NN in/in/IN the/the/DT summer/summer/NN and/and/CC heavy/heavy/JJ pottery/pottery/NN in/in/IN the/the/DT winter/winter/NN ././. ","ROOT (ROOT-0, hinting-5) nsubj (hinting-5, One-1) nsubj (appropriating-8, One-1) nsubj (using-44, One-1) cop (hinting-5, is-2) mark (hinting-5, by-3) advmod (hinting-5, constantly-4) nmod (hinting-5, at-6) cc (hinting-5, and-7) conj:and (hinting-5, appropriating-8) det (nature-10, the-9) dobj (appropriating-8, nature-10) nsubj (comes-12, nature-10) ref (nature-10, that-11) acl:relcl (nature-10, comes-12) case (outside-14, from-13) nmod:from (comes-12, outside-14) punct (nature-10, ---15) amod (food-17, decorating-16) dep (nature-10, food-17) case (reminders-20, with-18) amod (reminders-20, seasonal-19) nmod:with (food-17, reminders-20) punct (nature-10, ,-21) case (leaf-26, such-22) mwe (such-22, as-23) det (leaf-26, a-24) compound (leaf-26, maple-25) nmod:such_as (nature-10, leaf-26) case (fall-29, in-27) det (fall-29, the-28) nmod:in (leaf-26, fall-29) cc (leaf-26, or-30) det (flower-32, a-31) nmod:such_as (nature-10, flower-32) conj:or (leaf-26, flower-32) case (spring-35, in-33) det (spring-35, the-34) nmod:in (flower-32, spring-35) punct (hinting-5, ,-36) dep (hinting-5, serving-37) amod (fruits-39, in-season-38) dobj (serving-37, fruits-39) cc (fruits-39, and-40) dobj (serving-37, vegetables-41) conj:and (fruits-39, vegetables-41) punct (hinting-5, ,-42) cc (hinting-5, and-43) conj:and (hinting-5, using-44) amod (dishes-46, season-coordinated-45) dobj (using-44, dishes-46) case (glassware-49, such-47) mwe (such-47, as-48) nmod:such_as (dishes-46, glassware-49) case (summer-52, in-50) det (summer-52, the-51) nmod:in (glassware-49, summer-52) cc (glassware-49, and-53) amod (pottery-55, heavy-54) nmod:such_as (dishes-46, pottery-55) conj:and (glassware-49, pottery-55) case (winter-58, in-56) det (winter-58, the-57) nmod:in (pottery-55, winter-58) punct (hinting-5, .-59) ",glassware,49,"case (glassware-49, such-47) nmod:such_as (dishes-46, glassware-49) nmod:in (glassware-49, summer-52) cc (glassware-49, and-53) conj:and (glassware-49, pottery-55) ",using season-coordinated dishes such as glassware in the summer and heavy,NN,[],,,,,[],[],[],,"[('such_as', 'dishes', 46), ('in', 'summer', 52)]","['such_as', 'in']",['summer'],['dishes'],[],[],"[('and', 'pottery', 55)]",['and'],[pottery-55],[],[],[],,,,,,,,,,,,,,[],[],[],['such'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_2.csv,0,0,0,0,unknown,,,,
You can also create handsome glassware photographs with delicate rim light colors via the black light approach .,You/you/PRP can/can/MD also/also/RB create/create/VB handsome/handsome/JJ glassware/glassware/NN photographs/photograph/NNS with/with/IN delicate/delicate/JJ rim/rim/NN light/light/NN colors/color/NNS via/via/IN the/the/DT black/black/JJ light/light/JJ approach/approach/NN ././. ,"ROOT (ROOT-0, create-4) nsubj (create-4, You-1) aux (create-4, can-2) advmod (create-4, also-3) amod (photographs-7, handsome-5) compound (photographs-7, glassware-6) dobj (create-4, photographs-7) case (colors-12, with-8) amod (colors-12, delicate-9) compound (colors-12, rim-10) compound (colors-12, light-11) nmod:with (create-4, colors-12) case (approach-17, via-13) det (approach-17, the-14) amod (approach-17, black-15) amod (approach-17, light-16) nmod:via (colors-12, approach-17) punct (create-4, .-18) ",glassware,6,"compound (photographs-7, glassware-6) ",You can also create handsome glassware photographs with delicate rim light,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['photographs'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"Colorful Glassware by Frank S. Pallo , FPSA Lighting , composition , color , creativity TDCIS No. 18.","Colorful/colorful/JJ Glassware/glassware/NN by/by/IN Frank/Frank/NNP S./S./NNP Pallo/Pallo/NNP ,/,/, FPSA/FPSA/NNP Lighting/Lighting/NNP ,/,/, composition/composition/NN ,/,/, color/color/NN ,/,/, creativity/creativity/NN TDCIS/TDCIS/NNP No./No./NNP 18/18/CD ././. ","ROOT (ROOT-0, Glassware-2) amod (Glassware-2, Colorful-1) case (Pallo-6, by-3) compound (Pallo-6, Frank-4) compound (Pallo-6, S.-5) nmod:by (Glassware-2, Pallo-6) punct (Glassware-2, ,-7) compound (Lighting-9, FPSA-8) appos (Glassware-2, Lighting-9) punct (Glassware-2, ,-10) appos (Glassware-2, composition-11) punct (Glassware-2, ,-12) appos (Glassware-2, color-13) punct (Glassware-2, ,-14) compound (No.-17, creativity-15) compound (No.-17, TDCIS-16) appos (Glassware-2, No.-17) dep (No.-17, 18-18) punct (Glassware-2, .-19) ",glassware,2,"ROOT (ROOT-0, Glassware-2) amod (Glassware-2, Colorful-1) nmod:by (Glassware-2, Pallo-6) punct (Glassware-2, ,-7) appos (Glassware-2, Lighting-9) punct (Glassware-2, ,-10) appos (Glassware-2, composition-11) punct (Glassware-2, ,-12) appos (Glassware-2, color-13) punct (Glassware-2, ,-14) appos (Glassware-2, No.-17) punct (Glassware-2, .-19) ","Colorful Glassware by Frank S. Pallo ,",NN,[],,,,,[],[],[],,"[('by', 'Pallo', 6)]",['by'],['Pallo'],[],[],[],[],[],[],[],[],['Colorful'],,,,,,,,,,,,,,[],[],[],[],[],"['modified', 'Lighting', 'modified', 'composition', 'modified', 'color', 'modified', 'No.']",[],"['Lighting', 'composition', 'color', 'No.']",[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"( 81 slides )  The Elegance of Glass by M. Craig Carver , APSA Glassware '' how-to '' -- Color , Creativity and Composition TDCIS No. 20.","-LRB-/-lrb-/-LRB- 81/81/CD slides/slide/NNS -RRB-/-rrb-/-RRB- The/the/DT Elegance/elegance/NN of/of/IN Glass/glass/NN by/by/IN M./M./NNP Craig/Craig/NNP Carver/Carver/NNP ,/,/, APSA/APSA/NNP Glassware/Glassware/NNP ''/''/'' how-to/how-to/JJ ''/''/'' --/--/: Color/Color/NNP ,/,/, Creativity/Creativity/NNP and/and/CC Composition/Composition/NNP TDCIS/TDCIS/NNP No./No./NNP 20/20/CD ././. ","ROOT (ROOT-0, slides-3) punct (slides-3, (-1) compound (slides-3, 81-2) punct (slides-3, )-4) det (Elegance-6, The-5) dep (slides-3, Elegance-6) case (Glass-8, of-7) nmod:of (Elegance-6, Glass-8) case (Glassware-15, by-9) compound (Glassware-15, M.-10) compound (Glassware-15, Craig-11) compound (Glassware-15, Carver-12) punct (Glassware-15, ,-13) appos (Glassware-15, APSA-14) nmod:by (Glass-8, Glassware-15) punct (Glassware-15, ''-16) amod (Glassware-15, how-to-17) punct (Elegance-6, ''-18) punct (slides-3, ---19) compound (TDCIS-25, Color-20) punct (Color-20, ,-21) conj:and (Color-20, Creativity-22) compound (TDCIS-25, Creativity-22) cc (Color-20, and-23) conj:and (Color-20, Composition-24) compound (TDCIS-25, Composition-24) dep (slides-3, TDCIS-25) dep (TDCIS-25, No.-26) nummod (No.-26, 20-27) punct (slides-3, .-28) ",Glassware,15,"case (Glassware-15, by-9) compound (Glassware-15, M.-10) compound (Glassware-15, Craig-11) compound (Glassware-15, Carver-12) punct (Glassware-15, ,-13) appos (Glassware-15, APSA-14) nmod:by (Glass-8, Glassware-15) punct (Glassware-15, ''-16) amod (Glassware-15, how-to-17) ","M. Craig Carver , APSA Glassware '' how-to '' -- Color",NNP,[],,,,,[],[],[],,"[('by', 'Glass', 8)]",['by'],[],['Glass'],[],[],[],[],[],[],"['M.', 'Craig', 'Carver']",['how-to'],,,,,,,,,,,,,,[],[],[],['by'],[],"['modified', 'APSA']",[],['APSA'],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"( 82 slides -- 23 minutes )  Crystal Pictures With Polarized Light by Jerome M. Bialosky , FPSA  Detailed explanation of methods for making beautiful crystal slides Colorful Glassware by Frank S. Pallo , FPSA  Lighting , composition , color , creativity in glassware photography No. 12.","-LRB-/-lrb-/-LRB- 82/82/CD slides/slide/NNS --/--/: 23/23/CD minutes/minute/NNS -RRB-/-rrb-/-RRB- Crystal/Crystal/NNP Pictures/Pictures/NNP With/with/IN Polarized/Polarized/NNP Light/Light/NNP by/by/IN Jerome/Jerome/NNP M./M./NNP Bialosky/Bialosky/NNP ,/,/, FPSA/FPSA/NNP Detailed/detailed/JJ explanation/explanation/NN of/of/IN methods/method/NNS for/for/IN making/make/VBG beautiful/beautiful/JJ crystal/crystal/NN slides/slide/NNS Colorful/Colorful/NNP Glassware/Glassware/NNP by/by/IN Frank/Frank/NNP S./S./NNP Pallo/Pallo/NNP ,/,/, FPSA/FPSA/NNP Lighting/Lighting/NNP ,/,/, composition/composition/NN ,/,/, color/color/NN ,/,/, creativity/creativity/NN in/in/IN glassware/glassware/NN photography/photography/NN No./no./NN 12/12/CD ././. ","ROOT (ROOT-0, Pictures-9) punct (slides-3, (-1) nummod (slides-3, 82-2) dep (Pictures-9, slides-3) punct (slides-3, ---4) nummod (minutes-6, 23-5) dep (slides-3, minutes-6) punct (slides-3, )-7) compound (Pictures-9, Crystal-8) case (Light-12, With-10) compound (Light-12, Polarized-11) nmod:with (Pictures-9, Light-12) case (Bialosky-16, by-13) compound (Bialosky-16, Jerome-14) compound (Bialosky-16, M.-15) nmod:by (Light-12, Bialosky-16) punct (Pictures-9, ,-17) compound (explanation-20, FPSA-18) amod (explanation-20, Detailed-19) appos (Pictures-9, explanation-20) case (methods-22, of-21) nmod:of (explanation-20, methods-22) mark (making-24, for-23) acl:for (methods-22, making-24) amod (slides-27, beautiful-25) compound (slides-27, crystal-26) dobj (making-24, slides-27) compound (Glassware-29, Colorful-28) nmod:by (making-24, Glassware-29) case (Glassware-29, by-30) compound (Pallo-33, Frank-31) compound (Pallo-33, S.-32) dep (Glassware-29, Pallo-33) punct (Pallo-33, ,-34) compound (Lighting-36, FPSA-35) appos (Pallo-33, Lighting-36) punct (Pallo-33, ,-37) appos (Pallo-33, composition-38) punct (Pallo-33, ,-39) appos (Pallo-33, color-40) punct (Pallo-33, ,-41) appos (Pallo-33, creativity-42) case (photography-45, in-43) compound (photography-45, glassware-44) nmod:in (creativity-42, photography-45) amod (photography-45, No.-46) compound (No.-46, 12-47) punct (Pictures-9, .-48) ",Glassware,29,"compound (Glassware-29, Colorful-28) nmod:by (making-24, Glassware-29) case (Glassware-29, by-30) dep (Glassware-29, Pallo-33) ","making beautiful crystal slides Colorful Glassware by Frank S. Pallo ,",NNP,[],,,,,[],[],[],,"[('by', 'making', 24)]",['by'],[],['making'],[],[],[],[],[],[],['Colorful'],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"( 82 slides -- 23 minutes )  Crystal Pictures With Polarized Light by Jerome M. Bialosky , FPSA  Detailed explanation of methods for making beautiful crystal slides Colorful Glassware by Frank S. Pallo , FPSA  Lighting , composition , color , creativity in glassware photography No. 12.","-LRB-/-lrb-/-LRB- 82/82/CD slides/slide/NNS --/--/: 23/23/CD minutes/minute/NNS -RRB-/-rrb-/-RRB- Crystal/Crystal/NNP Pictures/Pictures/NNP With/with/IN Polarized/Polarized/NNP Light/Light/NNP by/by/IN Jerome/Jerome/NNP M./M./NNP Bialosky/Bialosky/NNP ,/,/, FPSA/FPSA/NNP Detailed/detailed/JJ explanation/explanation/NN of/of/IN methods/method/NNS for/for/IN making/make/VBG beautiful/beautiful/JJ crystal/crystal/NN slides/slide/NNS Colorful/Colorful/NNP Glassware/Glassware/NNP by/by/IN Frank/Frank/NNP S./S./NNP Pallo/Pallo/NNP ,/,/, FPSA/FPSA/NNP Lighting/Lighting/NNP ,/,/, composition/composition/NN ,/,/, color/color/NN ,/,/, creativity/creativity/NN in/in/IN glassware/glassware/NN photography/photography/NN No./no./NN 12/12/CD ././. ","ROOT (ROOT-0, Pictures-9) punct (slides-3, (-1) nummod (slides-3, 82-2) dep (Pictures-9, slides-3) punct (slides-3, ---4) nummod (minutes-6, 23-5) dep (slides-3, minutes-6) punct (slides-3, )-7) compound (Pictures-9, Crystal-8) case (Light-12, With-10) compound (Light-12, Polarized-11) nmod:with (Pictures-9, Light-12) case (Bialosky-16, by-13) compound (Bialosky-16, Jerome-14) compound (Bialosky-16, M.-15) nmod:by (Light-12, Bialosky-16) punct (Pictures-9, ,-17) compound (explanation-20, FPSA-18) amod (explanation-20, Detailed-19) appos (Pictures-9, explanation-20) case (methods-22, of-21) nmod:of (explanation-20, methods-22) mark (making-24, for-23) acl:for (methods-22, making-24) amod (slides-27, beautiful-25) compound (slides-27, crystal-26) dobj (making-24, slides-27) compound (Glassware-29, Colorful-28) nmod:by (making-24, Glassware-29) case (Glassware-29, by-30) compound (Pallo-33, Frank-31) compound (Pallo-33, S.-32) dep (Glassware-29, Pallo-33) punct (Pallo-33, ,-34) compound (Lighting-36, FPSA-35) appos (Pallo-33, Lighting-36) punct (Pallo-33, ,-37) appos (Pallo-33, composition-38) punct (Pallo-33, ,-39) appos (Pallo-33, color-40) punct (Pallo-33, ,-41) appos (Pallo-33, creativity-42) case (photography-45, in-43) compound (photography-45, glassware-44) nmod:in (creativity-42, photography-45) amod (photography-45, No.-46) compound (No.-46, 12-47) punct (Pictures-9, .-48) ",glassware,44,"compound (photography-45, glassware-44) ",", color , creativity in glassware photography No. 12.",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['photography'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"( 82 slides -- 18 minutes )  The Elegance of Glass by M. Craig Carver , APSA  How to photograph glassware -- Color , Creativity &; Composition No. 16.","-LRB-/-lrb-/-LRB- 82/82/CD slides/slide/NNS --/--/: 18/18/CD minutes/minute/NNS -RRB-/-rrb-/-RRB- The/the/DT Elegance/elegance/NN of/of/IN Glass/glass/NN by/by/IN M./M./NNP Craig/Craig/NNP Carver/Carver/NNP ,/,/, APSA/APSA/NNP How/how/WRB to/to/TO photograph/photograph/NN glassware/glassware/NN --/--/: Color/Color/NNP ,/,/, Creativity/Creativity/NNP &/&/CC ;/;/: Composition/Composition/NNP No./No./NNP 16/16/CD ././. ","ROOT (ROOT-0, 82-2) punct (82-2, (-1) nmod (82-2, slides-3) punct (slides-3, ---4) nummod (minutes-6, 18-5) dep (slides-3, minutes-6) punct (slides-3, )-7) det (Elegance-9, The-8) nmod:by (slides-3, Elegance-9) case (Glass-11, of-10) nmod:of (Elegance-9, Glass-11) case (Elegance-9, by-12) compound (APSA-17, M.-13) compound (APSA-17, Craig-14) compound (APSA-17, Carver-15) punct (APSA-17, ,-16) dep (Elegance-9, APSA-17) dep (APSA-17, How-18) case (glassware-21, to-19) compound (glassware-21, photograph-20) nmod:to (slides-3, glassware-21) punct (&-26, ---22) dep (&-26, Color-23) punct (Color-23, ,-24) appos (Color-23, Creativity-25) dep (glassware-21, &-26) punct (glassware-21, ;-27) compound (No.-29, Composition-28) dep (glassware-21, No.-29) dep (No.-29, 16-30) punct (82-2, .-31) ",glassware,21,"case (glassware-21, to-19) compound (glassware-21, photograph-20) nmod:to (slides-3, glassware-21) dep (glassware-21, &-26) punct (glassware-21, ;-27) dep (glassware-21, No.-29) ",", APSA How to photograph glassware -- Color , Creativity &;",NN,[],,,,,[],[],[],,"[('to', 'slides', 3)]",['to'],[],['slides'],[],[],[],[],[],[],['photograph'],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_4.csv,0,0,0,0,unknown,,,,
"Predictions are made concerning the accuracy of different tools for making specific measurements ( e.g. , meter stick , metric ruler , or vernier caliper for lengths of different objects , or size and type of volumetric glassware for measuring volumes ) .","Predictions/prediction/NNS are/be/VBP made/make/VBN concerning/concern/VBG the/the/DT accuracy/accuracy/NN of/of/IN different/different/JJ tools/tool/NNS for/for/IN making/make/VBG specific/specific/JJ measurements/measurement/NNS -LRB-/-lrb-/-LRB- e.g./e.g./FW ,/,/, meter/meter/NN stick/stick/NN ,/,/, metric/metric/JJ ruler/ruler/NN ,/,/, or/or/CC vernier/vernier/JJR caliper/caliper/NN for/for/IN lengths/length/NNS of/of/IN different/different/JJ objects/object/NNS ,/,/, or/or/CC size/size/NN and/and/CC type/type/NN of/of/IN volumetric/volumetric/JJ glassware/glassware/NN for/for/IN measuring/measure/VBG volumes/volume/NNS -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, made-3) nsubjpass (made-3, Predictions-1) auxpass (made-3, are-2) xcomp (made-3, concerning-4) det (accuracy-6, the-5) dobj (concerning-4, accuracy-6) case (tools-9, of-7) amod (tools-9, different-8) nmod:of (accuracy-6, tools-9) mark (making-11, for-10) advcl:for (concerning-4, making-11) amod (measurements-13, specific-12) dobj (making-11, measurements-13) punct (e.g.-15, (-14) dep (measurements-13, e.g.-15) punct (e.g.-15, ,-16) compound (stick-18, meter-17) appos (e.g.-15, stick-18) punct (stick-18, ,-19) amod (ruler-21, metric-20) appos (e.g.-15, ruler-21) conj:or (stick-18, ruler-21) punct (stick-18, ,-22) cc (stick-18, or-23) amod (caliper-25, vernier-24) appos (e.g.-15, caliper-25) conj:or (stick-18, caliper-25) case (lengths-27, for-26) nmod:for (caliper-25, lengths-27) case (objects-30, of-28) amod (objects-30, different-29) nmod:of (lengths-27, objects-30) punct (caliper-25, ,-31) cc (caliper-25, or-32) conj:or (stick-18, size-33) conj:or (caliper-25, size-33) cc (size-33, and-34) conj:or (caliper-25, type-35) conj:and (size-33, type-35) case (glassware-38, of-36) amod (glassware-38, volumetric-37) nmod:of (size-33, glassware-38) mark (measuring-40, for-39) acl:for (glassware-38, measuring-40) dobj (measuring-40, volumes-41) punct (e.g.-15, )-42) punct (made-3, .-43) ",glassware,38,"case (glassware-38, of-36) amod (glassware-38, volumetric-37) nmod:of (size-33, glassware-38) acl:for (glassware-38, measuring-40) ",size and type of volumetric glassware for measuring volumes ) .,NN,[],,,,,[],[],[],,"[('of', 'size', 33)]",['of'],[],['size'],[],[],[],[],[],[],[],['volumetric'],[0.09949999999999999],[0.04],[0.075],[0.027999999999999997],[0.0825],[0.03166666666666666],[0.068125],[0.05166666666666666],[0.095],[0.0575],[0.23308333333333334],[0.12083333333333332],[0.017124999999999998],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_3.csv,0,0,0,0,unknown,,,,
DIAGRAM : Diagram No. 2 Lighting Setup This diagram illustrates how easy it is to light glassware pictures .,DIAGRAM/diagram/NN :/:/: Diagram/Diagram/NNP No./No./NNP 2/2/CD Lighting/Lighting/NNP Setup/Setup/NNP This/this/DT diagram/diagram/NN illustrates/illustrate/VBZ how/how/WRB easy/easy/JJ it/it/PRP is/be/VBZ to/to/TO light/light/JJ glassware/glassware/NN pictures/picture/NNS ././. ,"ROOT (ROOT-0, DIAGRAM-1) punct (DIAGRAM-1, :-2) compound (No.-4, Diagram-3) dep (DIAGRAM-1, No.-4) dobj (illustrates-10, 2-5) compound (Setup-7, Lighting-6) dep (2-5, Setup-7) det (diagram-9, This-8) nsubj (illustrates-10, diagram-9) acl:relcl (No.-4, illustrates-10) advmod (pictures-18, how-11) dep (how-11, easy-12) nsubj (pictures-18, it-13) cop (pictures-18, is-14) case (pictures-18, to-15) amod (pictures-18, light-16) compound (pictures-18, glassware-17) ccomp (illustrates-10, pictures-18) punct (DIAGRAM-1, .-19) ",glassware,17,"compound (pictures-18, glassware-17) ",easy it is to light glassware pictures .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['pictures'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_4.csv,0,0,0,0,unknown,,,,
"Division centers , bulletin contest displays , international print salon exhibitions , glassware and Karo syrup workshops , committee meetings and division lunches kept us inspired and on the go .","Division/division/NN centers/center/NNS ,/,/, bulletin/bulletin/NN contest/contest/NN displays/display/NNS ,/,/, international/international/JJ print/print/NN salon/salon/NN exhibitions/exhibition/NNS ,/,/, glassware/glassware/NN and/and/CC Karo/Karo/NNP syrup/syrup/NN workshops/workshop/NNS ,/,/, committee/committee/NN meetings/meeting/NNS and/and/CC division/division/NN lunches/lunch/NNS kept/keep/VBD us/we/PRP inspired/inspire/VBD and/and/CC on/on/IN the/the/DT go/go/NN ././. ","ROOT (ROOT-0, kept-24) compound (centers-2, Division-1) nsubj (kept-24, centers-2) punct (centers-2, ,-3) compound (displays-6, bulletin-4) compound (displays-6, contest-5) conj:and (centers-2, displays-6) nsubj (kept-24, displays-6) punct (centers-2, ,-7) amod (exhibitions-11, international-8) compound (exhibitions-11, print-9) compound (exhibitions-11, salon-10) conj:and (centers-2, exhibitions-11) nsubj (kept-24, exhibitions-11) punct (centers-2, ,-12) compound (workshops-17, glassware-13) cc (glassware-13, and-14) conj:and (glassware-13, Karo-15) compound (workshops-17, Karo-15) compound (workshops-17, syrup-16) conj:and (centers-2, workshops-17) nsubj (kept-24, workshops-17) punct (centers-2, ,-18) compound (meetings-20, committee-19) conj:and (centers-2, meetings-20) nsubj (kept-24, meetings-20) cc (centers-2, and-21) compound (lunches-23, division-22) conj:and (centers-2, lunches-23) nsubj (kept-24, lunches-23) nsubj (inspired-26, us-25) ccomp (kept-24, inspired-26) cc (inspired-26, and-27) case (go-30, on-28) det (go-30, the-29) ccomp (kept-24, go-30) conj:and (inspired-26, go-30) punct (kept-24, .-31) ",glassware,13,"compound (workshops-17, glassware-13) cc (glassware-13, and-14) conj:and (glassware-13, Karo-15) ","international print salon exhibitions , glassware and Karo syrup workshops ,",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'Karo', 15)]",['and'],[Karo-15],['workshops'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1995.txt_4.csv,0,0,0,0,unknown,,,,
