Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"( 1 ) -only when you were wearing at least one piece of underwear or clothing , ( 2 ) -while wearing at least one piece of underwear or clothing and only occasionally at other times as well , ( 3 ) -at all times and for at least one year , ( 4 ) -never felt like a woman .","-LRB-/-lrb-/-LRB- 1/1/LS -RRB-/-rrb-/-RRB- -/-/: only/only/RB when/when/WRB you/you/PRP were/be/VBD wearing/wear/VBG at/at/IN least/least/JJS one/one/CD piece/piece/NN of/of/IN underwear/underwear/NN or/or/CC clothing/clothing/NN ,/,/, -LRB-/-lrb-/-LRB- 2/2/LS -RRB-/-rrb-/-RRB- -/-/: while/while/IN wearing/wear/VBG at/at/IN least/least/JJS one/one/CD piece/piece/NN of/of/IN underwear/underwear/NN or/or/CC clothing/clothing/NN and/and/CC only/only/RB occasionally/occasionally/RB at/at/IN other/other/JJ times/time/NNS as/as/RB well/well/RB ,/,/, -LRB-/-lrb-/-LRB- 3/3/LS -RRB-/-rrb-/-RRB- -/-/: at/at/IN all/all/DT times/time/NNS and/and/CC for/for/IN at/at/IN least/least/JJS one/one/CD year/year/NN ,/,/, -LRB-/-lrb-/-LRB- 4/4/LS -RRB-/-rrb-/-RRB- -/-/: never/never/RB felt/feel/VBD like/like/IN a/a/DT woman/woman/NN ././. ","ROOT (ROOT-0, were-8) punct (1-2, (-1) dep (were-8, 1-2) punct (1-2, )-3) punct (were-8, --4) advmod (were-8, only-5) advmod (were-8, when-6) advmod (were-8, you-7) xcomp (were-8, wearing-9) case (least-11, at-10) nmod:npmod (one-12, least-11) nummod (piece-13, one-12) dobj (wearing-9, piece-13) case (underwear-15, of-14) nmod:of (piece-13, underwear-15) cc (underwear-15, or-16) nmod:of (piece-13, clothing-17) conj:or (underwear-15, clothing-17) punct (wearing-9, ,-18) punct (2-20, (-19) dep (felt-61, 2-20) punct (2-20, )-21) punct (while-23, --22) nsubj (piece-28, while-23) nmod (while-23, wearing-24) case (least-26, at-25) nmod:at (wearing-24, least-26) dep (while-23, one-27) advcl (felt-61, piece-28) case (underwear-30, of-29) nmod:of (piece-28, underwear-30) cc (underwear-30, or-31) nmod:of (piece-28, clothing-32) conj:or (underwear-30, clothing-32) cc (piece-28, and-33) advmod (times-38, only-34) advmod (times-38, occasionally-35) case (times-38, at-36) advmod (times-38, other-37) conj:and (piece-28, times-38) advcl (felt-61, times-38) advmod (well-40, as-39) acl (times-38, well-40) punct (times-38, ,-41) punct (3-43, (-42) dep (--45, 3-43) punct (3-43, )-44) appos (times-38, --45) case (times-48, at-46) det (times-48, all-47) nmod:at (--45, times-48) cc (times-38, and-49) case (one-53, for-50) case (least-52, at-51) nmod:npmod (one-53, least-52) conj:and (piece-28, one-53) conj:and (times-38, one-53) nmod:tmod (one-53, year-54) punct (felt-61, ,-55) punct (4-57, (-56) nsubj (felt-61, 4-57) punct (4-57, )-58) punct (4-57, --59) dep (4-57, never-60) parataxis (wearing-9, felt-61) case (woman-64, like-62) det (woman-64, a-63) nmod:like (felt-61, woman-64) punct (were-8, .-65) ",underwear,15,"case (underwear-15, of-14) nmod:of (piece-13, underwear-15) cc (underwear-15, or-16) conj:or (underwear-15, clothing-17) ","least one piece of underwear or clothing , ( 2 )",NN,[],,,,,[],[],[],,"[('of', 'piece', 13)]",['of'],[],['piece'],[],[],"[('or', 'clothing', 17)]",['or'],[clothing-17],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"( 1 ) -only when you were wearing at least one piece of underwear or clothing , ( 2 ) -while wearing at least one piece of underwear or clothing and only occasionally at other times as well , ( 3 ) -at all times and for at least one year , ( 4 ) -never felt like a woman .","-LRB-/-lrb-/-LRB- 1/1/LS -RRB-/-rrb-/-RRB- -/-/: only/only/RB when/when/WRB you/you/PRP were/be/VBD wearing/wear/VBG at/at/IN least/least/JJS one/one/CD piece/piece/NN of/of/IN underwear/underwear/NN or/or/CC clothing/clothing/NN ,/,/, -LRB-/-lrb-/-LRB- 2/2/LS -RRB-/-rrb-/-RRB- -/-/: while/while/IN wearing/wear/VBG at/at/IN least/least/JJS one/one/CD piece/piece/NN of/of/IN underwear/underwear/NN or/or/CC clothing/clothing/NN and/and/CC only/only/RB occasionally/occasionally/RB at/at/IN other/other/JJ times/time/NNS as/as/RB well/well/RB ,/,/, -LRB-/-lrb-/-LRB- 3/3/LS -RRB-/-rrb-/-RRB- -/-/: at/at/IN all/all/DT times/time/NNS and/and/CC for/for/IN at/at/IN least/least/JJS one/one/CD year/year/NN ,/,/, -LRB-/-lrb-/-LRB- 4/4/LS -RRB-/-rrb-/-RRB- -/-/: never/never/RB felt/feel/VBD like/like/IN a/a/DT woman/woman/NN ././. ","ROOT (ROOT-0, were-8) punct (1-2, (-1) dep (were-8, 1-2) punct (1-2, )-3) punct (were-8, --4) advmod (were-8, only-5) advmod (were-8, when-6) advmod (were-8, you-7) xcomp (were-8, wearing-9) case (least-11, at-10) nmod:npmod (one-12, least-11) nummod (piece-13, one-12) dobj (wearing-9, piece-13) case (underwear-15, of-14) nmod:of (piece-13, underwear-15) cc (underwear-15, or-16) nmod:of (piece-13, clothing-17) conj:or (underwear-15, clothing-17) punct (wearing-9, ,-18) punct (2-20, (-19) dep (felt-61, 2-20) punct (2-20, )-21) punct (while-23, --22) nsubj (piece-28, while-23) nmod (while-23, wearing-24) case (least-26, at-25) nmod:at (wearing-24, least-26) dep (while-23, one-27) advcl (felt-61, piece-28) case (underwear-30, of-29) nmod:of (piece-28, underwear-30) cc (underwear-30, or-31) nmod:of (piece-28, clothing-32) conj:or (underwear-30, clothing-32) cc (piece-28, and-33) advmod (times-38, only-34) advmod (times-38, occasionally-35) case (times-38, at-36) advmod (times-38, other-37) conj:and (piece-28, times-38) advcl (felt-61, times-38) advmod (well-40, as-39) acl (times-38, well-40) punct (times-38, ,-41) punct (3-43, (-42) dep (--45, 3-43) punct (3-43, )-44) appos (times-38, --45) case (times-48, at-46) det (times-48, all-47) nmod:at (--45, times-48) cc (times-38, and-49) case (one-53, for-50) case (least-52, at-51) nmod:npmod (one-53, least-52) conj:and (piece-28, one-53) conj:and (times-38, one-53) nmod:tmod (one-53, year-54) punct (felt-61, ,-55) punct (4-57, (-56) nsubj (felt-61, 4-57) punct (4-57, )-58) punct (4-57, --59) dep (4-57, never-60) parataxis (wearing-9, felt-61) case (woman-64, like-62) det (woman-64, a-63) nmod:like (felt-61, woman-64) punct (were-8, .-65) ",underwear,30,"case (underwear-30, of-29) nmod:of (piece-28, underwear-30) cc (underwear-30, or-31) conj:or (underwear-30, clothing-32) ",one piece of underwear or clothing and only occasionally at other,NN,[],,,,,[],[],[],,"[('of', 'piece', 28)]",['of'],[],['piece'],[],[],"[('or', 'clothing', 32)]",['or'],[clothing-32],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"It is their duty to this version of culture that academics are held to fall away from by their recent and much-publicized turn to '' mass '' or '' popular '' or '' ordinary '' culture , to '' deciphering Victorian underwear '' ( the title of a characteristically sarcastic piece in the New York Times Magazine ) .","It/it/PRP is/be/VBZ their/they/PRP$ duty/duty/NN to/to/TO this/this/DT version/version/NN of/of/IN culture/culture/NN that/that/WDT academics/academic/NNS are/be/VBP held/hold/VBN to/to/TO fall/fall/VB away/away/RB from/from/IN by/by/IN their/they/PRP$ recent/recent/JJ and/and/CC much-publicized/much-publicized/JJ turn/turn/NN to/to/TO ''/''/'' mass/mass/NN ''/''/'' or/or/CC ''/''/'' popular/popular/JJ ''/''/'' or/or/CC ''/''/'' ordinary/ordinary/JJ ''/''/'' culture/culture/NN ,/,/, to/to/TO ''/''/'' deciphering/decipher/VBG Victorian/victorian/JJ underwear/underwear/NN ''/''/'' -LRB-/-lrb-/-LRB- the/the/DT title/title/NN of/of/IN a/a/DT characteristically/characteristically/RB sarcastic/sarcastic/JJ piece/piece/NN in/in/IN the/the/DT New/New/NNP York/York/NNP Times/Times/NNP Magazine/Magazine/NNP -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, duty-4) nsubj (duty-4, It-1) cop (duty-4, is-2) nmod:poss (duty-4, their-3) case (version-7, to-5) det (version-7, this-6) nmod:to (duty-4, version-7) nmod:to (held-13, version-7) case (culture-9, of-8) nmod:of (version-7, culture-9) ref (version-7, that-10) nsubjpass (held-13, academics-11) nsubj:xsubj (fall-15, academics-11) auxpass (held-13, are-12) acl:relcl (version-7, held-13) mark (fall-15, to-14) xcomp (held-13, fall-15) case (mass-26, away-16) mwe (away-16, from-17) case (mass-26, by-18) nmod:poss (mass-26, their-19) amod (turn-23, recent-20) cc (recent-20, and-21) conj:and (recent-20, much-publicized-22) amod (turn-23, much-publicized-22) compound (mass-26, turn-23) acl (turn-23, to-24) punct (turn-23, ''-25) nmod:away_from (fall-15, mass-26) punct (fall-15, ''-27) advmod (fall-15, or-28) punct (fall-15, ''-29) advmod (fall-15, popular-30) punct (fall-15, ''-31) advmod (fall-15, or-32) punct (fall-15, ''-33) dobj (fall-15, ordinary-34) punct (fall-15, ''-35) dobj (fall-15, culture-36) punct (held-13, ,-37) case (that-10, to-38) punct (duty-4, ''-39) xcomp (duty-4, deciphering-40) amod (underwear-42, Victorian-41) dobj (deciphering-40, underwear-42) punct (underwear-42, ''-43) punct (title-46, (-44) det (title-46, the-45) dep (underwear-42, title-46) case (piece-51, of-47) det (piece-51, a-48) advmod (sarcastic-50, characteristically-49) amod (piece-51, sarcastic-50) nmod:of (title-46, piece-51) case (Magazine-57, in-52) det (Magazine-57, the-53) compound (Magazine-57, New-54) compound (Magazine-57, York-55) compound (Magazine-57, Times-56) nmod:in (piece-51, Magazine-57) punct (title-46, )-58) punct (duty-4, .-59) ",underwear,42,"amod (underwear-42, Victorian-41) dobj (deciphering-40, underwear-42) punct (underwear-42, ''-43) dep (underwear-42, title-46) ",", to '' deciphering Victorian underwear '' ( the title of",NN,[],deciphering-40,decipher,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['Victorian'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_2.csv,0,0,0,0,unknown,,,,
She would frequently come without underwear and dressed in inappropriate outer clothing for the weather .,She/she/PRP would/would/MD frequently/frequently/RB come/come/VB without/without/IN underwear/underwear/NN and/and/CC dressed/dress/VBN in/in/IN inappropriate/inappropriate/JJ outer/outer/JJ clothing/clothing/NN for/for/IN the/the/DT weather/weather/NN ././. ,"ROOT (ROOT-0, come-4) nsubj (come-4, She-1) nsubj (dressed-8, She-1) aux (come-4, would-2) advmod (come-4, frequently-3) case (underwear-6, without-5) nmod:without (come-4, underwear-6) cc (come-4, and-7) conj:and (come-4, dressed-8) case (clothing-12, in-9) amod (clothing-12, inappropriate-10) amod (clothing-12, outer-11) nmod:in (dressed-8, clothing-12) case (weather-15, for-13) det (weather-15, the-14) nmod:for (clothing-12, weather-15) punct (come-4, .-16) ",underwear,6,"case (underwear-6, without-5) nmod:without (come-4, underwear-6) ",She would frequently come without underwear and dressed in inappropriate outer,NN,[],,,,,[],[],[],,"[('without', 'come', 4)]",['without'],[],['come'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['without'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
"I donned several layers of woolen underwear and socks , a one-piece neoprene dry suit , a hood , booties , and three-fingered mittens .","I/I/PRP donned/don/VBD several/several/JJ layers/layer/NNS of/of/IN woolen/woolen/JJ underwear/underwear/NN and/and/CC socks/sock/NNS ,/,/, a/a/DT one-piece/one-piece/JJ neoprene/neoprene/NN dry/dry/JJ suit/suit/NN ,/,/, a/a/DT hood/hood/NN ,/,/, booties/booty/NNS ,/,/, and/and/CC three-fingered/three-fingered/JJ mittens/mitten/NNS ././. ","ROOT (ROOT-0, donned-2) nsubj (donned-2, I-1) amod (layers-4, several-3) dobj (donned-2, layers-4) case (underwear-7, of-5) amod (underwear-7, woolen-6) nmod:of (layers-4, underwear-7) cc (underwear-7, and-8) nmod:of (layers-4, socks-9) conj:and (underwear-7, socks-9) punct (underwear-7, ,-10) det (suit-15, a-11) amod (suit-15, one-piece-12) compound (suit-15, neoprene-13) amod (suit-15, dry-14) nmod:of (layers-4, suit-15) conj:and (underwear-7, suit-15) punct (underwear-7, ,-16) det (hood-18, a-17) nmod:of (layers-4, hood-18) conj:and (underwear-7, hood-18) punct (underwear-7, ,-19) nmod:of (layers-4, booties-20) conj:and (underwear-7, booties-20) punct (underwear-7, ,-21) cc (underwear-7, and-22) amod (mittens-24, three-fingered-23) nmod:of (layers-4, mittens-24) conj:and (underwear-7, mittens-24) punct (donned-2, .-25) ",underwear,7,"case (underwear-7, of-5) amod (underwear-7, woolen-6) nmod:of (layers-4, underwear-7) cc (underwear-7, and-8) conj:and (underwear-7, socks-9) punct (underwear-7, ,-10) conj:and (underwear-7, suit-15) punct (underwear-7, ,-16) conj:and (underwear-7, hood-18) punct (underwear-7, ,-19) conj:and (underwear-7, booties-20) punct (underwear-7, ,-21) cc (underwear-7, and-22) conj:and (underwear-7, mittens-24) ","donned several layers of woolen underwear and socks , a one-piece",NN,[],,,,,[],[],[],,"[('of', 'layers', 4)]",['of'],[],['layers'],[],[],"[('and', 'socks', 9), ('and', 'suit', 15), ('and', 'hood', 18), ('and', 'booties', 20), ('and', 'mittens', 24)]","['and', 'and', 'and', 'and', 'and']","[socks-9, suit-15, hood-18, booties-20, mittens-24]",[],[],['woolen'],[0.0175],[0.0175],[0.0275],[0.0075],[0.035],[0.005],[0.3683333333333333],[0.025],[0.0225],[0.085],[0.3583333333333333],[0.02],[0.010833333333333335],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,,,,
The men had long underwear .,The/the/DT men/man/NNS had/have/VBD long/long/JJ underwear/underwear/NN ././. ,"ROOT (ROOT-0, had-3) det (men-2, The-1) nsubj (had-3, men-2) amod (underwear-5, long-4) dobj (had-3, underwear-5) punct (had-3, .-6) ",underwear,5,"amod (underwear-5, long-4) dobj (had-3, underwear-5) ",The men had long underwear .,NN,[],had-3,have,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['long'],[0.005],[0.008125],[0.005],[0.0075],[0.04595833333333333],[0.025],[0.015833333333333335],[0.045],[0.034166666666666665],[0.706875],[0.04154166666666667],[0.0575],[0.0025],[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
"MEANINGS OF POSTMODERNISM  Postmodernism is everywhere , from literature , design , and philosophy to MTV , ice cream , and underwear .","MEANINGS/meaning/NNS OF/of/IN POSTMODERNISM/POSTMODERNISM/NNP Postmodernism/Postmodernism/NNP is/be/VBZ everywhere/everywhere/RB ,/,/, from/from/IN literature/literature/NN ,/,/, design/design/NN ,/,/, and/and/CC philosophy/philosophy/NN to/to/TO MTV/MTV/NNP ,/,/, ice/ice/NN cream/cream/NN ,/,/, and/and/CC underwear/underwear/NN ././. ","ROOT (ROOT-0, literature-9) nsubj (literature-9, MEANINGS-1) case (Postmodernism-4, OF-2) compound (Postmodernism-4, POSTMODERNISM-3) nmod:of (MEANINGS-1, Postmodernism-4) cop (literature-9, is-5) advmod (literature-9, everywhere-6) punct (literature-9, ,-7) case (literature-9, from-8) punct (literature-9, ,-10) conj:and (literature-9, design-11) punct (literature-9, ,-12) cc (literature-9, and-13) conj:and (literature-9, philosophy-14) case (MTV-16, to-15) nmod:to (literature-9, MTV-16) punct (MTV-16, ,-17) compound (cream-19, ice-18) nmod:to (literature-9, cream-19) conj:and (MTV-16, cream-19) punct (MTV-16, ,-20) cc (MTV-16, and-21) nmod:to (literature-9, underwear-22) conj:and (MTV-16, underwear-22) punct (literature-9, .-23) ",underwear,22,"nmod:to (literature-9, underwear-22) conj:and (MTV-16, underwear-22) ",", ice cream , and underwear .",NN,[],,,,,[],[],[],,"[('to', 'literature', 9)]",['to'],[],['literature'],[],[],"[('and', 'MTV', 16)]",['and'],[MTV-16],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
"The friend took Robert 's laundry bag to a Chinese laundry , started removing the clothes , only to find that mixed in with the dirty socks and underwear was Robert 's straitjacket .  ''","The/the/DT friend/friend/NN took/take/VBD Robert/Robert/NNP 's/'s/POS laundry/laundry/NN bag/bag/NN to/to/TO a/a/DT Chinese/chinese/JJ laundry/laundry/NN ,/,/, started/start/VBD removing/remove/VBG the/the/DT clothes/clothes/NNS ,/,/, only/only/RB to/to/TO find/find/VB that/that/IN mixed/mixed/JJ in/in/IN with/with/IN the/the/DT dirty/dirty/JJ socks/sock/NNS and/and/CC underwear/underwear/NN was/be/VBD Robert/Robert/NNP 's/'s/POS straitjacket/straitjacket/NN ././. ''/''/'' ","ROOT (ROOT-0, took-3) det (friend-2, The-1) nsubj (took-3, friend-2) nmod:poss (bag-7, Robert-4) case (Robert-4, 's-5) compound (bag-7, laundry-6) dobj (took-3, bag-7) case (laundry-11, to-8) det (laundry-11, a-9) amod (laundry-11, Chinese-10) nmod:to (took-3, laundry-11) punct (laundry-11, ,-12) acl (laundry-11, started-13) xcomp (started-13, removing-14) det (clothes-16, the-15) dobj (removing-14, clothes-16) punct (took-3, ,-17) advmod (find-20, only-18) mark (find-20, to-19) advcl:to (took-3, find-20) mark (mixed-22, that-21) dep (find-20, mixed-22) case (socks-27, in-23) case (socks-27, with-24) det (socks-27, the-25) amod (socks-27, dirty-26) nmod:with (mixed-22, socks-27) cc (took-3, and-28) nsubj (straitjacket-33, underwear-29) cop (straitjacket-33, was-30) nmod:poss (straitjacket-33, Robert-31) case (Robert-31, 's-32) conj:and (took-3, straitjacket-33) punct (took-3, .-34) punct (took-3, ''-35) ",underwear,29,"nsubj (straitjacket-33, underwear-29) ",with the dirty socks and underwear was Robert 's straitjacket .,NN,[],was-30,,VBD,CopSubject,[],[],[],NN,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_1.csv,0,0,0,0,unknown,,,,
"Many greenhouse applicators do not take advantage of the greater protection offered by wearing two layers of clothing and/or underwear , as found in previous studies ( 11 , 13,17 ) with other samples .","Many/many/JJ greenhouse/greenhouse/NN applicators/applicator/NNS do/do/VBP not/not/RB take/take/VB advantage/advantage/NN of/of/IN the/the/DT greater/greater/JJR protection/protection/NN offered/offer/VBN by/by/IN wearing/wear/VBG two/two/CD layers/layer/NNS of/of/IN clothing/clothing/NN and/or/and/or/CC underwear/underwear/NN ,/,/, as/as/IN found/find/VBN in/in/IN previous/previous/JJ studies/study/NNS -LRB-/-lrb-/-LRB- 11/11/CD ,/,/, 13,17/13,17/CD -RRB-/-rrb-/-RRB- with/with/IN other/other/JJ samples/sample/NNS ././. ","ROOT (ROOT-0, take-6) amod (applicators-3, Many-1) compound (applicators-3, greenhouse-2) nsubj (take-6, applicators-3) aux (take-6, do-4) neg (take-6, not-5) dobj (take-6, advantage-7) case (protection-11, of-8) det (protection-11, the-9) amod (protection-11, greater-10) nmod:of (advantage-7, protection-11) acl (protection-11, offered-12) mark (wearing-14, by-13) advcl:by (offered-12, wearing-14) nummod (layers-16, two-15) dobj (wearing-14, layers-16) case (clothing-18, of-17) nmod:of (layers-16, clothing-18) cc (wearing-14, and/or-19) advcl:by (offered-12, underwear-20) conj:and/or (wearing-14, underwear-20) punct (underwear-20, ,-21) mark (found-23, as-22) dep (underwear-20, found-23) case (studies-26, in-24) amod (studies-26, previous-25) nmod:in (found-23, studies-26) punct (11-28, (-27) dep (wearing-14, 11-28) punct (11-28, ,-29) amod (11-28, 13,17-30) punct (11-28, )-31) case (samples-34, with-32) amod (samples-34, other-33) nmod:with (take-6, samples-34) punct (take-6, .-35) ",underwear,20,"advcl:by (offered-12, underwear-20) conj:and/or (wearing-14, underwear-20) punct (underwear-20, ,-21) dep (underwear-20, found-23) ","two layers of clothing and/or underwear , as found in previous",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and/or', 'wearing', 14)]",['and/or'],[wearing-14],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_3.csv,0,0,0,0,unknown,,,,
Thermal underwear was necessary most days .,Thermal/thermal/JJ underwear/underwear/NN was/be/VBD necessary/necessary/JJ most/most/RBS days/day/NNS ././. ,"ROOT (ROOT-0, necessary-4) amod (underwear-2, Thermal-1) nsubj (necessary-4, underwear-2) cop (necessary-4, was-3) dep (necessary-4, most-5) dep (most-5, days-6) punct (necessary-4, .-7) ",underwear,2,"amod (underwear-2, Thermal-1) nsubj (necessary-4, underwear-2) ",Thermal underwear was necessary most days .,NN,[],was-3,,VBD,CopSubject,[],[],[],JJ,[],[],[],[],[],[],[],[],[],[],[],['Thermal'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_4.csv,0,0,0,0,unknown,,,,
