Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
Should a college refuse to invest in treasury bills because the United States does business with the Soviet Union ?,Should/should/MD a/a/DT college/college/NN refuse/refuse/NN to/to/TO invest/invest/VB in/in/IN treasury/treasury/NN bills/bill/NNS because/because/IN the/the/DT United/United/NNP States/States/NNPS does/do/VBZ business/business/NN with/with/IN the/the/DT Soviet/Soviet/NNP Union/Union/NNP ?/?/. ,"ROOT (ROOT-0, invest-6) aux (invest-6, Should-1) det (refuse-4, a-2) compound (refuse-4, college-3) nsubj (invest-6, refuse-4) acl (refuse-4, to-5) case (bills-9, in-7) compound (bills-9, treasury-8) nmod:in (invest-6, bills-9) mark (does-14, because-10) det (States-13, the-11) compound (States-13, United-12) nsubj (does-14, States-13) advcl:because (invest-6, does-14) dobj (does-14, business-15) case (Union-19, with-16) det (Union-19, the-17) compound (Union-19, Soviet-18) nmod:with (does-14, Union-19) punct (invest-6, ?-20) ",refuse,4,"det (refuse-4, a-2) compound (refuse-4, college-3) nsubj (invest-6, refuse-4) acl (refuse-4, to-5) ",Should a college refuse to invest in treasury bills,NN,[],invest-6,invest,VB,subject,[],[],['Should'],,[],[],[],[],['a'],['indefinite article'],[],[],[],[],['college'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],Should,[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,1,0,0,0,countable,a,unit,a/an,small
"Indeed , Vital expressly said that the death of the kings , which in Kabbalist imagery is synonymous with the breaking of the cosmic vessels , is not real death but a descent from a higher to a lower echelon , '' like a woman giving birth who also emits refuse . ''","Indeed/indeed/RB ,/,/, Vital/vital/JJ expressly/expressly/RB said/say/VBD that/that/IN the/the/DT death/death/NN of/of/IN the/the/DT kings/king/NNS ,/,/, which/which/WDT in/in/IN Kabbalist/Kabbalist/NNP imagery/imagery/NN is/be/VBZ synonymous/synonymous/JJ with/with/IN the/the/DT breaking/breaking/NN of/of/IN the/the/DT cosmic/cosmic/JJ vessels/vessel/NNS ,/,/, is/be/VBZ not/not/RB real/real/JJ death/death/NN but/but/CC a/a/DT descent/descent/NN from/from/IN a/a/DT higher/higher/JJR to/to/TO a/a/DT lower/lower/JJR echelon/echelon/NN ,/,/, ''/''/'' like/like/IN a/a/DT woman/woman/NN giving/give/VBG birth/birth/NN who/who/WP also/also/RB emits/emit/VBZ refuse/refuse/NN ././. ''/''/'' ","ROOT (ROOT-0, said-5) advmod (said-5, Indeed-1) punct (said-5, ,-2) nsubj (said-5, Vital-3) advmod (said-5, expressly-4) mark (death-30, that-6) det (death-8, the-7) nsubj (synonymous-18, death-8) nsubj (death-30, death-8) case (kings-11, of-9) det (kings-11, the-10) nmod:of (death-8, kings-11) punct (death-8, ,-12) ref (death-8, which-13) case (imagery-16, in-14) compound (imagery-16, Kabbalist-15) nmod:in (synonymous-18, imagery-16) cop (synonymous-18, is-17) acl:relcl (death-8, synonymous-18) case (breaking-21, with-19) det (breaking-21, the-20) nmod:with (synonymous-18, breaking-21) case (vessels-25, of-22) det (vessels-25, the-23) amod (vessels-25, cosmic-24) nmod:of (breaking-21, vessels-25) punct (death-8, ,-26) cop (death-30, is-27) neg (death-30, not-28) amod (death-30, real-29) ccomp (said-5, death-30) case (descent-33, but-31) det (descent-33, a-32) nmod:but (death-30, descent-33) case (refuse-51, from-34) det (refuse-51, a-35) amod (refuse-51, higher-36) case (echelon-40, to-37) det (echelon-40, a-38) amod (echelon-40, lower-39) nmod:to (higher-36, echelon-40) punct (echelon-40, ,-41) punct (echelon-40, ''-42) case (woman-45, like-43) det (woman-45, a-44) nmod:like (echelon-40, woman-45) acl (woman-45, giving-46) dobj (giving-46, birth-47) nsubj (emits-50, birth-47) ref (birth-47, who-48) advmod (emits-50, also-49) acl:relcl (birth-47, emits-50) nmod:from (descent-33, refuse-51) punct (said-5, .-52) punct (said-5, ''-53) ",refuse,51,"case (refuse-51, from-34) det (refuse-51, a-35) amod (refuse-51, higher-36) nmod:from (descent-33, refuse-51) ",giving birth who also emits refuse . '',NN,[],,,,,[],[],[],,"[('from', 'descent', 33)]",['from'],[],['descent'],['a'],['indefinite article'],[],[],[],[],[],['higher'],[0.013333333333333334],[0.018333333333333333],[0.0175],[0.01],[0.0675],[0.0275],[0.010291666666666668],[0.0475],[0.0425],[0.675],[0.036375000000000005],[0.03416666666666667],[0.0],[],[],[],['from'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,1,0,0,0,countable,a,unit,a/an,small
Exodus is what happens if the powerful refuse to respond to Genesis .,Exodus/Exodus/NNP is/be/VBZ what/what/WP happens/happen/VBZ if/if/IN the/the/DT powerful/powerful/JJ refuse/refuse/NN to/to/TO respond/respond/VB to/to/TO Genesis/Genesis/NNP ././. ,"ROOT (ROOT-0, is-2) nsubj (is-2, Exodus-1) nsubj (happens-4, what-3) ccomp (is-2, happens-4) mark (respond-10, if-5) det (refuse-8, the-6) amod (refuse-8, powerful-7) nsubj (respond-10, refuse-8) mark (respond-10, to-9) advcl:to (happens-4, respond-10) case (Genesis-12, to-11) nmod:to (respond-10, Genesis-12) punct (is-2, .-13) ",refuse,8,"det (refuse-8, the-6) amod (refuse-8, powerful-7) nsubj (respond-10, refuse-8) ",what happens if the powerful refuse to respond to Genesis .,NN,[],respond-10,respond,VB,subject,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],['powerful'],[0.15270833333333333],[0.045],[0.035],[0.075625],[0.14375],[0.0575],[0.01625],[0.0625],[0.1625],[0.056875],[0.115],[0.06729166666666667],[0.01],[],[],[],[],[],[],[],[],[],if,singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Not only did the churchwarden refuse to pay Poyer , they refused to obey a magistrates ' warrant to pay him .","Not/not/RB only/only/RB did/do/VBD the/the/DT churchwarden/churchwarden/JJ refuse/refuse/NN to/to/TO pay/pay/VB Poyer/Poyer/NNP ,/,/, they/they/PRP refused/refuse/VBD to/to/TO obey/obey/VB a/a/DT magistrates/magistrate/NNS '/'/POS warrant/warrant/NN to/to/TO pay/pay/VB him/he/PRP ././. ","ROOT (ROOT-0, refused-12) dep (did-3, Not-1) advmod (did-3, only-2) advcl (refused-12, did-3) det (refuse-6, the-4) amod (refuse-6, churchwarden-5) dobj (did-3, refuse-6) mark (pay-8, to-7) advcl:to (did-3, pay-8) dobj (pay-8, Poyer-9) punct (refused-12, ,-10) nsubj (refused-12, they-11) nsubj:xsubj (obey-14, they-11) mark (obey-14, to-13) xcomp (refused-12, obey-14) det (magistrates-16, a-15) nmod:poss (warrant-18, magistrates-16) case (magistrates-16, '-17) dobj (obey-14, warrant-18) mark (pay-20, to-19) acl:to (warrant-18, pay-20) dobj (pay-20, him-21) punct (refused-12, .-22) ",refuse,6,"det (refuse-6, the-4) amod (refuse-6, churchwarden-5) dobj (did-3, refuse-6) ","Not only did the churchwarden refuse to pay Poyer , they",NN,[],did-3,do,VBD,object,['only'],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],['churchwarden'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
The first part of August saw the Executive Council of the AFL-CIO refuse to take a position on the abortion rights issue for the November elections .,The/the/DT first/first/JJ part/part/NN of/of/IN August/August/NNP saw/see/VBD the/the/DT Executive/Executive/NNP Council/Council/NNP of/of/IN the/the/DT AFL-CIO/AFL-CIO/NNP refuse/refuse/NN to/to/TO take/take/VB a/a/DT position/position/NN on/on/IN the/the/DT abortion/abortion/NN rights/rights/NNS issue/issue/NN for/for/IN the/the/DT November/November/NNP elections/election/NNS ././. ,"ROOT (ROOT-0, saw-6) det (part-3, The-1) amod (part-3, first-2) nsubj (saw-6, part-3) case (August-5, of-4) nmod:of (part-3, August-5) det (Council-9, the-7) compound (Council-9, Executive-8) dobj (saw-6, Council-9) case (refuse-13, of-10) det (refuse-13, the-11) compound (refuse-13, AFL-CIO-12) nmod:of (Council-9, refuse-13) mark (take-15, to-14) advcl:to (saw-6, take-15) det (position-17, a-16) dobj (take-15, position-17) case (issue-22, on-18) det (issue-22, the-19) compound (issue-22, abortion-20) compound (issue-22, rights-21) nmod:on (take-15, issue-22) case (elections-26, for-23) det (elections-26, the-24) compound (elections-26, November-25) nmod:for (issue-22, elections-26) punct (saw-6, .-27) ",refuse,13,"case (refuse-13, of-10) det (refuse-13, the-11) compound (refuse-13, AFL-CIO-12) nmod:of (Council-9, refuse-13) ",Executive Council of the AFL-CIO refuse to take a position on,NN,[],,,,,[],[],[],,"[('of', 'Council', 9)]",['of'],[],['Council'],['the'],['definite article'],[],[],[],[],['AFL-CIO'],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
Chief Justice William Rehnquist wrote in the majority opinion that the Constitution implies the right of a competent person to '' refuse life-saving hydration and nutrition . '',Chief/Chief/NNP Justice/Justice/NNP William/William/NNP Rehnquist/Rehnquist/NNP wrote/write/VBD in/in/IN the/the/DT majority/majority/NN opinion/opinion/NN that/that/IN the/the/DT Constitution/Constitution/NNP implies/imply/VBZ the/the/DT right/right/NN of/of/IN a/a/DT competent/competent/JJ person/person/NN to/to/TO ''/''/'' refuse/refuse/NN life-saving/life-saving/JJ hydration/hydration/NN and/and/CC nutrition/nutrition/NN ././. ''/''/'' ,"ROOT (ROOT-0, wrote-5) compound (Rehnquist-4, Chief-1) compound (Rehnquist-4, Justice-2) compound (Rehnquist-4, William-3) nsubj (wrote-5, Rehnquist-4) case (opinion-9, in-6) det (opinion-9, the-7) compound (opinion-9, majority-8) nmod:in (wrote-5, opinion-9) mark (implies-13, that-10) det (Constitution-12, the-11) nsubj (implies-13, Constitution-12) ccomp (wrote-5, implies-13) det (right-15, the-14) dobj (implies-13, right-15) case (person-19, of-16) det (person-19, a-17) amod (person-19, competent-18) nmod:of (right-15, person-19) acl (person-19, to-20) punct (right-15, ''-21) compound (hydration-24, refuse-22) amod (hydration-24, life-saving-23) dobj (implies-13, hydration-24) conj:and (right-15, hydration-24) cc (right-15, and-25) dobj (implies-13, nutrition-26) conj:and (right-15, nutrition-26) punct (wrote-5, .-27) punct (wrote-5, ''-28) ",refuse,22,"compound (hydration-24, refuse-22) ",a competent person to '' refuse life-saving hydration and nutrition .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['hydration'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
The question ; How could anyone refuse to hear the church if the church was a magistracy ?,The/the/DT question/question/NN ;/;/: How/how/WRB could/could/MD anyone/anyone/NN refuse/refuse/NN to/to/TO hear/hear/VB the/the/DT church/church/NN if/if/IN the/the/DT church/church/NN was/be/VBD a/a/DT magistracy/magistracy/NN ?/?/. ,"ROOT (ROOT-0, question-2) det (question-2, The-1) punct (could-5, ;-3) advmod (could-5, How-4) dep (question-2, could-5) compound (refuse-7, anyone-6) dobj (could-5, refuse-7) mark (hear-9, to-8) advcl:to (could-5, hear-9) det (church-11, the-10) dobj (hear-9, church-11) mark (magistracy-17, if-12) det (church-14, the-13) nsubj (magistracy-17, church-14) cop (magistracy-17, was-15) det (magistracy-17, a-16) dep (question-2, magistracy-17) punct (question-2, ?-18) ",refuse,7,"compound (refuse-7, anyone-6) dobj (could-5, refuse-7) ",question ; How could anyone refuse to hear the church if,NN,[],could-5,could,MD,object,['How'],[],[],,[],[],[],[],[],[],[],[],[],[],['anyone'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"Religious demagogues , elected officials , and health care professionals are thus given license to insult , harass , ostracize , and refuse treatment to women needing medical services .","Religious/religious/JJ demagogues/demagogue/NNS ,/,/, elected/elect/VBN officials/official/NNS ,/,/, and/and/CC health/health/NN care/care/NN professionals/professional/NNS are/be/VBP thus/thus/RB given/give/VBN license/license/NN to/to/TO insult/insult/NN ,/,/, harass/harass/VBP ,/,/, ostracize/ostracize/VBP ,/,/, and/and/CC refuse/refuse/NN treatment/treatment/NN to/to/TO women/woman/NNS needing/need/VBG medical/medical/JJ services/service/NNS ././. ","ROOT (ROOT-0, ostracize-20) amod (demagogues-2, Religious-1) nsubj (ostracize-20, demagogues-2) punct (demagogues-2, ,-3) acl (demagogues-2, elected-4) nsubj (harass-18, officials-5) punct (officials-5, ,-6) cc (officials-5, and-7) compound (professionals-10, health-8) compound (professionals-10, care-9) conj:and (officials-5, professionals-10) nsubj (harass-18, professionals-10) auxpass (given-13, are-11) advmod (given-13, thus-12) acl:relcl (professionals-10, given-13) dobj (given-13, license-14) case (insult-16, to-15) nmod:to (given-13, insult-16) punct (officials-5, ,-17) ccomp (elected-4, harass-18) punct (demagogues-2, ,-19) punct (ostracize-20, ,-21) cc (ostracize-20, and-22) compound (treatment-24, refuse-23) nsubj (needing-27, treatment-24) case (women-26, to-25) nmod:to (treatment-24, women-26) conj:and (ostracize-20, needing-27) amod (services-29, medical-28) dobj (needing-27, services-29) punct (ostracize-20, .-30) ",refuse,23,"compound (treatment-24, refuse-23) ","harass , ostracize , and refuse treatment to women needing medical",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['treatment'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"As a result , should the Soviet Union demand too many concessions from a government or refuse to supply it with arms , PRC arms would provide an attractive alternative .","As/as/IN a/a/DT result/result/NN ,/,/, should/should/MD the/the/DT Soviet/Soviet/NNP Union/Union/NNP demand/demand/NN too/too/RB many/many/JJ concessions/concession/NNS from/from/IN a/a/DT government/government/NN or/or/CC refuse/refuse/NN to/to/TO supply/supply/VB it/it/PRP with/with/IN arms/arm/NNS ,/,/, PRC/PRC/NNP arms/arm/NNS would/would/MD provide/provide/VB an/a/DT attractive/attractive/JJ alternative/alternative/NN ././. ","ROOT (ROOT-0, provide-27) case (result-3, As-1) det (result-3, a-2) nmod:as (provide-27, result-3) punct (concessions-12, ,-4) aux (concessions-12, should-5) det (demand-9, the-6) compound (demand-9, Soviet-7) compound (demand-9, Union-8) nsubj (concessions-12, demand-9) advmod (many-11, too-10) amod (concessions-12, many-11) parataxis (provide-27, concessions-12) case (government-15, from-13) det (government-15, a-14) nmod:from (concessions-12, government-15) cc (government-15, or-16) nmod:from (concessions-12, refuse-17) conj:or (government-15, refuse-17) mark (supply-19, to-18) advcl:to (concessions-12, supply-19) dobj (supply-19, it-20) case (arms-22, with-21) nmod:with (supply-19, arms-22) punct (concessions-12, ,-23) compound (arms-25, PRC-24) nsubj (provide-27, arms-25) aux (provide-27, would-26) det (alternative-30, an-28) amod (alternative-30, attractive-29) dobj (provide-27, alternative-30) punct (provide-27, .-31) ",refuse,17,"nmod:from (concessions-12, refuse-17) conj:or (government-15, refuse-17) ",concessions from a government or refuse to supply it with arms,NN,[],,,,,[],[],[],,"[('from', 'concessions', 12)]",['from'],[],['concessions'],[],[],"[('or', 'government', 15)]",['or'],[government-15],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"Jorge Louis Borges , the great Argentine novelist , once wrote : '' I came to Mexico and found the Mexicans contemplating the refuse of their past . ''","Jorge/Jorge/NNP Louis/Louis/NNP Borges/Borges/NNP ,/,/, the/the/DT great/great/JJ Argentine/argentine/JJ novelist/novelist/NN ,/,/, once/once/RB wrote/write/VBD :/:/: ''/''/'' I/I/PRP came/come/VBD to/to/TO Mexico/Mexico/NNP and/and/CC found/find/VBD the/the/DT Mexicans/Mexicans/NNPS contemplating/contemplate/VBG the/the/DT refuse/refuse/NN of/of/IN their/they/PRP$ past/past/NN ././. ''/''/'' ","ROOT (ROOT-0, wrote-11) compound (Borges-3, Jorge-1) compound (Borges-3, Louis-2) nsubj (wrote-11, Borges-3) punct (Borges-3, ,-4) det (novelist-8, the-5) amod (novelist-8, great-6) amod (novelist-8, Argentine-7) appos (Borges-3, novelist-8) punct (Borges-3, ,-9) advmod (wrote-11, once-10) punct (wrote-11, :-12) punct (wrote-11, ''-13) nsubj (came-15, I-14) nsubj (found-19, I-14) parataxis (wrote-11, came-15) case (Mexico-17, to-16) nmod:to (came-15, Mexico-17) cc (came-15, and-18) parataxis (wrote-11, found-19) conj:and (came-15, found-19) det (Mexicans-21, the-20) dobj (found-19, Mexicans-21) xcomp (found-19, contemplating-22) det (refuse-24, the-23) dobj (contemplating-22, refuse-24) case (past-27, of-25) nmod:poss (past-27, their-26) nmod:of (refuse-24, past-27) punct (wrote-11, .-28) punct (wrote-11, ''-29) ",refuse,24,"det (refuse-24, the-23) dobj (contemplating-22, refuse-24) nmod:of (refuse-24, past-27) ",found the Mexicans contemplating the refuse of their past . '',NN,[],contemplating-22,contemplate,VBG,object,[],[],[],,"[('of', 'past', 27)]",['of'],['past'],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
