Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Playing from his own handwritten score , Lol Loy , a blacksmith at Wragg 's brickworks until his retirement about ten years ago , instinctively adjusts the stops , and with just the right amount of swell on the pedal , stills the room with the introduction to '' Merry Christmas . ''","Playing/play/VBG from/from/IN his/he/PRP$ own/own/JJ handwritten/handwritten/JJ score/score/NN ,/,/, Lol/Lol/NNP Loy/Loy/NNP ,/,/, a/a/DT blacksmith/blacksmith/NN at/at/IN Wragg/Wragg/NNP 's/'s/POS brickworks/brickwork/NNS until/until/IN his/he/PRP$ retirement/retirement/NN about/about/IN ten/ten/CD years/year/NNS ago/ago/RB ,/,/, instinctively/instinctively/RB adjusts/adjust/VBZ the/the/DT stops/stop/NNS ,/,/, and/and/CC with/with/IN just/just/RB the/the/DT right/right/JJ amount/amount/NN of/of/IN swell/swell/NN on/on/IN the/the/DT pedal/pedal/NN ,/,/, stills/still/NNS the/the/DT room/room/NN with/with/IN the/the/DT introduction/introduction/NN to/to/TO ''/''/'' Merry/Merry/NNP Christmas/Christmas/NNP ././. ''/''/'' ","ROOT (ROOT-0, adjusts-26) advcl (adjusts-26, Playing-1) case (score-6, from-2) nmod:poss (score-6, his-3) amod (score-6, own-4) amod (score-6, handwritten-5) nmod:from (Playing-1, score-6) punct (adjusts-26, ,-7) compound (Loy-9, Lol-8) nsubj (adjusts-26, Loy-9) punct (Loy-9, ,-10) det (blacksmith-12, a-11) appos (Loy-9, blacksmith-12) case (brickworks-16, at-13) nmod:poss (brickworks-16, Wragg-14) case (Wragg-14, 's-15) nmod:at (blacksmith-12, brickworks-16) case (retirement-19, until-17) nmod:poss (retirement-19, his-18) nmod:until (brickworks-16, retirement-19) case (ago-23, about-20) nummod (years-22, ten-21) nmod:npmod (ago-23, years-22) nmod:about (brickworks-16, ago-23) punct (Loy-9, ,-24) advmod (adjusts-26, instinctively-25) det (stops-28, the-27) dobj (adjusts-26, stops-28) punct (adjusts-26, ,-29) cc (adjusts-26, and-30) case (amount-35, with-31) advmod (amount-35, just-32) det (amount-35, the-33) amod (amount-35, right-34) conj:and (adjusts-26, amount-35) case (swell-37, of-36) nmod:of (amount-35, swell-37) case (pedal-40, on-38) det (pedal-40, the-39) nmod:on (amount-35, pedal-40) punct (pedal-40, ,-41) appos (pedal-40, stills-42) det (room-44, the-43) dep (stills-42, room-44) case (introduction-47, with-45) det (introduction-47, the-46) nmod:with (amount-35, introduction-47) acl (introduction-47, to-48) punct (Christmas-51, ''-49) compound (Christmas-51, Merry-50) nmod:tmod (to-48, Christmas-51) punct (adjusts-26, .-52) punct (adjusts-26, ''-53) ",brickwork,16,"case (brickworks-16, at-13) nmod:poss (brickworks-16, Wragg-14) nmod:at (blacksmith-12, brickworks-16) nmod:until (brickworks-16, retirement-19) nmod:about (brickworks-16, ago-23) ",a blacksmith at Wragg 's brickworks until his retirement about ten,NNS,[],,,,,[],[],[],,"[('at', 'blacksmith', 12), ('until', 'retirement', 19), ('about', 'ago', 23)]","['at', 'until', 'about']","['retirement', 'ago']",['blacksmith'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['Wragg'],[],[],['at'],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Nearly every building in the city needs paint , plaster , and new brickwork , although the cobbled sidewalks and potholed streets make it hard to tell if the fault lines are geological or geopolitical .","Nearly/nearly/RB every/every/DT building/building/NN in/in/IN the/the/DT city/city/NN needs/need/VBZ paint/paint/NN ,/,/, plaster/plaster/NN ,/,/, and/and/CC new/new/JJ brickwork/brickwork/NN ,/,/, although/although/IN the/the/DT cobbled/cobble/VBN sidewalks/sidewalk/NNS and/and/CC potholed/potholed/JJ streets/street/NNS make/make/VBP it/it/PRP hard/hard/JJ to/to/TO tell/tell/VB if/if/IN the/the/DT fault/fault/NN lines/line/NNS are/be/VBP geological/geological/JJ or/or/CC geopolitical/geopolitical/JJ ././. ","ROOT (ROOT-0, needs-7) advmod (building-3, Nearly-1) det (building-3, every-2) nsubj (needs-7, building-3) case (city-6, in-4) det (city-6, the-5) nmod:in (building-3, city-6) dobj (needs-7, paint-8) punct (paint-8, ,-9) dobj (needs-7, plaster-10) conj:and (paint-8, plaster-10) punct (paint-8, ,-11) cc (paint-8, and-12) amod (brickwork-14, new-13) dobj (needs-7, brickwork-14) conj:and (paint-8, brickwork-14) punct (needs-7, ,-15) mark (make-23, although-16) det (sidewalks-19, the-17) amod (sidewalks-19, cobbled-18) nsubj (make-23, sidewalks-19) cc (sidewalks-19, and-20) amod (streets-22, potholed-21) conj:and (sidewalks-19, streets-22) nsubj (make-23, streets-22) advcl:although (needs-7, make-23) nsubj (hard-25, it-24) nsubj:xsubj (tell-27, it-24) xcomp (make-23, hard-25) mark (tell-27, to-26) xcomp (hard-25, tell-27) mark (geological-33, if-28) det (lines-31, the-29) compound (lines-31, fault-30) nsubj (geological-33, lines-31) nsubj (geopolitical-35, lines-31) cop (geological-33, are-32) advcl:if (tell-27, geological-33) cc (geological-33, or-34) advcl:if (tell-27, geopolitical-35) conj:or (geological-33, geopolitical-35) punct (needs-7, .-36) ",brickwork,14,"amod (brickwork-14, new-13) dobj (needs-7, brickwork-14) conj:and (paint-8, brickwork-14) ",", plaster , and new brickwork , although the cobbled sidewalks",NN,[],needs-7,need,VBZ,object,[],[],[],,[],[],[],[],[],[],"[('and', 'paint', 8)]",['and'],[paint-8],[],[],['new'],[0.01],[0.009250000000000001],[0.005],[0.009666666666666667],[0.03726190476190476],[0.01],[0.016833333333333332],[0.10875],[0.0625],[0.03908333333333333],[0.03273809523809524],[0.6589166666666667],[0.0],[],[],[],[],[],[],[],[],[],[],singular,linked,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
"Padilla , supra note 24 , at 591 ; see also Hadacheck v. Sebastian , 239 U.S. 394 , 405-13 ( 1915 ) ( finding no taking when nuisance regulation of brickworks on clay-rich land reduced value from $800,000 to $60,000 ) .","Padilla/Padilla/NNP ,/,/, supra/supra/NN note/note/NN 24/24/CD ,/,/, at/at/IN 591/591/CD ;/;/: see/see/VB also/also/RB Hadacheck/Hadacheck/NNP v./v./CC Sebastian/Sebastian/NNP ,/,/, 239/239/CD U.S./U.S./NNP 394/394/CD ,/,/, 405-13/405-13/CD -LRB-/-lrb-/-LRB- 1915/1915/CD -RRB-/-rrb-/-RRB- -LRB-/-lrb-/-LRB- finding/find/VBG no/no/DT taking/take/VBG when/when/WRB nuisance/nuisance/NN regulation/regulation/NN of/of/IN brickworks/brickwork/NNS on/on/IN clay-rich/clay-rich/JJ land/land/NN reduced/reduce/VBN value/value/NN from/from/IN $/$/$ 800,000/800,000/CD to/to/TO $/$/$ 60,000/60,000/CD -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, Padilla-1) punct (Padilla-1, ,-2) compound (note-4, supra-3) appos (Padilla-1, note-4) dep (note-4, 24-5) punct (Padilla-1, ,-6) case (591-8, at-7) advmod (Padilla-1, 591-8) punct (Padilla-1, ;-9) parataxis (Padilla-1, see-10) advmod (see-10, also-11) dobj (see-10, Hadacheck-12) cc (Hadacheck-12, v.-13) dobj (see-10, Sebastian-14) conj:v. (Hadacheck-12, Sebastian-14) punct (Hadacheck-12, ,-15) appos (Hadacheck-12, 239-16) dep (239-16, U.S.-17) nummod (U.S.-17, 394-18) punct (U.S.-17, ,-19) nummod (U.S.-17, 405-13-20) punct (1915-22, (-21) appos (U.S.-17, 1915-22) punct (1915-22, )-23) punct (finding-25, (-24) dep (Hadacheck-12, finding-25) dobj (finding-25, no-26) acl (no-26, taking-27) advmod (reduced-36, when-28) compound (regulation-30, nuisance-29) nsubj (reduced-36, regulation-30) case (brickworks-32, of-31) nmod:of (regulation-30, brickworks-32) case (land-35, on-33) amod (land-35, clay-rich-34) nmod:on (brickworks-32, land-35) advcl (taking-27, reduced-36) dobj (reduced-36, value-37) case ($-42, from-38) dep ($-42, $-39) compound ($-42, 800,000-40) dep ($-42, to-41) nmod:from (reduced-36, $-42) nummod ($-42, 60,000-43) punct (finding-25, )-44) punct (Padilla-1, .-45) ",brickwork,32,"case (brickworks-32, of-31) nmod:of (regulation-30, brickworks-32) nmod:on (brickworks-32, land-35) ",taking when nuisance regulation of brickworks on clay-rich land reduced value,NNS,[],,,,,[],[],[],,"[('of', 'regulation', 30), ('on', 'land', 35)]","['of', 'on']",['land'],['regulation'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],plural,bare plural,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
"Section : the greening of independent schools LESSONS FROM COLLEGES AND UNIVERSITIES  Most American college and university campuses worth their accreditation these days feature an endless succession of gaping holes , rising steel frameworks , and ruddy new brickwork .","Section/section/NN :/:/: the/the/DT greening/greening/NN of/of/IN independent/independent/JJ schools/school/NNS LESSONS/lesson/NNS FROM/from/IN COLLEGES/college/NNS AND/and/CC UNIVERSITIES/university/NNS Most/most/JJS American/american/JJ college/college/NN and/and/CC university/university/NN campuses/campus/NNS worth/worth/IN their/they/PRP$ accreditation/accreditation/NN these/these/DT days/day/NNS feature/feature/VBP an/a/DT endless/endless/JJ succession/succession/NN of/of/IN gaping/gaping/JJ holes/hole/NNS ,/,/, rising/rise/VBG steel/steel/NN frameworks/framework/NNS ,/,/, and/and/CC ruddy/ruddy/JJ new/new/JJ brickwork/brickwork/NN ././. ","ROOT (ROOT-0, Section-1) punct (Section-1, :-2) det (greening-4, the-3) dep (Section-1, greening-4) case (LESSONS-8, of-5) amod (LESSONS-8, independent-6) compound (LESSONS-8, schools-7) nmod:of (greening-4, LESSONS-8) case (COLLEGES-10, FROM-9) nmod:from (LESSONS-8, COLLEGES-10) cc (COLLEGES-10, AND-11) nmod:from (LESSONS-8, UNIVERSITIES-12) conj:and (COLLEGES-10, UNIVERSITIES-12) dobj (feature-24, Most-13) amod (college-15, American-14) nmod (Most-13, college-15) cc (college-15, and-16) compound (campuses-18, university-17) nmod (Most-13, campuses-18) conj:and (college-15, campuses-18) case (accreditation-21, worth-19) nmod:poss (accreditation-21, their-20) nmod:worth (college-15, accreditation-21) det (days-23, these-22) nsubj (feature-24, days-23) acl:relcl (greening-4, feature-24) det (succession-27, an-25) amod (succession-27, endless-26) dobj (feature-24, succession-27) case (holes-30, of-28) amod (holes-30, gaping-29) nmod:of (succession-27, holes-30) punct (succession-27, ,-31) amod (frameworks-34, rising-32) compound (frameworks-34, steel-33) appos (succession-27, frameworks-34) punct (succession-27, ,-35) cc (succession-27, and-36) amod (brickwork-39, ruddy-37) amod (brickwork-39, new-38) dobj (feature-24, brickwork-39) conj:and (succession-27, brickwork-39) punct (Section-1, .-40) ",brickwork,39,"amod (brickwork-39, ruddy-37) amod (brickwork-39, new-38) dobj (feature-24, brickwork-39) conj:and (succession-27, brickwork-39) ","frameworks , and ruddy new brickwork .",NN,[],feature-24,feature,VBP,object,[],[],[],,[],[],[],[],[],[],"[('and', 'succession', 27)]",['and'],[succession-27],[],[],"['ruddy', 'new']","[0.13583333333333333, 0.01]","[0.095, 0.009250000000000001]","[0.14666666666666667, 0.005]","[0.04, 0.009666666666666667]","[0.0225, 0.03726190476190476]","[0.03, 0.01]","[0.0475, 0.016833333333333332]","[0.055, 0.10875]","[0.1175, 0.0625]","[0.0525, 0.03908333333333333]","[0.12916666666666665, 0.03273809523809524]","[0.115, 0.6589166666666667]","[0.013333333333333334, 0.0]",[],[],[],[],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2005.txt_3.csv,0,0,0,0,unknown,,,,
"33 In addition , a group of late-tenth- to thirteenth-century churches located in Greece and decorated with pseudo-Arabic motifs in mosaic , wall painting , and brickwork demonstrates the broader phenomenon of pseudo-Arabic embellishment during this period.","33/33/CD In/in/IN addition/addition/NN ,/,/, a/a/DT group/group/NN of/of/IN late-tenth/late-tenth/JJ -/-/: to/to/TO thirteenth-century/thirteenth-century/JJ churches/church/NNS located/locate/VBN in/in/IN Greece/Greece/NNP and/and/CC decorated/decorate/VBN with/with/IN pseudo-Arabic/pseudo-arabic/JJ motifs/motif/NNS in/in/IN mosaic/mosaic/NN ,/,/, wall/wall/NN painting/painting/NN ,/,/, and/and/CC brickwork/brickwork/NN demonstrates/demonstrate/VBZ the/the/DT broader/broader/JJR phenomenon/phenomenon/NN of/of/IN pseudo-Arabic/pseudo-arabic/JJ embellishment/embellishment/NN during/during/IN this/this/DT period/period/NN ././. ","ROOT (ROOT-0, demonstrates-29) nmod:in (demonstrates-29, 33-1) case (33-1, In-2) dep (33-1, addition-3) punct (demonstrates-29, ,-4) det (group-6, a-5) nsubj (demonstrates-29, group-6) case (late-tenth-8, of-7) nmod:of (group-6, late-tenth-8) punct (late-tenth-8, --9) case (churches-12, to-10) amod (churches-12, thirteenth-century-11) nmod:to (late-tenth-8, churches-12) dep (churches-12, located-13) case (Greece-15, in-14) nmod:in (located-13, Greece-15) cc (located-13, and-16) dep (churches-12, decorated-17) conj:and (located-13, decorated-17) case (motifs-20, with-18) amod (motifs-20, pseudo-Arabic-19) nmod:with (decorated-17, motifs-20) case (mosaic-22, in-21) nmod:in (motifs-20, mosaic-22) punct (mosaic-22, ,-23) compound (painting-25, wall-24) nmod:in (motifs-20, painting-25) conj:and (mosaic-22, painting-25) punct (mosaic-22, ,-26) cc (mosaic-22, and-27) nmod:in (motifs-20, brickwork-28) conj:and (mosaic-22, brickwork-28) det (phenomenon-32, the-30) amod (phenomenon-32, broader-31) dobj (demonstrates-29, phenomenon-32) case (embellishment-35, of-33) amod (embellishment-35, pseudo-Arabic-34) nmod:of (phenomenon-32, embellishment-35) case (period-38, during-36) det (period-38, this-37) nmod:during (demonstrates-29, period-38) punct (demonstrates-29, .-39) ",brickwork,28,"nmod:in (motifs-20, brickwork-28) conj:and (mosaic-22, brickwork-28) ","wall painting , and brickwork demonstrates the broader phenomenon of pseudo-Arabic",NN,[],,,,,[],[],[],,"[('in', 'motifs', 20)]",['in'],[],['motifs'],[],[],"[('and', 'mosaic', 22)]",['and'],[mosaic-22],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2008.txt_1.csv,0,0,0,0,unknown,,,,
</p> The brickwork of the ziggurat attests to the kings ' desire to create a lasting monument to their empire .,</p>/</p>/NN The/the/DT brickwork/brickwork/NN of/of/IN the/the/DT ziggurat/ziggurat/NN attests/attest/VBZ to/to/TO the/the/DT kings/king/NNS '/'/POS desire/desire/NN to/to/TO create/create/VB a/a/DT lasting/lasting/JJ monument/monument/NN to/to/TO their/they/PRP$ empire/empire/NN ././. ,"ROOT (ROOT-0, attests-7) compound (brickwork-3, </p>-1) det (brickwork-3, The-2) nsubj (attests-7, brickwork-3) case (ziggurat-6, of-4) det (ziggurat-6, the-5) nmod:of (brickwork-3, ziggurat-6) case (desire-12, to-8) det (kings-10, the-9) nmod:poss (desire-12, kings-10) case (kings-10, '-11) nmod:to (attests-7, desire-12) mark (create-14, to-13) acl:to (desire-12, create-14) det (monument-17, a-15) amod (monument-17, lasting-16) dobj (create-14, monument-17) case (empire-20, to-18) nmod:poss (empire-20, their-19) nmod:to (create-14, empire-20) punct (attests-7, .-21) ",brickwork,3,"compound (brickwork-3, </p>-1) det (brickwork-3, The-2) nsubj (attests-7, brickwork-3) nmod:of (brickwork-3, ziggurat-6) ",</p> The brickwork of the ziggurat attests to,NN,[],attests-7,attest,VBZ,subject,[],[],[],,"[('of', 'ziggurat', 6)]",['of'],['ziggurat'],[],['The'],['definite article'],[],[],[],[],['</p>'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Nestled among its '' hills and rocky bluffs '' was '' a floating population of foreigners and some natives , '' most of whom were employed in the nearby sand and gravel pits , brickworks , quarries , or lime kilns .","Nestled/nestle/VBN among/among/IN its/its/PRP$ ''/''/'' hills/hill/NNS and/and/CC rocky/rocky/JJ bluffs/bluff/NNS ''/''/'' was/be/VBD ''/''/'' a/a/DT floating/float/VBG population/population/NN of/of/IN foreigners/foreigner/NNS and/and/CC some/some/DT natives/native/NNS ,/,/, ''/''/'' most/most/JJS of/of/IN whom/whom/WP were/be/VBD employed/employ/VBN in/in/IN the/the/DT nearby/nearby/JJ sand/sand/NN and/and/CC gravel/gravel/NN pits/pit/NNS ,/,/, brickworks/brickwork/NNS ,/,/, quarries/quarry/NNS ,/,/, or/or/CC lime/lime/NN kilns/kiln/NNS ././. ","ROOT (ROOT-0, Nestled-1) case (its-3, among-2) nmod:among (Nestled-1, its-3) nmod:of (most-22, its-3) punct (its-3, ''-4) nsubj (foreigners-16, hills-5) cc (hills-5, and-6) amod (bluffs-8, rocky-7) conj:and (hills-5, bluffs-8) nsubj (foreigners-16, bluffs-8) punct (hills-5, ''-9) cop (foreigners-16, was-10) punct (foreigners-16, ''-11) det (population-14, a-12) amod (population-14, floating-13) xcomp (foreigners-16, population-14) case (foreigners-16, of-15) acl:relcl (its-3, foreigners-16) cc (foreigners-16, and-17) det (natives-19, some-18) acl:relcl (its-3, natives-19) conj:and (foreigners-16, natives-19) punct (its-3, ,-20) punct (its-3, ''-21) nsubjpass (employed-26, most-22) case (whom-24, of-23) ref (its-3, whom-24) auxpass (employed-26, were-25) acl:relcl (its-3, employed-26) case (sand-30, in-27) det (sand-30, the-28) amod (sand-30, nearby-29) nmod:in (employed-26, sand-30) cc (sand-30, and-31) compound (quarries-37, gravel-32) compound (quarries-37, pits-33) punct (quarries-37, ,-34) dep (quarries-37, brickworks-35) punct (quarries-37, ,-36) nmod:in (employed-26, quarries-37) conj:and (sand-30, quarries-37) punct (sand-30, ,-38) cc (sand-30, or-39) compound (kilns-41, lime-40) nmod:in (employed-26, kilns-41) conj:and (sand-30, kilns-41) punct (Nestled-1, .-42) ",brickwork,35,"dep (quarries-37, brickworks-35) ","sand and gravel pits , brickworks , quarries , or lime",NNS,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],plural,bare plural,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2012.txt_2.csv,0,0,0,0,unknown,,,,
"Through a splendidly colored glass laylight etched with animal and plant motifs , sunlight flooded the space , reflecting off multicolored brickwork arches and painted cast iron ornamental niches and columns that rose five stories .","Through/through/IN a/a/DT splendidly/splendidly/RB colored/color/VBN glass/glass/NN laylight/laylight/NN etched/etch/VBN with/with/IN animal/animal/NN and/and/CC plant/plant/NN motifs/motif/NNS ,/,/, sunlight/sunlight/NN flooded/flood/VBD the/the/DT space/space/NN ,/,/, reflecting/reflect/VBG off/off/RP multicolored/multicolored/JJ brickwork/brickwork/NN arches/arch/NNS and/and/CC painted/paint/VBN cast/cast/NN iron/iron/NN ornamental/ornamental/JJ niches/niche/NNS and/and/CC columns/column/NNS that/that/WDT rose/rise/VBD five/five/CD stories/story/NNS ././. ","ROOT (ROOT-0, flooded-15) case (laylight-6, Through-1) det (laylight-6, a-2) advmod (laylight-6, splendidly-3) amod (laylight-6, colored-4) compound (laylight-6, glass-5) nmod:through (flooded-15, laylight-6) acl (laylight-6, etched-7) case (motifs-12, with-8) compound (motifs-12, animal-9) cc (animal-9, and-10) conj:and (animal-9, plant-11) compound (motifs-12, plant-11) nmod:with (etched-7, motifs-12) punct (flooded-15, ,-13) nsubj (flooded-15, sunlight-14) det (space-17, the-16) dobj (flooded-15, space-17) punct (flooded-15, ,-18) dep (flooded-15, reflecting-19) compound:prt (reflecting-19, off-20) amod (arches-23, multicolored-21) compound (arches-23, brickwork-22) dobj (reflecting-19, arches-23) cc (reflecting-19, and-24) dep (flooded-15, painted-25) conj:and (reflecting-19, painted-25) compound (niches-29, cast-26) compound (niches-29, iron-27) amod (niches-29, ornamental-28) dobj (painted-25, niches-29) nsubj (rose-33, niches-29) cc (niches-29, and-30) dobj (painted-25, columns-31) conj:and (niches-29, columns-31) nsubj (rose-33, columns-31) ref (niches-29, that-32) acl:relcl (niches-29, rose-33) nummod (stories-35, five-34) dobj (rose-33, stories-35) punct (flooded-15, .-36) ",brickwork,22,"compound (arches-23, brickwork-22) ","space , reflecting off multicolored brickwork arches and painted cast iron",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['arches'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2002.txt_3.csv,0,0,0,0,unknown,,,,
"With the brilliant laylight replaced and up to 18 layers of paint removed from intricate brickwork and cast-iron ornamental niches and columns , the space draws the visitor 's eye upward .","With/with/IN the/the/DT brilliant/brilliant/JJ laylight/laylight/NN replaced/replace/VBN and/and/CC up/up/RB to/to/TO 18/18/CD layers/layer/NNS of/of/IN paint/paint/NN removed/remove/VBN from/from/IN intricate/intricate/JJ brickwork/brickwork/NN and/and/CC cast-iron/cast-iron/NN ornamental/ornamental/JJ niches/niche/NNS and/and/CC columns/column/NNS ,/,/, the/the/DT space/space/NN draws/draw/VBZ the/the/DT visitor/visitor/NN 's/'s/POS eye/eye/NN upward/upward/RB ././. ","ROOT (ROOT-0, draws-26) case (laylight-4, With-1) det (laylight-4, the-2) amod (laylight-4, brilliant-3) nmod:with (draws-26, laylight-4) dep (laylight-4, replaced-5) cc (replaced-5, and-6) advmod (removed-13, up-7) case (layers-10, to-8) nummod (layers-10, 18-9) nmod:to (up-7, layers-10) case (paint-12, of-11) nmod:of (layers-10, paint-12) dep (laylight-4, removed-13) conj:and (replaced-5, removed-13) case (brickwork-16, from-14) amod (brickwork-16, intricate-15) nmod:from (removed-13, brickwork-16) cc (brickwork-16, and-17) compound (niches-20, cast-iron-18) amod (niches-20, ornamental-19) nmod:from (removed-13, niches-20) conj:and (brickwork-16, niches-20) cc (niches-20, and-21) conj:and (brickwork-16, columns-22) conj:and (niches-20, columns-22) punct (draws-26, ,-23) det (space-25, the-24) nsubj (draws-26, space-25) det (visitor-28, the-27) nmod:poss (eye-30, visitor-28) case (visitor-28, 's-29) dobj (draws-26, eye-30) advmod (draws-26, upward-31) punct (draws-26, .-32) ",brickwork,16,"case (brickwork-16, from-14) amod (brickwork-16, intricate-15) nmod:from (removed-13, brickwork-16) cc (brickwork-16, and-17) conj:and (brickwork-16, niches-20) conj:and (brickwork-16, columns-22) ",of paint removed from intricate brickwork and cast-iron ornamental niches and,NN,[],,,,,[],[],[],,"[('from', 'removed', 13)]",['from'],[],['removed'],[],[],"[('and', 'niches', 20), ('and', 'columns', 22)]","['and', 'and']","[niches-20, columns-22]",[],[],['intricate'],[0.12875],[0.03],[0.091875],[0.06958333333333333],[0.08291666666666667],[0.0125],[0.093125],[0.0525],[0.06],[0.08375],[0.13875],[0.145],[0.01125],[],[],[],['from'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2002.txt_3.csv,0,0,0,0,unknown,,,,
Visitors are fascinated by the richness of details in the exterior carvings and rusticated brickwork and the stenciled interior walls and carved mahogany woodwork .,Visitors/visitor/NNS are/be/VBP fascinated/fascinate/VBN by/by/IN the/the/DT richness/richness/NN of/of/IN details/detail/NNS in/in/IN the/the/DT exterior/exterior/NN carvings/carving/NNS and/and/CC rusticated/rusticate/VBN brickwork/brickwork/NN and/and/CC the/the/DT stenciled/stencil/VBN interior/interior/NN walls/wall/NNS and/and/CC carved/carve/VBN mahogany/mahogany/NN woodwork/woodwork/NN ././. ,"ROOT (ROOT-0, fascinated-3) nsubjpass (fascinated-3, Visitors-1) nsubjpass (rusticated-14, Visitors-1) auxpass (fascinated-3, are-2) case (richness-6, by-4) det (richness-6, the-5) nmod:agent (fascinated-3, richness-6) case (details-8, of-7) nmod:of (richness-6, details-8) case (carvings-12, in-9) det (carvings-12, the-10) compound (carvings-12, exterior-11) nmod:in (details-8, carvings-12) cc (fascinated-3, and-13) conj:and (fascinated-3, rusticated-14) dobj (rusticated-14, brickwork-15) cc (brickwork-15, and-16) dobj (rusticated-14, the-17) conj:and (brickwork-15, the-17) dep (brickwork-15, stenciled-18) compound (walls-20, interior-19) dobj (stenciled-18, walls-20) cc (stenciled-18, and-21) dep (brickwork-15, carved-22) conj:and (stenciled-18, carved-22) compound (woodwork-24, mahogany-23) dobj (carved-22, woodwork-24) punct (fascinated-3, .-25) ",brickwork,15,"dobj (rusticated-14, brickwork-15) cc (brickwork-15, and-16) conj:and (brickwork-15, the-17) dep (brickwork-15, stenciled-18) dep (brickwork-15, carved-22) ",the exterior carvings and rusticated brickwork and the stenciled interior walls,NN,[],rusticated-14,rusticate,VBN,object,[],[],[],,[],[],[],[],[],[],"[('and', 'the', 17)]",['and'],[the-17],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2004.txt_1.csv,0,0,0,0,unknown,,,,
