Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"( As it were all the buildings , leaving behind only bits of stone and rubble . )","-LRB-/-lrb-/-LRB- As/as/IN it/it/PRP were/be/VBD all/all/PDT the/the/DT buildings/building/NNS ,/,/, leaving/leave/VBG behind/behind/IN only/only/RB bits/bit/NNS of/of/IN stone/stone/NN and/and/CC rubble/rubble/NN ././. -RRB-/-rrb-/-RRB- ","ROOT (ROOT-0, buildings-7) punct (buildings-7, (-1) mark (buildings-7, As-2) nsubj (buildings-7, it-3) cop (buildings-7, were-4) det:predet (buildings-7, all-5) det (buildings-7, the-6) punct (buildings-7, ,-8) advcl (buildings-7, leaving-9) case (bits-12, behind-10) advmod (bits-12, only-11) nmod:behind (leaving-9, bits-12) case (stone-14, of-13) nmod:of (bits-12, stone-14) cc (stone-14, and-15) nmod:of (bits-12, rubble-16) conj:and (stone-14, rubble-16) punct (buildings-7, .-17) punct (buildings-7, )-18) ",rubble,16,"nmod:of (bits-12, rubble-16) conj:and (stone-14, rubble-16) ",only bits of stone and rubble . ),NN,[],,,,,[],[],[],,"[('of', 'bits', 12)]",['of'],[],['bits'],[],[],"[('and', 'stone', 14)]",['and'],[stone-14],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
Indeed the brick buildings which formerly dotted the western side of the road have all been reduced to rubble .,Indeed/indeed/RB the/the/DT brick/brick/NN buildings/building/NNS which/which/WDT formerly/formerly/RB dotted/dot/VBD the/the/DT western/western/JJ side/side/NN of/of/IN the/the/DT road/road/NN have/have/VBP all/all/DT been/be/VBN reduced/reduce/VBN to/to/TO rubble/rubble/NN ././. ,"ROOT (ROOT-0, reduced-17) advmod (reduced-17, Indeed-1) det (buildings-4, the-2) compound (buildings-4, brick-3) nsubj (dotted-7, buildings-4) nsubjpass (reduced-17, buildings-4) ref (buildings-4, which-5) advmod (dotted-7, formerly-6) acl:relcl (buildings-4, dotted-7) det (side-10, the-8) amod (side-10, western-9) dobj (dotted-7, side-10) case (road-13, of-11) det (road-13, the-12) nmod:of (side-10, road-13) aux (reduced-17, have-14) advmod (reduced-17, all-15) auxpass (reduced-17, been-16) case (rubble-19, to-18) nmod:to (reduced-17, rubble-19) punct (reduced-17, .-20) ",rubble,19,"case (rubble-19, to-18) nmod:to (reduced-17, rubble-19) ",have all been reduced to rubble .,NN,[],,,,,[],[],[],,"[('to', 'reduced', 17)]",['to'],[],['reduced'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"There is no doubt that in another year or two , thousands of churches will rise from the rubble .","There/there/EX is/be/VBZ no/no/DT doubt/doubt/NN that/that/IN in/in/IN another/another/DT year/year/NN or/or/CC two/two/CD ,/,/, thousands/thousand/NNS of/of/IN churches/church/NNS will/will/MD rise/rise/VB from/from/IN the/the/DT rubble/rubble/NN ././. ","ROOT (ROOT-0, is-2) expl (is-2, There-1) neg (doubt-4, no-3) advmod (is-2, doubt-4) mark (rise-16, that-5) case (year-8, in-6) det (year-8, another-7) nmod:in (rise-16, year-8) cc (year-8, or-9) conj:or (year-8, two-10) nmod:in (rise-16, two-10) punct (rise-16, ,-11) det:qmod (churches-14, thousands-12) mwe (thousands-12, of-13) nsubj (rise-16, churches-14) aux (rise-16, will-15) ccomp (doubt-4, rise-16) case (rubble-19, from-17) det (rubble-19, the-18) nmod:from (rise-16, rubble-19) punct (is-2, .-20) ",rubble,19,"case (rubble-19, from-17) det (rubble-19, the-18) nmod:from (rise-16, rubble-19) ",churches will rise from the rubble .,NN,[],,,,,[],[],[],,"[('from', 'rise', 16)]",['from'],[],['rise'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['from'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Venus , like all the planets , has been subjected to meteorite bombardment over the eons -- by the rubble of planetary formation , by asteroids jarred loose from the asteroid belt , and by comets .","Venus/Venus/NNP ,/,/, like/like/IN all/all/PDT the/the/DT planets/planet/NNS ,/,/, has/have/VBZ been/be/VBN subjected/subject/VBN to/to/TO meteorite/meteorite/NN bombardment/bombardment/NN over/over/IN the/the/DT eons/eon/NNS --/--/: by/by/IN the/the/DT rubble/rubble/NN of/of/IN planetary/planetary/JJ formation/formation/NN ,/,/, by/by/IN asteroids/asteroid/NNS jarred/jar/VBD loose/loose/RB from/from/IN the/the/DT asteroid/asteroid/NN belt/belt/NN ,/,/, and/and/CC by/by/IN comets/comet/NNS ././. ","ROOT (ROOT-0, subjected-10) nsubjpass (subjected-10, Venus-1) nsubjpass (subjected-10, Venus-1) punct (subjected-10, ,-2) case (planets-6, like-3) det:predet (planets-6, all-4) det (planets-6, the-5) nmod:like (subjected-10, planets-6) punct (subjected-10, ,-7) aux (subjected-10, has-8) auxpass (subjected-10, been-9) conj:and (subjected-10, subjected-10) case (bombardment-13, to-11) compound (bombardment-13, meteorite-12) nmod:to (subjected-10, bombardment-13) case (eons-16, over-14) det (eons-16, the-15) nmod:over (bombardment-13, eons-16) punct (eons-16, ---17) case (rubble-20, by-18) det (rubble-20, the-19) nmod:by (eons-16, rubble-20) case (formation-23, of-21) amod (formation-23, planetary-22) nmod:of (rubble-20, formation-23) punct (eons-16, ,-24) case (asteroids-26, by-25) nmod:by (eons-16, asteroids-26) acl (asteroids-26, jarred-27) advmod (jarred-27, loose-28) case (belt-32, from-29) det (belt-32, the-30) compound (belt-32, asteroid-31) nmod:from (jarred-27, belt-32) punct (bombardment-13, ,-33) cc (subjected-10, and-34) case (comets-36, by-35) nmod:by (subjected-10, comets-36) punct (subjected-10, .-37) ",rubble,20,"case (rubble-20, by-18) det (rubble-20, the-19) nmod:by (eons-16, rubble-20) nmod:of (rubble-20, formation-23) ","the eons -- by the rubble of planetary formation , by",NN,[],,,,,[],[],[],,"[('by', 'eons', 16), ('of', 'formation', 23)]","['by', 'of']",['formation'],['eons'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"In the first years after the war , the rubble of Berlin was removed by the heroic labor of the Trummerfrauen , women who with their bare hands moved tons of rocks and bricks to newly created hills and made possible the reconstruction of the city .","In/in/IN the/the/DT first/first/JJ years/year/NNS after/after/IN the/the/DT war/war/NN ,/,/, the/the/DT rubble/rubble/NN of/of/IN Berlin/Berlin/NNP was/be/VBD removed/remove/VBN by/by/IN the/the/DT heroic/heroic/JJ labor/labor/NN of/of/IN the/the/DT Trummerfrauen/Trummerfrauen/NNP ,/,/, women/woman/NNS who/who/WP with/with/IN their/they/PRP$ bare/bare/JJ hands/hand/NNS moved/move/VBD tons/ton/NNS of/of/IN rocks/rock/NNS and/and/CC bricks/brick/NNS to/to/TO newly/newly/RB created/create/VBN hills/hill/NNS and/and/CC made/make/VBN possible/possible/JJ the/the/DT reconstruction/reconstruction/NN of/of/IN the/the/DT city/city/NN ././. ","ROOT (ROOT-0, removed-14) case (years-4, In-1) det (years-4, the-2) amod (years-4, first-3) nmod:in (removed-14, years-4) case (war-7, after-5) det (war-7, the-6) nmod:after (years-4, war-7) punct (removed-14, ,-8) det (rubble-10, the-9) nsubjpass (removed-14, rubble-10) nsubjpass (made-40, rubble-10) case (Berlin-12, of-11) nmod:of (rubble-10, Berlin-12) auxpass (removed-14, was-13) case (labor-18, by-15) det (labor-18, the-16) amod (labor-18, heroic-17) nmod:agent (removed-14, labor-18) case (Trummerfrauen-21, of-19) det (Trummerfrauen-21, the-20) nmod:of (labor-18, Trummerfrauen-21) punct (Trummerfrauen-21, ,-22) appos (Trummerfrauen-21, women-23) nsubj (moved-29, women-23) ref (women-23, who-24) case (hands-28, with-25) nmod:poss (hands-28, their-26) amod (hands-28, bare-27) nmod:with (moved-29, hands-28) acl:relcl (women-23, moved-29) det:qmod (rocks-32, tons-30) mwe (tons-30, of-31) dobj (moved-29, rocks-32) cc (rocks-32, and-33) dobj (moved-29, bricks-34) conj:and (rocks-32, bricks-34) case (hills-38, to-35) advmod (created-37, newly-36) amod (hills-38, created-37) nmod:to (moved-29, hills-38) cc (removed-14, and-39) conj:and (removed-14, made-40) xcomp (made-40, possible-41) det (reconstruction-43, the-42) dobj (removed-14, reconstruction-43) case (city-46, of-44) det (city-46, the-45) nmod:of (reconstruction-43, city-46) punct (removed-14, .-47) ",rubble,10,"det (rubble-10, the-9) nsubjpass (removed-14, rubble-10) nsubjpass (made-40, rubble-10) nmod:of (rubble-10, Berlin-12) ","after the war , the rubble of Berlin was removed by",NN,[],removed-14,remove,VBN,passive,[],[],[],,"[('of', 'Berlin', 12)]",['of'],['Berlin'],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"As archeologists are well aware , past civilizations have built and lived upon their rubble and rubbish -- sometimes layer upon layer of it -- for thousands of years ( Rathje 1989 , p. 65 ) .","As/as/IN archeologists/archeologist/NNS are/be/VBP well/well/RB aware/aware/JJ ,/,/, past/past/JJ civilizations/civilization/NNS have/have/VBP built/build/VBN and/and/CC lived/live/VBN upon/upon/IN their/they/PRP$ rubble/rubble/NN and/and/CC rubbish/rubbish/JJ --/--/: sometimes/sometimes/RB layer/layer/NN upon/upon/IN layer/layer/NN of/of/IN it/it/PRP --/--/: for/for/IN thousands/thousand/NNS of/of/IN years/year/NNS -LRB-/-lrb-/-LRB- Rathje/rathje/NN 1989/1989/CD ,/,/, p./p./NN 65/65/CD -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, built-10) mark (aware-5, As-1) nsubj (aware-5, archeologists-2) cop (aware-5, are-3) advmod (aware-5, well-4) advcl:as (built-10, aware-5) punct (built-10, ,-6) amod (civilizations-8, past-7) nsubj (built-10, civilizations-8) nsubj (lived-12, civilizations-8) aux (built-10, have-9) cc (built-10, and-11) conj:and (built-10, lived-12) case (rubble-15, upon-13) nmod:poss (rubble-15, their-14) nmod:upon (built-10, rubble-15) cc (rubble-15, and-16) nmod:upon (built-10, rubbish-17) conj:and (rubble-15, rubbish-17) punct (layer-20, ---18) dep (layer-20, sometimes-19) dep (rubbish-17, layer-20) case (layer-22, upon-21) nmod:upon (layer-20, layer-22) case (it-24, of-23) nmod:of (layer-20, it-24) punct (layer-20, ---25) case (thousands-27, for-26) det:qmod (years-29, thousands-27) mwe (thousands-27, of-28) nmod (rubbish-17, years-29) punct (Rathje-31, (-30) appos (years-29, Rathje-31) nummod (Rathje-31, 1989-32) punct (Rathje-31, ,-33) dep (Rathje-31, p.-34) nummod (p.-34, 65-35) punct (Rathje-31, )-36) punct (built-10, .-37) ",rubble,15,"case (rubble-15, upon-13) nmod:poss (rubble-15, their-14) nmod:upon (built-10, rubble-15) cc (rubble-15, and-16) conj:and (rubble-15, rubbish-17) ",built and lived upon their rubble and rubbish -- sometimes layer,NN,[],,,,,[],[],[],,"[('upon', 'built', 10)]",['upon'],[],['built'],[],[],"[('and', 'rubbish', 17)]",['and'],[rubbish-17],[],[],[],,,,,,,,,,,,,,['their'],[],[],['upon'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_2.csv,0,0,0,0,unknown,,,,
"At every jade prospect , flaked obsidian from imported stone tools is found in the mounds of jade rubble .","At/at/IN every/every/DT jade/jade/NN prospect/prospect/NN ,/,/, flaked/flake/VBN obsidian/obsidian/NN from/from/IN imported/import/VBN stone/stone/NN tools/tool/NNS is/be/VBZ found/find/VBN in/in/IN the/the/DT mounds/mound/NNS of/of/IN jade/jade/NN rubble/rubble/NN ././. ","ROOT (ROOT-0, found-13) case (prospect-4, At-1) det (prospect-4, every-2) compound (prospect-4, jade-3) nmod:at (found-13, prospect-4) punct (found-13, ,-5) csubjpass (found-13, flaked-6) dobj (flaked-6, obsidian-7) case (tools-11, from-8) amod (tools-11, imported-9) compound (tools-11, stone-10) nmod:from (flaked-6, tools-11) auxpass (found-13, is-12) case (mounds-16, in-14) det (mounds-16, the-15) nmod:in (found-13, mounds-16) case (rubble-19, of-17) compound (rubble-19, jade-18) nmod:of (mounds-16, rubble-19) punct (found-13, .-20) ",rubble,19,"case (rubble-19, of-17) compound (rubble-19, jade-18) nmod:of (mounds-16, rubble-19) ",in the mounds of jade rubble .,NN,[],,,,,[],[],[],,"[('of', 'mounds', 16)]",['of'],[],['mounds'],[],[],[],[],[],[],['jade'],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,,,,
The practical problem is that the weak sprouts of a new production system are suppressed by the wild weeds of the black market breaking fast through the rubble .,The/the/DT practical/practical/JJ problem/problem/NN is/be/VBZ that/that/IN the/the/DT weak/weak/JJ sprouts/sprout/NNS of/of/IN a/a/DT new/new/JJ production/production/NN system/system/NN are/be/VBP suppressed/suppress/VBN by/by/IN the/the/DT wild/wild/JJ weeds/weed/NNS of/of/IN the/the/DT black/black/JJ market/market/NN breaking/break/VBG fast/fast/RB through/through/IN the/the/DT rubble/rubble/NN ././. ,"ROOT (ROOT-0, is-4) det (problem-3, The-1) amod (problem-3, practical-2) nsubj (is-4, problem-3) mark (suppressed-15, that-5) det (sprouts-8, the-6) amod (sprouts-8, weak-7) nsubjpass (suppressed-15, sprouts-8) case (system-13, of-9) det (system-13, a-10) amod (system-13, new-11) compound (system-13, production-12) nmod:of (sprouts-8, system-13) auxpass (suppressed-15, are-14) ccomp (is-4, suppressed-15) case (weeds-19, by-16) det (weeds-19, the-17) amod (weeds-19, wild-18) nmod:agent (suppressed-15, weeds-19) case (market-23, of-20) det (market-23, the-21) amod (market-23, black-22) nmod:of (weeds-19, market-23) acl (market-23, breaking-24) advmod (breaking-24, fast-25) case (rubble-28, through-26) det (rubble-28, the-27) nmod:through (breaking-24, rubble-28) punct (is-4, .-29) ",rubble,28,"case (rubble-28, through-26) det (rubble-28, the-27) nmod:through (breaking-24, rubble-28) ",market breaking fast through the rubble .,NN,[],,,,,[],[],[],,"[('through', 'breaking', 24)]",['through'],[],['breaking'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['through'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Firepower would make the rubble bounce but not rearrange the ethnic pieces in the nation 's multiethnic puzzle , which is why both the Americans and the Israelis withdrew from Lebanon .","Firepower/firepower/NN would/would/MD make/make/VB the/the/DT rubble/rubble/NN bounce/bounce/NN but/but/CC not/not/RB rearrange/rearrange/VB the/the/DT ethnic/ethnic/JJ pieces/piece/NNS in/in/IN the/the/DT nation/nation/NN 's/'s/POS multiethnic/multiethnic/JJ puzzle/puzzle/NN ,/,/, which/which/WDT is/be/VBZ why/why/WRB both/both/CC the/the/DT Americans/Americans/NNPS and/and/CC the/the/DT Israelis/Israelis/NNPS withdrew/withdraw/VBD from/from/IN Lebanon/Lebanon/NNP ././. ","ROOT (ROOT-0, make-3) nsubj (make-3, Firepower-1) nsubj (rearrange-9, Firepower-1) aux (make-3, would-2) det (bounce-6, the-4) compound (bounce-6, rubble-5) dobj (make-3, bounce-6) cc (make-3, but-7) neg (rearrange-9, not-8) conj:but (make-3, rearrange-9) det (pieces-12, the-10) amod (pieces-12, ethnic-11) dobj (rearrange-9, pieces-12) case (puzzle-18, in-13) det (nation-15, the-14) nmod:poss (puzzle-18, nation-15) case (nation-15, 's-16) amod (puzzle-18, multiethnic-17) nmod:in (rearrange-9, puzzle-18) nsubj (is-21, puzzle-18) punct (puzzle-18, ,-19) ref (puzzle-18, which-20) acl:relcl (puzzle-18, is-21) advmod (withdrew-29, why-22) cc:preconj (Americans-25, both-23) det (Americans-25, the-24) nsubj (withdrew-29, Americans-25) cc (Americans-25, and-26) det (Israelis-28, the-27) conj:and (Americans-25, Israelis-28) nsubj (withdrew-29, Israelis-28) advcl (is-21, withdrew-29) case (Lebanon-31, from-30) nmod:from (withdrew-29, Lebanon-31) punct (make-3, .-32) ",rubble,5,"compound (bounce-6, rubble-5) ",Firepower would make the rubble bounce but not rearrange the,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['bounce'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
"During a real earthquake , houses fall down , we remove the rubble and carry on working .","During/during/IN a/a/DT real/real/JJ earthquake/earthquake/NN ,/,/, houses/house/NNS fall/fall/VBP down/down/RB ,/,/, we/we/PRP remove/remove/VBP the/the/DT rubble/rubble/NN and/and/CC carry/carry/VB on/on/IN working/work/VBG ././. ","ROOT (ROOT-0, remove-11) case (earthquake-4, During-1) det (earthquake-4, a-2) amod (earthquake-4, real-3) nmod:during (remove-11, earthquake-4) punct (fall-7, ,-5) nsubj (fall-7, houses-6) parataxis (remove-11, fall-7) advmod (fall-7, down-8) punct (fall-7, ,-9) nsubj (remove-11, we-10) nsubj (carry-15, we-10) det (rubble-13, the-12) dobj (remove-11, rubble-13) cc (remove-11, and-14) conj:and (remove-11, carry-15) mark (working-17, on-16) advcl:on (carry-15, working-17) punct (remove-11, .-18) ",rubble,13,"det (rubble-13, the-12) dobj (remove-11, rubble-13) ","down , we remove the rubble and carry on working .",NN,[],remove-11,remove,VBP,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
