Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"When a female rat was discovered delivering pups or with a litter , the date of discovery was counted as Day 1 .","When/when/WRB a/a/DT female/female/JJ rat/rat/NN was/be/VBD discovered/discover/VBN delivering/deliver/VBG pups/pup/NNS or/or/CC with/with/IN a/a/DT litter/litter/NN ,/,/, the/the/DT date/date/NN of/of/IN discovery/discovery/NN was/be/VBD counted/count/VBN as/as/IN Day/day/NN 1/1/CD ././. ","ROOT (ROOT-0, counted-19) advmod (discovered-6, When-1) det (rat-4, a-2) amod (rat-4, female-3) nsubjpass (discovered-6, rat-4) auxpass (discovered-6, was-5) advcl (counted-19, discovered-6) dep (discovered-6, delivering-7) dobj (delivering-7, pups-8) cc (delivering-7, or-9) case (litter-12, with-10) det (litter-12, a-11) dep (discovered-6, litter-12) conj:or (delivering-7, litter-12) punct (counted-19, ,-13) det (date-15, the-14) nsubjpass (counted-19, date-15) case (discovery-17, of-16) nmod:of (date-15, discovery-17) auxpass (counted-19, was-18) case (Day-21, as-20) nmod:as (counted-19, Day-21) nummod (Day-21, 1-22) punct (counted-19, .-23) ",litter,12,"case (litter-12, with-10) det (litter-12, a-11) dep (discovered-6, litter-12) conj:or (delivering-7, litter-12) ","delivering pups or with a litter , the date of discovery",NN,[],,,,,[],[],[],,[],[],[],[],['a'],['indefinite article'],"[('or', 'delivering', 7)]",['or'],[delivering-7],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,1,0,0,0,countable,a,unit,a/an,small
All litters were discovered within 12 hours of delivery .,All/all/DT litters/litter/NNS were/be/VBD discovered/discover/VBN within/within/IN 12/12/CD hours/hour/NNS of/of/IN delivery/delivery/NN ././. ,"ROOT (ROOT-0, discovered-4) det (litters-2, All-1) nsubjpass (discovered-4, litters-2) auxpass (discovered-4, were-3) case (hours-7, within-5) nummod (hours-7, 12-6) nmod:within (discovered-4, hours-7) case (delivery-9, of-8) nmod:of (hours-7, delivery-9) punct (discovered-4, .-10) ",litter,2,"det (litters-2, All-1) nsubjpass (discovered-4, litters-2) ",All litters were discovered within 12 hours,NNS,[],discovered-4,discover,VBN,passive,[],[],[],,[],[],[],[],['All'],['quantifier'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],plural,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"On the day of discovery of a litter , it was decided whether the pups would be reared by the natural mother or by a foster mother on the basis of whether or not a suitable foster mother was available .","On/on/IN the/the/DT day/day/NN of/of/IN discovery/discovery/NN of/of/IN a/a/DT litter/litter/NN ,/,/, it/it/PRP was/be/VBD decided/decide/VBN whether/whether/IN the/the/DT pups/pup/NNS would/would/MD be/be/VB reared/rear/VBN by/by/IN the/the/DT natural/natural/JJ mother/mother/NN or/or/CC by/by/IN a/a/DT foster/foster/JJ mother/mother/NN on/on/IN the/the/DT basis/basis/NN of/of/IN whether/whether/IN or/or/CC not/not/RB a/a/DT suitable/suitable/JJ foster/foster/JJ mother/mother/NN was/be/VBD available/available/JJ ././. ","ROOT (ROOT-0, decided-12) case (day-3, On-1) det (day-3, the-2) nmod:on (decided-12, day-3) case (discovery-5, of-4) nmod:of (day-3, discovery-5) case (litter-8, of-6) det (litter-8, a-7) nmod:of (discovery-5, litter-8) punct (decided-12, ,-9) nsubjpass (decided-12, it-10) auxpass (decided-12, was-11) mark (reared-18, whether-13) det (pups-15, the-14) nsubjpass (reared-18, pups-15) nsubjpass (reared-18, pups-15) aux (reared-18, would-16) auxpass (reared-18, be-17) ccomp (decided-12, reared-18) ccomp (decided-12, reared-18) conj:or (reared-18, reared-18) case (mother-22, by-19) det (mother-22, the-20) amod (mother-22, natural-21) nmod:agent (reared-18, mother-22) cc (reared-18, or-23) case (mother-27, by-24) det (mother-27, a-25) amod (mother-27, foster-26) nmod:by (reared-18, mother-27) case (basis-30, on-28) det (basis-30, the-29) nmod:on (mother-27, basis-30) acl (basis-30, of-31) mark (available-40, whether-32) cc (whether-32, or-33) mwe (whether-32, not-34) det (mother-38, a-35) amod (mother-38, suitable-36) amod (mother-38, foster-37) nsubj (available-40, mother-38) cop (available-40, was-39) advcl:not (reared-18, available-40) advcl:whether (reared-18, available-40) punct (decided-12, .-41) ",litter,8,"case (litter-8, of-6) det (litter-8, a-7) nmod:of (discovery-5, litter-8) ","day of discovery of a litter , it was decided whether",NN,[],,,,,[],[],[],,"[('of', 'discovery', 5)]",['of'],[],['discovery'],['a'],['indefinite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,1,0,0,0,countable,a,unit,a/an,small
"Six of the LE litters were reared by their natural mothers , while five DI litters were reared by their natural DI mothers .","Six/six/CD of/of/IN the/the/DT LE/LE/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN their/they/PRP$ natural/natural/JJ mothers/mother/NNS ,/,/, while/while/IN five/five/CD DI/DI/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN their/they/PRP$ natural/natural/JJ DI/DI/NNP mothers/mother/NNS ././. ","ROOT (ROOT-0, reared-7) det:qmod (litters-5, Six-1) mwe (Six-1, of-2) det (litters-5, the-3) compound (litters-5, LE-4) nsubjpass (reared-7, litters-5) auxpass (reared-7, were-6) case (mothers-11, by-8) nmod:poss (mothers-11, their-9) amod (mothers-11, natural-10) nmod:agent (reared-7, mothers-11) punct (reared-7, ,-12) mark (reared-18, while-13) nummod (litters-16, five-14) compound (litters-16, DI-15) nsubjpass (reared-18, litters-16) auxpass (reared-18, were-17) advcl:while (reared-7, reared-18) case (mothers-23, by-19) nmod:poss (mothers-23, their-20) amod (mothers-23, natural-21) compound (mothers-23, DI-22) nmod:agent (reared-18, mothers-23) punct (reared-7, .-24) ",litter,5,"det:qmod (litters-5, Six-1) det (litters-5, the-3) compound (litters-5, LE-4) nsubjpass (reared-7, litters-5) ",Six of the LE litters were reared by their natural,NNS,[],reared-7,rear,VBN,passive,[],[],[],,[],[],[],[],"['Six', 'the']","['other', 'definite article']",[],[],[],[],['LE'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],plural,linked,ambiguous,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,1,unknown,six of,other,number,small
"Six of the LE litters were reared by their natural mothers , while five DI litters were reared by their natural DI mothers .","Six/six/CD of/of/IN the/the/DT LE/LE/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN their/they/PRP$ natural/natural/JJ mothers/mother/NNS ,/,/, while/while/IN five/five/CD DI/DI/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN their/they/PRP$ natural/natural/JJ DI/DI/NNP mothers/mother/NNS ././. ","ROOT (ROOT-0, reared-7) det:qmod (litters-5, Six-1) mwe (Six-1, of-2) det (litters-5, the-3) compound (litters-5, LE-4) nsubjpass (reared-7, litters-5) auxpass (reared-7, were-6) case (mothers-11, by-8) nmod:poss (mothers-11, their-9) amod (mothers-11, natural-10) nmod:agent (reared-7, mothers-11) punct (reared-7, ,-12) mark (reared-18, while-13) nummod (litters-16, five-14) compound (litters-16, DI-15) nsubjpass (reared-18, litters-16) auxpass (reared-18, were-17) advcl:while (reared-7, reared-18) case (mothers-23, by-19) nmod:poss (mothers-23, their-20) amod (mothers-23, natural-21) compound (mothers-23, DI-22) nmod:agent (reared-18, mothers-23) punct (reared-7, .-24) ",litter,16,"nummod (litters-16, five-14) compound (litters-16, DI-15) nsubjpass (reared-18, litters-16) ","mothers , while five DI litters were reared by their natural",NNS,[],reared-18,rear,VBN,passive,[],[],[],,[],[],[],[],[],[],[],[],[],[],['DI'],[],,,,,,,,,,,,,,[],[],['five'],[],[],[],[],[],[],while,plural,linked,ambiguous,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,1,unknown,five,other,number,small
Four LE litters were given to foster DI mothers to rear and four DI litters were reared by LE foster mothers .,Four/four/CD LE/LE/NNP litters/litter/NNS were/be/VBD given/give/VBN to/to/TO foster/foster/VB DI/DI/NNP mothers/mother/NNS to/to/TO rear/rear/JJ and/and/CC four/four/CD DI/DI/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN LE/LE/NNP foster/foster/JJ mothers/mother/NNS ././. ,"ROOT (ROOT-0, given-5) nummod (litters-3, Four-1) compound (litters-3, LE-2) nsubjpass (given-5, litters-3) nsubj:xsubj (foster-7, litters-3) auxpass (given-5, were-4) mark (foster-7, to-6) xcomp (given-5, foster-7) compound (mothers-9, DI-8) dobj (foster-7, mothers-9) case (litters-15, to-10) amod (litters-15, rear-11) cc (rear-11, and-12) conj:and (rear-11, four-13) amod (litters-15, four-13) compound (litters-15, DI-14) nmod:to (foster-7, litters-15) auxpass (reared-17, were-16) acl:relcl (litters-15, reared-17) case (mothers-21, by-18) compound (mothers-21, LE-19) amod (mothers-21, foster-20) nmod:agent (reared-17, mothers-21) punct (given-5, .-22) ",litter,3,"nummod (litters-3, Four-1) compound (litters-3, LE-2) nsubjpass (given-5, litters-3) nsubj:xsubj (foster-7, litters-3) ",Four LE litters were given to foster DI,NNS,[],given-5,give,VBN,passive,[],[],[],,[],[],[],[],[],[],[],[],[],[],['LE'],[],,,,,,,,,,,,,,[],[],['four'],[],[],[],[],[],[],[],plural,linked,ambiguous,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,1,unknown,four,other,number,small
Four LE litters were given to foster DI mothers to rear and four DI litters were reared by LE foster mothers .,Four/four/CD LE/LE/NNP litters/litter/NNS were/be/VBD given/give/VBN to/to/TO foster/foster/VB DI/DI/NNP mothers/mother/NNS to/to/TO rear/rear/JJ and/and/CC four/four/CD DI/DI/NNP litters/litter/NNS were/be/VBD reared/rear/VBN by/by/IN LE/LE/NNP foster/foster/JJ mothers/mother/NNS ././. ,"ROOT (ROOT-0, given-5) nummod (litters-3, Four-1) compound (litters-3, LE-2) nsubjpass (given-5, litters-3) nsubj:xsubj (foster-7, litters-3) auxpass (given-5, were-4) mark (foster-7, to-6) xcomp (given-5, foster-7) compound (mothers-9, DI-8) dobj (foster-7, mothers-9) case (litters-15, to-10) amod (litters-15, rear-11) cc (rear-11, and-12) conj:and (rear-11, four-13) amod (litters-15, four-13) compound (litters-15, DI-14) nmod:to (foster-7, litters-15) auxpass (reared-17, were-16) acl:relcl (litters-15, reared-17) case (mothers-21, by-18) compound (mothers-21, LE-19) amod (mothers-21, foster-20) nmod:agent (reared-17, mothers-21) punct (given-5, .-22) ",litter,15,"case (litters-15, to-10) amod (litters-15, rear-11) amod (litters-15, four-13) compound (litters-15, DI-14) nmod:to (foster-7, litters-15) acl:relcl (litters-15, reared-17) ",to rear and four DI litters were reared by LE foster,NNS,[],,,,,[],[],[],,"[('to', 'foster', 7)]",['to'],[],['foster'],[],[],[],[],[],[],['DI'],"['rear', 'four']","[0.0025, 0.005]","[0.03496428571428571, 0.005708333333333333]","[0.01, 0.005]","[0.005, 0.0]","[0.05079166666666666, 0.025]","[0.0725, 0.0125]","[0.08995833333333333, 0.04229166666666666]","[0.01, 0.72]","[0.02, 0.028333333333333335]","[0.33825000000000005, 0.06533333333333334]","[0.33470238095238086, 0.031875]","[0.0275, 0.04833333333333334]","[0.003833333333333333, 0.010625]",[],[],[],['to'],[],[],[],[],[],[],plural,bare plural,,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"When cross-fostering occurred , an exchange was made between the litters of a DI and LE dam and the LE litter was culled to the size of the DI litter before the transfer of pups was made .","When/when/WRB cross-fostering/cross-fostering/JJ occurred/occur/VBD ,/,/, an/a/DT exchange/exchange/NN was/be/VBD made/make/VBN between/between/IN the/the/DT litters/litter/NNS of/of/IN a/a/DT DI/DI/NNP and/and/CC LE/LE/NNP dam/dam/NN and/and/CC the/the/DT LE/LE/NNP litter/litter/NN was/be/VBD culled/cull/VBN to/to/TO the/the/DT size/size/NN of/of/IN the/the/DT DI/DI/NNP litter/litter/NN before/before/IN the/the/DT transfer/transfer/NN of/of/IN pups/pup/NNS was/be/VBD made/make/VBN ././. ","ROOT (ROOT-0, made-8) advmod (occurred-3, When-1) nsubj (occurred-3, cross-fostering-2) advcl (made-8, occurred-3) punct (made-8, ,-4) det (exchange-6, an-5) nsubjpass (made-8, exchange-6) auxpass (made-8, was-7) case (litters-11, between-9) det (litters-11, the-10) nmod:between (made-8, litters-11) case (DI-14, of-12) det (DI-14, a-13) nmod:of (litters-11, DI-14) cc (DI-14, and-15) compound (dam-17, LE-16) nmod:of (litters-11, dam-17) conj:and (DI-14, dam-17) cc (made-8, and-18) det (litter-21, the-19) compound (litter-21, LE-20) nsubjpass (culled-23, litter-21) auxpass (culled-23, was-22) conj:and (made-8, culled-23) case (size-26, to-24) det (size-26, the-25) nmod:to (culled-23, size-26) case (litter-30, of-27) det (litter-30, the-28) compound (litter-30, DI-29) nmod:of (size-26, litter-30) mark (made-37, before-31) det (transfer-33, the-32) nsubjpass (made-37, transfer-33) case (pups-35, of-34) nmod:of (transfer-33, pups-35) auxpass (made-37, was-36) advcl:before (culled-23, made-37) punct (made-8, .-38) ",litter,11,"case (litters-11, between-9) det (litters-11, the-10) nmod:between (made-8, litters-11) nmod:of (litters-11, DI-14) nmod:of (litters-11, dam-17) ",exchange was made between the litters of a DI and LE,NNS,[],,,,,[],[],[],,"[('between', 'made', 8), ('of', 'DI', 14), ('of', 'dam', 17)]","['between', 'of', 'of']","['DI', 'dam']",['made'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['between'],[],[],[],[],[],[],plural,linked,,"[3, False, False, 2, 0.6666666666666666, 3] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"When cross-fostering occurred , an exchange was made between the litters of a DI and LE dam and the LE litter was culled to the size of the DI litter before the transfer of pups was made .","When/when/WRB cross-fostering/cross-fostering/JJ occurred/occur/VBD ,/,/, an/a/DT exchange/exchange/NN was/be/VBD made/make/VBN between/between/IN the/the/DT litters/litter/NNS of/of/IN a/a/DT DI/DI/NNP and/and/CC LE/LE/NNP dam/dam/NN and/and/CC the/the/DT LE/LE/NNP litter/litter/NN was/be/VBD culled/cull/VBN to/to/TO the/the/DT size/size/NN of/of/IN the/the/DT DI/DI/NNP litter/litter/NN before/before/IN the/the/DT transfer/transfer/NN of/of/IN pups/pup/NNS was/be/VBD made/make/VBN ././. ","ROOT (ROOT-0, made-8) advmod (occurred-3, When-1) nsubj (occurred-3, cross-fostering-2) advcl (made-8, occurred-3) punct (made-8, ,-4) det (exchange-6, an-5) nsubjpass (made-8, exchange-6) auxpass (made-8, was-7) case (litters-11, between-9) det (litters-11, the-10) nmod:between (made-8, litters-11) case (DI-14, of-12) det (DI-14, a-13) nmod:of (litters-11, DI-14) cc (DI-14, and-15) compound (dam-17, LE-16) nmod:of (litters-11, dam-17) conj:and (DI-14, dam-17) cc (made-8, and-18) det (litter-21, the-19) compound (litter-21, LE-20) nsubjpass (culled-23, litter-21) auxpass (culled-23, was-22) conj:and (made-8, culled-23) case (size-26, to-24) det (size-26, the-25) nmod:to (culled-23, size-26) case (litter-30, of-27) det (litter-30, the-28) compound (litter-30, DI-29) nmod:of (size-26, litter-30) mark (made-37, before-31) det (transfer-33, the-32) nsubjpass (made-37, transfer-33) case (pups-35, of-34) nmod:of (transfer-33, pups-35) auxpass (made-37, was-36) advcl:before (culled-23, made-37) punct (made-8, .-38) ",litter,21,"det (litter-21, the-19) compound (litter-21, LE-20) nsubjpass (culled-23, litter-21) ",LE dam and the LE litter was culled to the size,NN,[],culled-23,cull,VBN,passive,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],['LE'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,"[3, False, False, 2, 0.6666666666666666, 3] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"When cross-fostering occurred , an exchange was made between the litters of a DI and LE dam and the LE litter was culled to the size of the DI litter before the transfer of pups was made .","When/when/WRB cross-fostering/cross-fostering/JJ occurred/occur/VBD ,/,/, an/a/DT exchange/exchange/NN was/be/VBD made/make/VBN between/between/IN the/the/DT litters/litter/NNS of/of/IN a/a/DT DI/DI/NNP and/and/CC LE/LE/NNP dam/dam/NN and/and/CC the/the/DT LE/LE/NNP litter/litter/NN was/be/VBD culled/cull/VBN to/to/TO the/the/DT size/size/NN of/of/IN the/the/DT DI/DI/NNP litter/litter/NN before/before/IN the/the/DT transfer/transfer/NN of/of/IN pups/pup/NNS was/be/VBD made/make/VBN ././. ","ROOT (ROOT-0, made-8) advmod (occurred-3, When-1) nsubj (occurred-3, cross-fostering-2) advcl (made-8, occurred-3) punct (made-8, ,-4) det (exchange-6, an-5) nsubjpass (made-8, exchange-6) auxpass (made-8, was-7) case (litters-11, between-9) det (litters-11, the-10) nmod:between (made-8, litters-11) case (DI-14, of-12) det (DI-14, a-13) nmod:of (litters-11, DI-14) cc (DI-14, and-15) compound (dam-17, LE-16) nmod:of (litters-11, dam-17) conj:and (DI-14, dam-17) cc (made-8, and-18) det (litter-21, the-19) compound (litter-21, LE-20) nsubjpass (culled-23, litter-21) auxpass (culled-23, was-22) conj:and (made-8, culled-23) case (size-26, to-24) det (size-26, the-25) nmod:to (culled-23, size-26) case (litter-30, of-27) det (litter-30, the-28) compound (litter-30, DI-29) nmod:of (size-26, litter-30) mark (made-37, before-31) det (transfer-33, the-32) nsubjpass (made-37, transfer-33) case (pups-35, of-34) nmod:of (transfer-33, pups-35) auxpass (made-37, was-36) advcl:before (culled-23, made-37) punct (made-8, .-38) ",litter,30,"case (litter-30, of-27) det (litter-30, the-28) compound (litter-30, DI-29) nmod:of (size-26, litter-30) ",the size of the DI litter before the transfer of pups,NN,[],,,,,[],[],[],,"[('of', 'size', 26)]",['of'],[],['size'],['the'],['definite article'],[],[],[],[],['DI'],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,"[3, False, False, 2, 0.6666666666666666, 3] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
