Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Although they can not contest elections , the loot they acquired while they were in office has not been seized .","Although/although/IN they/they/PRP can/can/MD not/not/RB contest/contest/VB elections/election/NNS ,/,/, the/the/DT loot/loot/NN they/they/PRP acquired/acquire/VBD while/while/IN they/they/PRP were/be/VBD in/in/IN office/office/NN has/have/VBZ not/not/RB been/be/VBN seized/seize/VBN ././. ","ROOT (ROOT-0, seized-20) mark (contest-5, Although-1) nsubj (contest-5, they-2) aux (contest-5, can-3) neg (contest-5, not-4) advcl:although (seized-20, contest-5) dobj (contest-5, elections-6) punct (seized-20, ,-7) det (loot-9, the-8) nsubjpass (seized-20, loot-9) nsubj (acquired-11, they-10) acl:relcl (loot-9, acquired-11) mark (office-16, while-12) nsubj (office-16, they-13) cop (office-16, were-14) case (office-16, in-15) advcl:in (acquired-11, office-16) aux (seized-20, has-17) neg (seized-20, not-18) auxpass (seized-20, been-19) punct (seized-20, .-21) ",loot,9,"det (loot-9, the-8) nsubjpass (seized-20, loot-9) acl:relcl (loot-9, acquired-11) ","not contest elections , the loot they acquired while they were",NN,[],seized-20,seize,VBN,passive,[],['not'],['has'],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,"[6, True, False, 1, 0.16666666666666666, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"But because parcels of air tend to be about a loot across , the effect is different with larger telescopes .","But/but/CC because/because/IN parcels/parcel/NNS of/of/IN air/air/NN tend/tend/VBP to/to/TO be/be/VB about/about/IN a/a/DT loot/loot/NN across/across/IN ,/,/, the/the/DT effect/effect/NN is/be/VBZ different/different/JJ with/with/IN larger/larger/JJR telescopes/telescope/NNS ././. ","ROOT (ROOT-0, different-17) cc (different-17, But-1) mark (tend-6, because-2) nsubj (tend-6, parcels-3) nsubj:xsubj (loot-11, parcels-3) case (air-5, of-4) nmod:of (parcels-3, air-5) advcl:because (different-17, tend-6) mark (loot-11, to-7) cop (loot-11, be-8) case (loot-11, about-9) det (loot-11, a-10) xcomp (tend-6, loot-11) case (loot-11, across-12) punct (different-17, ,-13) det (effect-15, the-14) nsubj (different-17, effect-15) cop (different-17, is-16) case (telescopes-20, with-18) amod (telescopes-20, larger-19) nmod:with (different-17, telescopes-20) punct (different-17, .-21) ",loot,11,"nsubj:xsubj (loot-11, parcels-3) mark (loot-11, to-7) cop (loot-11, be-8) case (loot-11, about-9) det (loot-11, a-10) xcomp (tend-6, loot-11) case (loot-11, across-12) ","tend to be about a loot across , the effect is",NN,[],,,,,[],[],[],,[],[],[],[],['a'],['indefinite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],"['about', 'across']",[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,1,0,0,0,countable,a,unit,a/an,small
"Dohna because he had beaten off a surprise attack by a greatly superior force , Guise because he had beaten up the headquarters of the invading army and got away with prisoners , horses and loot .","Dohna/Dohna/NNP because/because/IN he/he/PRP had/have/VBD beaten/beat/VBN off/off/RP a/a/DT surprise/surprise/NN attack/attack/NN by/by/IN a/a/DT greatly/greatly/RB superior/superior/JJ force/force/NN ,/,/, Guise/guise/NN because/because/IN he/he/PRP had/have/VBD beaten/beat/VBN up/up/IN the/the/DT headquarters/headquarters/NN of/of/IN the/the/DT invading/invade/VBG army/army/NN and/and/CC got/get/VBD away/away/RP with/with/IN prisoners/prisoner/NNS ,/,/, horses/horse/NNS and/and/CC loot/loot/NN ././. ","ROOT (ROOT-0, beaten-5) nsubj (beaten-5, Dohna-1) nsubj (got-29, Dohna-1) case (he-3, because-2) nmod:because (beaten-5, he-3) aux (beaten-5, had-4) compound:prt (beaten-5, off-6) det (attack-9, a-7) compound (attack-9, surprise-8) dobj (beaten-5, attack-9) case (force-14, by-10) det (force-14, a-11) advmod (superior-13, greatly-12) amod (force-14, superior-13) nmod:by (attack-9, force-14) punct (force-14, ,-15) appos (force-14, Guise-16) mark (beaten-20, because-17) nsubj (beaten-20, he-18) aux (beaten-20, had-19) advcl:because (beaten-5, beaten-20) case (headquarters-23, up-21) det (headquarters-23, the-22) nmod:up (beaten-20, headquarters-23) case (army-27, of-24) det (army-27, the-25) amod (army-27, invading-26) nmod:of (headquarters-23, army-27) cc (beaten-5, and-28) conj:and (beaten-5, got-29) compound:prt (got-29, away-30) case (prisoners-32, with-31) nmod:with (got-29, prisoners-32) punct (prisoners-32, ,-33) nmod:with (got-29, horses-34) conj:and (prisoners-32, horses-34) cc (prisoners-32, and-35) nmod:with (got-29, loot-36) conj:and (prisoners-32, loot-36) punct (beaten-5, .-37) ",loot,36,"nmod:with (got-29, loot-36) conj:and (prisoners-32, loot-36) ","with prisoners , horses and loot .",NN,[],,,,,[],[],[],,"[('with', 'got', 29)]",['with'],[],['got'],[],[],"[('and', 'prisoners', 32)]",['and'],[prisoners-32],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"THE MANDATE SYSTEM AND THE CONSTRUCTION OF STATE PATRIOTISMS  In a memorandum addressed to Woodrow Wilson , William Linn Westermann , chief of the U.S. State Department 's division on Western Asia , candidly labeled the Near East '' the great loot of the war . ''","THE/the/DT MANDATE/MANDATE/NNP SYSTEM/SYSTEM/NNP AND/and/CC THE/the/DT CONSTRUCTION/CONSTRUCTION/NNP OF/of/IN STATE/STATE/NNP PATRIOTISMS/PATRIOTISMS/NNP In/in/IN a/a/DT memorandum/memorandum/NN addressed/address/VBD to/to/TO Woodrow/Woodrow/NNP Wilson/Wilson/NNP ,/,/, William/William/NNP Linn/Linn/NNP Westermann/Westermann/NNP ,/,/, chief/chief/NN of/of/IN the/the/DT U.S./U.S./NNP State/State/NNP Department/Department/NNP 's/'s/POS division/division/NN on/on/IN Western/western/JJ Asia/Asia/NNP ,/,/, candidly/candidly/RB labeled/label/VBN the/the/DT Near/near/IN East/East/NNP ''/''/'' the/the/DT great/great/JJ loot/loot/NN of/of/IN the/the/DT war/war/NN ././. ''/''/'' ","ROOT (ROOT-0, addressed-13) dep (SYSTEM-3, THE-1) compound (SYSTEM-3, MANDATE-2) nsubj (addressed-13, SYSTEM-3) cc (SYSTEM-3, AND-4) det (CONSTRUCTION-6, THE-5) conj:and (SYSTEM-3, CONSTRUCTION-6) nsubj (addressed-13, CONSTRUCTION-6) case (PATRIOTISMS-9, OF-7) compound (PATRIOTISMS-9, STATE-8) nmod:of (CONSTRUCTION-6, PATRIOTISMS-9) case (memorandum-12, In-10) det (memorandum-12, a-11) nmod:in (addressed-13, memorandum-12) case (Wilson-16, to-14) compound (Wilson-16, Woodrow-15) nmod:to (addressed-13, Wilson-16) punct (Wilson-16, ,-17) compound (Westermann-20, William-18) compound (Westermann-20, Linn-19) appos (Wilson-16, Westermann-20) punct (Wilson-16, ,-21) appos (Wilson-16, chief-22) case (division-29, of-23) det (Department-27, the-24) compound (Department-27, U.S.-25) compound (Department-27, State-26) nmod:poss (division-29, Department-27) case (Department-27, 's-28) nmod:of (chief-22, division-29) case (Asia-32, on-30) amod (Asia-32, Western-31) nmod:on (division-29, Asia-32) punct (Wilson-16, ,-33) advmod (labeled-35, candidly-34) acl (Wilson-16, labeled-35) xcomp (labeled-35, the-36) case (East-38, Near-37) dep (the-36, East-38) punct (labeled-35, ''-39) det (loot-42, the-40) amod (loot-42, great-41) dobj (addressed-13, loot-42) case (war-45, of-43) det (war-45, the-44) nmod:of (loot-42, war-45) punct (addressed-13, .-46) punct (addressed-13, ''-47) ",loot,42,"det (loot-42, the-40) amod (loot-42, great-41) dobj (addressed-13, loot-42) nmod:of (loot-42, war-45) ",Near East '' the great loot of the war . '',NN,[],addressed-13,address,VBD,object,[],[],[],,"[('of', 'war', 45)]",['of'],['war'],[],['the'],['definite article'],[],[],[],[],[],['great'],[0.015],[0.01],[0.02],[0.0025],[0.05],[0.01],[0.034041666666666665],[0.0975],[0.02375],[0.675],[0.031208333333333334],[0.0275],[0.0034999999999999996],[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1995.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Violins moved about in her dreams in the company of lithe cats , at corners of walls , under balconies where thieves divide the night 's loot . . . on stairways that squeak like violins being skinned alive . ''","Violins/violin/NNS moved/move/VBD about/about/RB in/in/IN her/she/PRP$ dreams/dream/NNS in/in/IN the/the/DT company/company/NN of/of/IN lithe/lithe/JJ cats/cat/NNS ,/,/, at/at/IN corners/corner/NNS of/of/IN walls/wall/NNS ,/,/, under/under/IN balconies/balcony/NNS where/where/WRB thieves/thief/NNS divide/divide/VBP the/the/DT night/night/NN 's/'s/POS loot/loot/NN .../.../: on/on/IN stairways/stairway/NNS that/that/WDT squeak/squeak/VBP like/like/IN violins/violin/NNS being/be/VBG skinned/skin/VBN alive/alive/JJ ././. ''/''/'' ","ROOT (ROOT-0, moved-2) nsubj (moved-2, Violins-1) advmod (moved-2, about-3) case (dreams-6, in-4) nmod:poss (dreams-6, her-5) nmod:in (about-3, dreams-6) case (company-9, in-7) det (company-9, the-8) nmod:in (moved-2, company-9) case (cats-12, of-10) amod (cats-12, lithe-11) nmod:of (company-9, cats-12) punct (moved-2, ,-13) case (corners-15, at-14) nmod:at (moved-2, corners-15) case (walls-17, of-16) nmod:of (corners-15, walls-17) punct (moved-2, ,-18) case (balconies-20, under-19) nmod:under (moved-2, balconies-20) advmod (divide-23, where-21) nsubj (divide-23, thieves-22) acl:relcl (balconies-20, divide-23) det (night-25, the-24) nmod:poss (loot-27, night-25) case (night-25, 's-26) dobj (divide-23, loot-27) case (stairways-30, on-29) nmod:on (balconies-20, stairways-30) nsubj (squeak-32, stairways-30) ref (stairways-30, that-31) acl:relcl (stairways-30, squeak-32) case (violins-34, like-33) nmod:like (squeak-32, violins-34) auxpass (skinned-36, being-35) acl (violins-34, skinned-36) xcomp (skinned-36, alive-37) punct (moved-2, .-38) punct (moved-2, ''-39) ",loot,27,"nmod:poss (loot-27, night-25) dobj (divide-23, loot-27) ",thieves divide the night 's loot . . . on stairways,NN,[],divide-23,divide,VBP,object,['where'],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['night'],[],[],[],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_1.csv,0,0,0,0,unknown,,,,
"The guardian seems very proud of all this loot , and takes pleasure describing the function of various objects to people who can see what he means .","The/the/DT guardian/guardian/NN seems/seem/VBZ very/very/RB proud/proud/JJ of/of/IN all/all/PDT this/this/DT loot/loot/NN ,/,/, and/and/CC takes/take/VBZ pleasure/pleasure/NN describing/describe/VBG the/the/DT function/function/NN of/of/IN various/various/JJ objects/object/NNS to/to/TO people/people/NNS who/who/WP can/can/MD see/see/VB what/what/WP he/he/PRP means/mean/VBZ ././. ","ROOT (ROOT-0, seems-3) det (guardian-2, The-1) nsubj (seems-3, guardian-2) nsubj (takes-12, guardian-2) advmod (proud-5, very-4) xcomp (seems-3, proud-5) case (loot-9, of-6) det:predet (loot-9, all-7) det (loot-9, this-8) nmod:of (seems-3, loot-9) punct (seems-3, ,-10) cc (seems-3, and-11) conj:and (seems-3, takes-12) dobj (takes-12, pleasure-13) acl (pleasure-13, describing-14) det (function-16, the-15) dobj (describing-14, function-16) case (objects-19, of-17) amod (objects-19, various-18) nmod:of (function-16, objects-19) case (people-21, to-20) nmod:to (describing-14, people-21) nsubj (see-24, people-21) ref (people-21, who-22) aux (see-24, can-23) acl:relcl (people-21, see-24) dobj (means-27, what-25) nsubj (means-27, he-26) ccomp (see-24, means-27) punct (seems-3, .-28) ",loot,9,"case (loot-9, of-6) det:predet (loot-9, all-7) det (loot-9, this-8) nmod:of (seems-3, loot-9) ","very proud of all this loot , and takes pleasure describing",NN,[],,,,,[],[],[],,"[('of', 'seems', 3)]",['of'],[],['seems'],"['all', 'this']","['quantifier', 'demonstrative']",[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_1.csv,0,0,0,0,unknown,,,,
The possibility that the brasscasting and ivory carving guilds survived the disaster of 1897 or that new forms of indigenous representation subsequently emerged seemed irrelevant against the need to commodify and document the magnificent horde of loot from the conquest .,The/the/DT possibility/possibility/NN that/that/IN the/the/DT brasscasting/brasscasting/NN and/and/CC ivory/ivory/NN carving/carve/VBG guilds/guild/NNS survived/survive/VBD the/the/DT disaster/disaster/NN of/of/IN 1897/1897/CD or/or/CC that/that/DT new/new/JJ forms/form/NNS of/of/IN indigenous/indigenous/JJ representation/representation/NN subsequently/subsequently/RB emerged/emerge/VBD seemed/seem/VBD irrelevant/irrelevant/JJ against/against/IN the/the/DT need/need/NN to/to/TO commodify/commodify/VB and/and/CC document/document/VB the/the/DT magnificent/magnificent/JJ horde/horde/NN of/of/IN loot/loot/NN from/from/IN the/the/DT conquest/conquest/NN ././. ,"ROOT (ROOT-0, seemed-24) det (possibility-2, The-1) nsubj (seemed-24, possibility-2) mark (survived-10, that-3) det (brasscasting-5, the-4) nsubj (survived-10, brasscasting-5) cc (brasscasting-5, and-6) conj:and (brasscasting-5, ivory-7) nsubj (survived-10, ivory-7) acl (brasscasting-5, carving-8) dobj (carving-8, guilds-9) dep (possibility-2, survived-10) det (disaster-12, the-11) nsubj (emerged-23, disaster-12) case (1897-14, of-13) nmod:of (disaster-12, 1897-14) cc (disaster-12, or-15) det (forms-18, that-16) amod (forms-18, new-17) conj:or (disaster-12, forms-18) nsubj (emerged-23, forms-18) case (representation-21, of-19) amod (representation-21, indigenous-20) nmod:of (forms-18, representation-21) advmod (emerged-23, subsequently-22) ccomp (survived-10, emerged-23) xcomp (seemed-24, irrelevant-25) case (need-28, against-26) det (need-28, the-27) nmod:against (seemed-24, need-28) mark (commodify-30, to-29) acl:to (need-28, commodify-30) cc (commodify-30, and-31) acl:to (need-28, document-32) conj:and (commodify-30, document-32) det (horde-35, the-33) amod (horde-35, magnificent-34) dobj (commodify-30, horde-35) case (loot-37, of-36) nmod:of (horde-35, loot-37) case (conquest-40, from-38) det (conquest-40, the-39) nmod:from (commodify-30, conquest-40) punct (seemed-24, .-41) ",loot,37,"case (loot-37, of-36) nmod:of (horde-35, loot-37) ",document the magnificent horde of loot from the conquest .,NN,[],,,,,[],[],[],,"[('of', 'horde', 35)]",['of'],[],['horde'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_2.csv,0,0,0,0,unknown,,,,
-- and went back to Sweden with a great deal of loot .,--/--/: and/and/CC went/go/VBD back/back/RB to/to/TO Sweden/Sweden/NNP with/with/IN a/a/DT great/great/JJ deal/deal/NN of/of/IN loot/loot/NN ././. ,"ROOT (ROOT-0, went-3) punct (went-3, ---1) nsubj (went-3, and-2) advmod (went-3, back-4) case (Sweden-6, to-5) nmod:to (back-4, Sweden-6) case (deal-10, with-7) det (deal-10, a-8) amod (deal-10, great-9) nmod:with (went-3, deal-10) case (loot-12, of-11) nmod:of (deal-10, loot-12) punct (went-3, .-13) ",loot,12,"case (loot-12, of-11) nmod:of (deal-10, loot-12) ",with a great deal of loot .,NN,[],,,,,[],[],[],,"[('of', 'deal', 10)]",['of'],[],['deal'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_1.csv,0,0,0,0,unknown,,,,
Historians of the Crusades are probably right in saying that Reynald 's motive was primarily economic -- the desire for loot .,Historians/historian/NNS of/of/IN the/the/DT Crusades/crusade/NNS are/be/VBP probably/probably/RB right/right/RB in/in/IN saying/say/VBG that/that/IN Reynald/Reynald/NNP 's/'s/POS motive/motive/NN was/be/VBD primarily/primarily/RB economic/economic/JJ --/--/: the/the/DT desire/desire/NN for/for/IN loot/loot/NN ././. ,"ROOT (ROOT-0, saying-9) nsubj (saying-9, Historians-1) case (Crusades-4, of-2) det (Crusades-4, the-3) nmod:of (Historians-1, Crusades-4) cop (saying-9, are-5) advmod (saying-9, probably-6) advmod (saying-9, right-7) mark (saying-9, in-8) mark (economic-16, that-10) nmod:poss (motive-13, Reynald-11) case (Reynald-11, 's-12) nsubj (economic-16, motive-13) cop (economic-16, was-14) advmod (economic-16, primarily-15) ccomp (saying-9, economic-16) punct (economic-16, ---17) det (desire-19, the-18) dobj (economic-16, desire-19) case (loot-21, for-20) nmod:for (desire-19, loot-21) punct (saying-9, .-22) ",loot,21,"case (loot-21, for-20) nmod:for (desire-19, loot-21) ",economic -- the desire for loot .,NN,[],,,,,[],[],[],,"[('for', 'desire', 19)]",['for'],[],['desire'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['for'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_1.csv,0,0,0,0,unknown,,,,
"Valance and the other marauders are unmoved ; while his lackeys grab the loot , Valance savagely beats Stoddard , after shredding his law books and promising to teach him about '' Western law '' -- the law of force and fraud mediated by the pistol and silver-knobbed whip .","Valance/Valance/NNP and/and/CC the/the/DT other/other/JJ marauders/marauder/NNS are/be/VBP unmoved/unmoved/JJ ;/;/: while/while/IN his/he/PRP$ lackeys/lackey/NNS grab/grab/VBP the/the/DT loot/loot/NN ,/,/, Valance/Valance/NNP savagely/savagely/RB beats/beat/VBZ Stoddard/Stoddard/NNP ,/,/, after/after/IN shredding/shred/VBG his/he/PRP$ law/law/NN books/book/NNS and/and/CC promising/promise/VBG to/to/TO teach/teach/VB him/he/PRP about/about/RB ''/''/'' Western/western/JJ law/law/NN ''/''/'' --/--/: the/the/DT law/law/NN of/of/IN force/force/NN and/and/CC fraud/fraud/NN mediated/mediate/VBN by/by/IN the/the/DT pistol/pistol/NN and/and/CC silver-knobbed/silver-knobbed/JJ whip/whip/NN ././. ","ROOT (ROOT-0, unmoved-7) nsubj (unmoved-7, Valance-1) cc (Valance-1, and-2) det (marauders-5, the-3) amod (marauders-5, other-4) conj:and (Valance-1, marauders-5) nsubj (unmoved-7, marauders-5) cop (unmoved-7, are-6) punct (unmoved-7, ;-8) mark (grab-12, while-9) nmod:poss (lackeys-11, his-10) nsubj (grab-12, lackeys-11) advcl:while (beats-18, grab-12) det (loot-14, the-13) dobj (grab-12, loot-14) punct (beats-18, ,-15) nsubj (beats-18, Valance-16) advmod (beats-18, savagely-17) parataxis (unmoved-7, beats-18) dobj (beats-18, Stoddard-19) punct (beats-18, ,-20) mark (shredding-22, after-21) advcl:after (beats-18, shredding-22) nmod:poss (books-25, his-23) compound (books-25, law-24) dobj (shredding-22, books-25) cc (shredding-22, and-26) advcl:after (beats-18, promising-27) conj:and (shredding-22, promising-27) mark (teach-29, to-28) xcomp (promising-27, teach-29) dobj (teach-29, him-30) advmod (teach-29, about-31) punct (teach-29, ''-32) amod (law-34, Western-33) dobj (teach-29, law-34) punct (teach-29, ''-35) punct (unmoved-7, ---36) det (law-38, the-37) nsubj (mediated-43, law-38) case (force-40, of-39) nmod:of (law-38, force-40) cc (force-40, and-41) nmod:of (law-38, fraud-42) conj:and (force-40, fraud-42) parataxis (unmoved-7, mediated-43) case (pistol-46, by-44) det (pistol-46, the-45) nmod:by (mediated-43, pistol-46) cc (pistol-46, and-47) amod (whip-49, silver-knobbed-48) nmod:by (mediated-43, whip-49) conj:and (pistol-46, whip-49) punct (unmoved-7, .-50) ",loot,14,"det (loot-14, the-13) dobj (grab-12, loot-14) ","while his lackeys grab the loot , Valance savagely beats Stoddard",NN,[],grab-12,grab,VBP,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],while,singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1999.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
